prompt,answer_token,predicted_top1_token
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Stati Uniti d'America è", New, New
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Stati Uniti d'America è", York, York
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Cina è", Shanghai, Shanghai
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Giappone è", Tokyo, Tokyo
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Russia è", Mos, Mos
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Russia è",ca,ca
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di India è", Mumbai, Mumbai
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Brasile è", San, San
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Brasile è", Paolo, Paolo
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Australia è", Sydney, Sydney
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Canada è", Toronto, Toronto
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Regno Unito è", Lond, Lond
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Regno Unito è",ra,ra
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Francia è", Par, Par
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Francia è",igi,igi
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Germania è", Ber, Ber
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Germania è",l,l
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Germania è",ino,ino
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Italia è", Roma, Roma
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è", C, C
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è",itt,itt
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è",à,à
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è", del, del
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è", Mess, Mess
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Messico è",ico,ico
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Corea del Sud è", Se, Se
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Corea del Sud è",ul,ul
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Turchia è", Istanbul, Istanbul
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Spagna è", Madrid, Bar
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Argentina è", Buenos, Buenos
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Argentina è", Aires, Aires
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Sudafrica è", Johannesburg, Gi
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Polonia è", V, V
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Polonia è",ars,ars
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Polonia è",avia,avia
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Nigeria è", Lagos, Lagos
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Nuova Zelanda è", Auckland, Auckland
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Svizzera è", Zur, Zur
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Svizzera è",igo,igo
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Paesi Bassi è", Amsterdam, Amsterdam
"La città più popolosa di Norvegia è Oslo.
La città più popolosa di Finlandia è Helsinki.
La città più popolosa di Egitto è Il Cairo.
La città più popolosa di Thailandia è Bangkok.
La città più popolosa di Vietnam è Ho Chi Minh City.
La città più popolosa di Indonesia è Giacarta.
La città più popolosa di Filippine è Quezon City.
La città più popolosa di Pakistan è", Karachi, Karachi
