prompt,answer_token,predicted_top1_token
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
BIEGUNG beginnt mit dem Buchstaben", B, B
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
SCHWER beginnt mit dem Buchstaben", S, S
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
SCHÖN beginnt mit dem Buchstaben", S, S
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
FRAGEN beginnt mit dem Buchstaben", F, F
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
ERWEITERN beginnt mit dem Buchstaben", E, E
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
VORDERSEITE beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
ZÄH beginnt mit dem Buchstaben", Z, Z
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
ART beginnt mit dem Buchstaben", A, A
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GEHE beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
CHIRURGIE beginnt mit dem Buchstaben", C, C
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
VERGANGENHEIT beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
INNEN beginnt mit dem Buchstaben", I, I
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
EINTRETEN beginnt mit dem Buchstaben", E, E
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
BEGINN beginnt mit dem Buchstaben", B, B
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
VERSCHWINDEN beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
HERBST beginnt mit dem Buchstaben", H, H
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
VERRÜCKT beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
VERGESSEN beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
STIRNRUNZELN beginnt mit dem Buchstaben", S, S
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GROSSARTIG beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
LERNEN beginnt mit dem Buchstaben", L, L
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GLATT beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
BREIT beginnt mit dem Buchstaben", B, B
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
FLUGZEUG beginnt mit dem Buchstaben", F, F
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
FALSCH beginnt mit dem Buchstaben", F, F
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
TANZ beginnt mit dem Buchstaben", T, T
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GEWINN beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GLAUBEN beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
KONZERT beginnt mit dem Buchstaben", K, K
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
FAHRRAD beginnt mit dem Buchstaben", F, F
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
ABGESTANDEN beginnt mit dem Buchstaben", A, A
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
BIBLIOTHEK beginnt mit dem Buchstaben", B, B
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
ANRUF beginnt mit dem Buchstaben", A, A
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
GEBEN beginnt mit dem Buchstaben", G, G
