prompt,answer_token,predicted_top1_token
Bulbasaur evoluciona a un/una, Iv, Iv
Bulbasaur evoluciona a un/una,ys,ys
Bulbasaur evoluciona a un/una,aur,aur
Charmander evoluciona a un/una, Charm, Charm
Charmander evoluciona a un/una,ele,ele
Charmander evoluciona a un/una,on,on
Squirtle evoluciona a un/una, W, Squ
Squirtle evoluciona a un/una,art,irt
Squirtle evoluciona a un/una,ort,le
Squirtle evoluciona a un/una,le,.
Pikachu evoluciona a un/una, Ra, Ra
Pikachu evoluciona a un/una,ich,ich
Pikachu evoluciona a un/una,u,u
Oddish evoluciona a un/una, G, P
Oddish evoluciona a un/una,loom,ich
Venonat evoluciona a un/una, Venom, Ven
Venonat evoluciona a un/una,oth,usa
Diglett evoluciona a un/una, D, Dig
Diglett evoluciona a un/una,ug,lett
Diglett evoluciona a un/una,tr,","
Diglett evoluciona a un/una,io, un
Meowth evoluciona a un/una, Persian, Her
Psyduck evoluciona a un/una, Gold, Al
Psyduck evoluciona a un/una,uck,ola
Mankey evoluciona a un/una, Prime, humano
Mankey evoluciona a un/una,ape,ide
Growlithe evoluciona a un/una, Arc, N
Growlithe evoluciona a un/una,anine,idor
Poliwag evoluciona a un/una, Pol, pol
Poliwag evoluciona a un/una,i,i
Poliwag evoluciona a un/una,wh,wo
Poliwag evoluciona a un/una,irl,of
Abra evoluciona a un/una, Kad, ab
Abra evoluciona a un/una,abra,ra
Machop evoluciona a un/una, Mach, Mach
Machop evoluciona a un/una,oke,oke
Caterpie evoluciona a un/una, Met, P
Caterpie evoluciona a un/una,ap,idge
Caterpie evoluciona a un/una,od,y
Weedle evoluciona a un/una, Kak, adult
Weedle evoluciona a un/una,una,o
Pidgey evoluciona a un/una, P, P
Pidgey evoluciona a un/una,idge,idge
Pidgey evoluciona a un/una,otto,otto
Rattata evoluciona a un/una, R, R
Rattata evoluciona a un/una,atic,att
Rattata evoluciona a un/una,ate,ata
Spearow evoluciona a un/una, Fear, P
Spearow evoluciona a un/una,ow,idge
Ekans evoluciona a un/una, Arb, individ
Ekans evoluciona a un/una,ok,uo
Sandshrew evoluciona a un/una, Sands, N
Sandshrew evoluciona a un/una,lash,idor
Nidoran♀ evoluciona a un/una, N, N
Nidoran♀ evoluciona a un/una,idor,idor
Nidoran♀ evoluciona a un/una,ina,ina
Nidoran♂ evoluciona a un/una, N, N
Nidoran♂ evoluciona a un/una,idor,idor
Nidoran♂ evoluciona a un/una,ino,ino
Zubat evoluciona a un/una, Gol, ser
Zubat evoluciona a un/una,bat, humano
Bellsprout evoluciona a un/una, We, B
Bellsprout evoluciona a un/una,ep,ells
Bellsprout evoluciona a un/una,in,pr
Bellsprout evoluciona a un/una,bell,out
Tentacool evoluciona a un/una, Tent, Tent
Tentacool evoluciona a un/una,ac,ac
Tentacool evoluciona a un/una,ru,ru
Tentacool evoluciona a un/una,el,el
Geodude evoluciona a un/una, Gr, Ge
Geodude evoluciona a un/una,avel,od
Geodude evoluciona a un/una,er,ude
Ponyta evoluciona a un/una, Rapid, Pony
Ponyta evoluciona a un/una,ash,ta
Slowpoke evoluciona a un/una, Slow, Slow
Slowpoke evoluciona a un/una,bro,king
Magnemite evoluciona a un/una, Magn, Magn
Magnemite evoluciona a un/una,eton,em
Doduo evoluciona a un/una, Dod, N
Doduo evoluciona a un/una,rio,idor
Seel evoluciona a un/una, Dew, ser
Seel evoluciona a un/una,g, humano
Seel evoluciona a un/una,ong,ide
Grimer evoluciona a un/una, Muk, expert
Shellder evoluciona a un/una, Clo, Shel
Shellder evoluciona a un/una,yster,lder
Gastly evoluciona a un/una, Ha, Gast
Gastly evoluciona a un/una,unter,ly
Drowzee evoluciona a un/una, Hyp, D
Drowzee evoluciona a un/una,no,row
Krabby evoluciona a un/una, King, Kr
Krabby evoluciona a un/una,ler,abby
Voltorb evoluciona a un/una, Electro, V
Voltorb evoluciona a un/una,de,ulp
Exeggcute evoluciona a un/una, Ex, Pokémon
Exeggcute evoluciona a un/una,egg, de
Exeggcute evoluciona a un/una,utor, tipo
Cubone evoluciona a un/una, Mar, Cub
Cubone evoluciona a un/una,ow,one
Cubone evoluciona a un/una,ak, adult
Koffing evoluciona a un/una, We, N
Koffing evoluciona a un/una,ez,idor
Koffing evoluciona a un/una,ing,ino
Rhyhorn evoluciona a un/una, R, R
Rhyhorn evoluciona a un/una,hy,hy
Rhyhorn evoluciona a un/una,don,horn
Horsea evoluciona a un/una, Se, Horse
Horsea evoluciona a un/una,ad,a
Horsea evoluciona a un/una,ra, más
Goldeen evoluciona a un/una, Se, G
Goldeen evoluciona a un/una,aking,yar
