prompt,answer_token,predicted_top1_token
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Estados Unidos é", Nova, Nova
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Estados Unidos é", I, I
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Estados Unidos é",orque,orque
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de China é", X, Pe
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de China é",ang,qu
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de China é",ai,im
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Japão é", T, T
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Japão é",ó,ó
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Japão é",qu,qu
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Japão é",io,io
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Rússia é", Mos, São
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Rússia é",c, Peters
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Rússia é",ovo,bur
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Índia é", Bomb, Bomb
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Índia é",aim,aim
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Brasil é", São, São
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Brasil é", Paulo, Paulo
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Austrália é", Sydney, Sydney
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Canadá é", Toronto, Toronto
"A cidade mais populosa de Noruega é Oslo.
A cidade mais populosa de Finlândia é Helsínquia.
A cidade mais populosa de Reino Unido é", Lond, Lond
