prompt,answer_token,predicted_top1_token
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Platform Controller Hub foi criado(a) por", Intel, Apple
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Shahab-2 foi criado(a) por", Iran, Iran
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Infiniti QX foi criado(a) por", Nissan, Inf
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
iPhone 5 foi criado(a) por", Apple, Apple
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Wii Balance Board foi criado(a) por", Nintendo, Nintendo
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Acura TL foi criado(a) por", Honda, A
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Lancia 037 foi criado(a) por", Fiat, L
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Windows Server 2003 foi criado(a) por", Microsoft, Microsoft
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
DualShock foi criado(a) por", Sony, Sony
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Mac Pro foi criado(a) por", Apple, Apple
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Game Boy Advance SP foi criado(a) por", Nintendo, Nintendo
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Squad 51 foi criado(a) por", Dodge, Disney
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
PGM-19 Jupiter foi criado(a) por", Chrysler, NASA
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Prince R380 foi criado(a) por", Nissan, Samsung
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Monomail foi criado(a) por", Boeing, Mon
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Geo Metro foi criado(a) por", Suzuki, Chevrolet
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Shahab-1 foi criado(a) por", Iran, Iran
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
PowerFlite foi criado(a) por", Chrysler, Amazon
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
DC-3 foi criado(a) por", Douglas, Douglas
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Kindle Fire foi criado(a) por", Amazon, Amazon
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
AGM-86 ALCM foi criado(a) por", Boeing, United
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Autobianchi Y10 foi criado(a) por", Fiat, Aut
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Mini E foi criado(a) por", BMW, Tesla
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Isetta foi criado(a) por", BMW, L
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Datsun Sports foi criado(a) por", Nissan, Nissan
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Acura ILX foi criado(a) por", Honda, A
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
SteadyShot foi criado(a) por", Sony, Sony
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
SNES-CD foi criado(a) por", Nintendo, Nintendo
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Ferrari 250 GTO foi criado(a) por", Fiat, Ferrari
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Lancia Aprilia foi criado(a) por", Fiat, L
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Windows Live Mail foi criado(a) por", Microsoft, Microsoft
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Bluesmobile foi criado(a) por", Dodge, Ford
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Bionz foi criado(a) por", Sony, Sony
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
AMC 35 foi criado(a) por", Renault, AMC
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Acura ZDX foi criado(a) por", Honda, A
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Lancia Thema foi criado(a) por", Fiat, L
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Acura EL foi criado(a) por", Honda, Honda
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Alfa Romeo Montreal foi criado(a) por", Fiat, Al
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Acura MDX foi criado(a) por", Honda, A
"Kindle foi criado(a) por Amazon.com.
Echo Dot foi criado(a) por Amazon.com.
Galaxy S22 foi criado(a) por Samsung.
PlayStation 5 foi criado(a) por Sony.
ChatGPT foi criado(a) por OpenAI.
iPhone 15 foi criado(a) por Apple.
Mi Band 6 foi criado(a) por Xiaomi Inc..
ThinkPad X1 Carbon foi criado(a) por Lenovo.
Surface Pro 9 foi criado(a) por Microsoft.
Nest Thermostat foi criado(a) por Google.
Toyopet Master foi criado(a) por", Toyota, Toyota
