prompt,answer_token,predicted_top1_token
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Alphabet è guidata dal CEO", Sund, Sund
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Alphabet è guidata dal CEO",ar,ar
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Alphabet è guidata dal CEO", P, P
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Alphabet è guidata dal CEO",ich,ich
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Alphabet è guidata dal CEO",ai,ai
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Tesla è guidata dal CEO", Elon, Elon
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Tesla è guidata dal CEO", Musk, Musk
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
NVIDIA è guidata dal CEO", Jensen, Jensen
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
NVIDIA è guidata dal CEO", Huang, Huang
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Meta è guidata dal CEO", Mark, Mark
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
Meta è guidata dal CEO", Zuckerberg, Zuckerberg
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
China Construction Bank è guidata dal CEO", Yi, Gu
"YouTube è guidata dal CEO Neal Mohan.
Stripe è guidata dal CEO Patrick Collison.
Spotify è guidata dal CEO Daniel Ek.
Airbnb è guidata dal CEO Brian Chesky.
OpenAI è guidata dal CEO Sam Altman.
China Construction Bank è guidata dal CEO", Gang,o
