prompt,answer_token,predicted_top1_token
รูปเปรียบเทียบของ ใหญ่ คือ, ,"
"
รูปเปรียบเทียบของ ใหญ่ คือ,ใหญ,1
รูปเปรียบเทียบของ ใหญ่ คือ,่,.
รูปเปรียบเทียบของ ใหญ่ คือ,กว, 
รูปเปรียบเทียบของ ใหญ่ คือ,่า,1
รูปเปรียบเทียบของ เล็ก คือ, เล,"
"
รูปเปรียบเทียบของ เล็ก คือ,็ก,   
รูปเปรียบเทียบของ เล็ก คือ,กว, -
รูปเปรียบเทียบของ เล็ก คือ,่า, 
รูปเปรียบเทียบของ สูง คือ, ส, 
รูปเปรียบเทียบของ สูง คือ,ูง,1
รูปเปรียบเทียบของ สูง คือ,กว,.
รูปเปรียบเทียบของ สูง คือ,่า,0
รูปเปรียบเทียบของ เตี้ย คือ, เต,"
"
รูปเปรียบเทียบของ เตี้ย คือ,ี้,*
รูปเปรียบเทียบของ เตี้ย คือ,ย, 
รูปเปรียบเทียบของ เตี้ย คือ,กว,1
รูปเปรียบเทียบของ เตี้ย คือ,่า,.
รูปเปรียบเทียบของ ยาว คือ, ย,"
"
รูปเปรียบเทียบของ ยาว คือ,าว,*
รูปเปรียบเทียบของ ยาว คือ,กว, 
รูปเปรียบเทียบของ ยาว คือ,่า,1
รูปเปรียบเทียบของ เร็ว คือ, เร, 
รูปเปรียบเทียบของ เร็ว คือ,็,1
รูปเปรียบเทียบของ เร็ว คือ,วก,/
รูปเปรียบเทียบของ เร็ว คือ,ว,2
รูปเปรียบเทียบของ เร็ว คือ,่า, และ
รูปเปรียบเทียบของ ช้า คือ, ช,"
"
รูปเปรียบเทียบของ ช้า คือ,้า,   
รูปเปรียบเทียบของ ช้า คือ,กว, -
รูปเปรียบเทียบของ ช้า คือ,่า, ช
รูปเปรียบเทียบของ แข็งแรง คือ, แ,"
"
รูปเปรียบเทียบของ แข็งแรง คือ,ข,1
รูปเปรียบเทียบของ แข็งแรง คือ,็ง,.
รูปเปรียบเทียบของ แข็งแรง คือ,แรง, ความ
รูปเปรียบเทียบของ แข็งแรง คือ,กว,สามารถ
รูปเปรียบเทียบของ แข็งแรง คือ,่า,ในการ
รูปเปรียบเทียบของ อ่อนแอ คือ, อ,"
"
รูปเปรียบเทียบของ อ่อนแอ คือ,่อน,*
รูปเปรียบเทียบของ อ่อนแอ คือ,แ, 
รูปเปรียบเทียบของ อ่อนแอ คือ,อก,1
รูปเปรียบเทียบของ อ่อนแอ คือ,ว,.
รูปเปรียบเทียบของ อ่อนแอ คือ,่า,0
รูปเปรียบเทียบของ หนัก คือ, หน,"
"
รูปเปรียบเทียบของ หนัก คือ,ัก,   
รูปเปรียบเทียบของ หนัก คือ,กว, #
รูปเปรียบเทียบของ หนัก คือ,่า, 
รูปเปรียบเทียบของ เบา คือ, เบ,"
"
รูปเปรียบเทียบของ เบา คือ,าก,   
รูปเปรียบเทียบของ เบา คือ,ว, -
รูปเปรียบเทียบของ เบา คือ,่า, 
รูปเปรียบเทียบของ เก่า คือ, เก,"
"
รูปเปรียบเทียบของ เก่า คือ,่า,``
รูปเปรียบเทียบของ เก่า คือ,กว,"`
"
รูปเปรียบเทียบของ เก่า คือ,่า,var
รูปเปรียบเทียบของ หนุ่ม คือ, หน,"
"
รูปเปรียบเทียบของ หนุ่ม คือ,ุ่,1
รูปเปรียบเทียบของ หนุ่ม คือ,ม,.
รูปเปรียบเทียบของ หนุ่ม คือ,กว, หน
รูปเปรียบเทียบของ หนุ่ม คือ,่า,ุ่
รูปเปรียบเทียบของ สูง คือ, ส, 
รูปเปรียบเทียบของ สูง คือ,ูง,1
รูปเปรียบเทียบของ สูง คือ,กว,.
รูปเปรียบเทียบของ สูง คือ,่า,0
รูปเปรียบเทียบของ ต่ำ คือ, ต,"
"
รูปเปรียบเทียบของ ต่ำ คือ,่ำ,   
รูปเปรียบเทียบของ ต่ำ คือ,กว, -
รูปเปรียบเทียบของ ต่ำ คือ,่า, 
รูปเปรียบเทียบของ ลึก คือ, ล,"
"
รูปเปรียบเทียบของ ลึก คือ,ึก,1
รูปเปรียบเทียบของ ลึก คือ,กว,.
รูปเปรียบเทียบของ ลึก คือ,่า, การ
รูปเปรียบเทียบของ ตื้น คือ, ต,"
"
รูปเปรียบเทียบของ ตื้น คือ,ื้,1
รูปเปรียบเทียบของ ตื้น คือ,น,.
รูปเปรียบเทียบของ ตื้น คือ,กว, ต
รูปเปรียบเทียบของ ตื้น คือ,่า,ื้
รูปเปรียบเทียบของ กว้าง คือ, ก,"
"
รูปเปรียบเทียบของ กว้าง คือ,ว,   
