prompt,answer_token,predicted_top1_token
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है", अ, अ
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",ंग,ंग
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",्र,्र
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",ेज,ेज
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",़ी,़ी
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है", भ, भ
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",ाष,ाष
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
संयुक्त राज्य अमेरिका में आधिकारिक भाषा है",ा,ा
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है", अ, अ
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",ंग,ंग
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",्र,्र
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",ेज,ेज
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",़ी,ी
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है", भ, भ
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",ाष,ाष
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कनाडा में आधिकारिक भाषा है",ा,ा
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
मेक्सिको में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
मेक्सिको में आधिकारिक भाषा है",्प,्प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
मेक्सिको में आधिकारिक भाषा है",ेन,ेन
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
मेक्सिको में आधिकारिक भाषा है",ी,िश
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है", प, प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ुर,ोर
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",्त,्त
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ग,ुग
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ाल,ीज
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ी,़
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है", भ, भ
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ाष,ाष
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
ब्राज़ील में आधिकारिक भाषा है",ा,ा
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
अर्जेण्टीना में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
अर्जेण्टीना में आधिकारिक भाषा है",्प,्प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
अर्जेण्टीना में आधिकारिक भाषा है",ेन,ेन
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
अर्जेण्टीना में आधिकारिक भाषा है",ी,िश
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
चिली में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
चिली में आधिकारिक भाषा है",्प,्प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
चिली में आधिकारिक भाषा है",ेन,ेन
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
चिली में आधिकारिक भाषा है",ी,िश
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
पेरू में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
पेरू में आधिकारिक भाषा है",्प,्प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
पेरू में आधिकारिक भाषा है",ेन,ेन
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
पेरू में आधिकारिक भाषा है",ी,िश
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कोलम्बिया में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कोलम्बिया में आधिकारिक भाषा है",्प,्प
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कोलम्बिया में आधिकारिक भाषा है",ेन,ेन
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
कोलम्बिया में आधिकारिक भाषा है",ी,िश
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
वेनेज़ुएला में आधिकारिक भाषा है", स, स
"स्वीडन में आधिकारिक भाषा है स्वीडिश भाषा.
वेनेज़ुएला में आधिकारिक भाषा है",्प,्प
