prompt,answer_token,predicted_top1_token
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de demander est", a, demand
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de demander est", demand,a
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de demander est",é,".
"
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de croire est", a, c
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de croire est", cru,roy
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de casser est", a, cass
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de casser est", cass,a
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de casser est",é,".
"
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de apporter est", a, ap
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de apporter est", ap,port
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de apporter est",port,a
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de apporter est",é,".
"
"Le passé de débuter est débuta.
Le passé de mordre est mordit.
Le passé de saigner est saigna.
Le passé de brûler est brûla.
Le passé de creuser est creusa.
Le passé de battre est battit.
Le passé de grandir est grandit.
Le passé de construire est", constr, constr
