prompt,answer_token,predicted_top1_token
รูปขั้นสูงสุดของ โกรธ คือ, โ, 
รูปขั้นสูงสุดของ โกรธ คือ,กร,1
รูปขั้นสูงสุดของ โกรธ คือ,ธ,","
รูปขั้นสูงสุดของ โกรธ คือ,ท,000
รูปขั้นสูงสุดของ โกรธ คือ,ี่,","
รูปขั้นสูงสุดของ โกรธ คือ,ส,000
รูปขั้นสูงสุดของ โกรธ คือ,ุด,","
รูปขั้นสูงสุดของ แย่ คือ, แ, 
รูปขั้นสูงสุดของ แย่ คือ,ย,1
รูปขั้นสูงสุดของ แย่ คือ,่ท,.
รูปขั้นสูงสุดของ แย่ คือ,ี่,5
รูปขั้นสูงสุดของ แย่ คือ,ส, เท
รูปขั้นสูงสุดของ แย่ คือ,ุด,่า
รูปขั้นสูงสุดของ ใหญ่ คือ, , 
รูปขั้นสูงสุดของ ใหญ่ คือ,ใหญ,1
รูปขั้นสูงสุดของ ใหญ่ คือ,่ท,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ี่,000
รูปขั้นสูงสุดของ ใหญ่ คือ,ส,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ุด,000
รูปขั้นสูงสุดของ กล้าหาญ คือ, กล, 
รูปขั้นสูงสุดของ กล้าหาญ คือ,้าห,1
รูปขั้นสูงสุดของ กล้าหาญ คือ,าญ,","
รูปขั้นสูงสุดของ กล้าหาญ คือ,ท,000
รูปขั้นสูงสุดของ กล้าหาญ คือ,ี่,","
รูปขั้นสูงสุดของ กล้าหาญ คือ,ส,000
รูปขั้นสูงสุดของ กล้าหาญ คือ,ุด,","
รูปขั้นสูงสุดของ สว่าง คือ, ส, 
รูปขั้นสูงสุดของ สว่าง คือ,ว,1
รูปขั้นสูงสุดของ สว่าง คือ,่าง,","
รูปขั้นสูงสุดของ สว่าง คือ,ท,000
รูปขั้นสูงสุดของ สว่าง คือ,ี่,","
รูปขั้นสูงสุดของ สว่าง คือ,ส,000
รูปขั้นสูงสุดของ สว่าง คือ,ุด,","
รูปขั้นสูงสุดของ สงบ คือ, ส, 
รูปขั้นสูงสุดของ สงบ คือ,ง,1
รูปขั้นสูงสุดของ สงบ คือ,บท,","
รูปขั้นสูงสุดของ สงบ คือ,ี่,000
รูปขั้นสูงสุดของ สงบ คือ,ส,","
รูปขั้นสูงสุดของ สงบ คือ,ุด,000
รูปขั้นสูงสุดของ ถูก คือ, ถ, 
รูปขั้นสูงสุดของ ถูก คือ,ูก,1
รูปขั้นสูงสุดของ ถูก คือ,ท,","
รูปขั้นสูงสุดของ ถูก คือ,ี่,000
รูปขั้นสูงสุดของ ถูก คือ,ส,","
รูปขั้นสูงสุดของ ถูก คือ,ุด,000
รูปขั้นสูงสุดของ สะอาด คือ, ส, 
รูปขั้นสูงสุดของ สะอาด คือ,ะ,1
รูปขั้นสูงสุดของ สะอาด คือ,อ,.
รูปขั้นสูงสุดของ สะอาด คือ,าด,0
รูปขั้นสูงสุดของ สะอาด คือ,ท,"
"
รูปขั้นสูงสุดของ สะอาด คือ,ี่,   
รูปขั้นสูงสุดของ สะอาด คือ,ส, -
รูปขั้นสูงสุดของ สะอาด คือ,ุด, ส
รูปขั้นสูงสุดของ หนาว คือ, หน, 
รูปขั้นสูงสุดของ หนาว คือ,าว,1
รูปขั้นสูงสุดของ หนาว คือ,ท,.
รูปขั้นสูงสุดของ หนาว คือ,ี่,0
รูปขั้นสูงสุดของ หนาว คือ,ส,","
รูปขั้นสูงสุดของ หนาว คือ,ุด, และ
รูปขั้นสูงสุดของ บ้า คือ, บ, 
รูปขั้นสูงสุดของ บ้า คือ,้าท,1
รูปขั้นสูงสุดของ บ้า คือ,ี่,","
รูปขั้นสูงสุดของ บ้า คือ,ส,000
รูปขั้นสูงสุดของ บ้า คือ,ุด,","
รูปขั้นสูงสุดของ โหดร้าย คือ, โ, 
รูปขั้นสูงสุดของ โหดร้าย คือ,ห,1
รูปขั้นสูงสุดของ โหดร้าย คือ,ดร,","
รูปขั้นสูงสุดของ โหดร้าย คือ,้าย,000
รูปขั้นสูงสุดของ โหดร้าย คือ,ท,","
รูปขั้นสูงสุดของ โหดร้าย คือ,ี่,000
รูปขั้นสูงสุดของ โหดร้าย คือ,ส,","
รูปขั้นสูงสุดของ โหดร้าย คือ,ุด,000
รูปขั้นสูงสุดของ มืด คือ, ม, 
รูปขั้นสูงสุดของ มืด คือ,ื,1
รูปขั้นสูงสุดของ มืด คือ,ด,.
รูปขั้นสูงสุดของ มืด คือ,ท,5
รูปขั้นสูงสุดของ มืด คือ,ี่, ล
รูปขั้นสูงสุดของ มืด คือ,ส,้าน
รูปขั้นสูงสุดของ มืด คือ,ุด,ล
รูปขั้นสูงสุดของ ลึก คือ, ล, 
รูปขั้นสูงสุดของ ลึก คือ,ึก,1
รูปขั้นสูงสุดของ ลึก คือ,ท,.
รูปขั้นสูงสุดของ ลึก คือ,ี่,5
รูปขั้นสูงสุดของ ลึก คือ,ส, เมตร
รูปขั้นสูงสุดของ ลึก คือ,ุด, (
รูปขั้นสูงสุดของ สกปรก คือ, ส, 
รูปขั้นสูงสุดของ สกปรก คือ,ก,1
รูปขั้นสูงสุดของ สกปรก คือ,ปร,","
รูปขั้นสูงสุดของ สกปรก คือ,ก,000
รูปขั้นสูงสุดของ สกปรก คือ,ท,","
รูปขั้นสูงสุดของ สกปรก คือ,ี่,000
รูปขั้นสูงสุดของ สกปรก คือ,ส,","
รูปขั้นสูงสุดของ สกปรก คือ,ุด,000
รูปขั้นสูงสุดของ แห้ง คือ, แ, 
รูปขั้นสูงสุดของ แห้ง คือ,ห,1
รูปขั้นสูงสุดของ แห้ง คือ,้,.
รูปขั้นสูงสุดของ แห้ง คือ,งท,0
รูปขั้นสูงสุดของ แห้ง คือ,ี่,.
รูปขั้นสูงสุดของ แห้ง คือ,ส,0
รูปขั้นสูงสุดของ แห้ง คือ,ุด,.
รูปขั้นสูงสุดของ น่าเบื่อ คือ, น, 
รูปขั้นสูงสุดของ น่าเบื่อ คือ,่า,0
รูปขั้นสูงสุดของ น่าเบื่อ คือ,เบ,.
รูปขั้นสูงสุดของ น่าเบื่อ คือ,ื่,5
รูปขั้นสูงสุดของ น่าเบื่อ คือ,อท, และ
รูปขั้นสูงสุดของ น่าเบื่อ คือ,ี่,น
รูปขั้นสูงสุดของ น่าเบื่อ คือ,ส,่า
รูปขั้นสูงสุดของ น่าเบื่อ คือ,ุด,เบ
รูปขั้นสูงสุดของ ง่าย คือ, ง, 
รูปขั้นสูงสุดของ ง่าย คือ,่าย,1
รูปขั้นสูงสุดของ ง่าย คือ,ท,.
รูปขั้นสูงสุดของ ง่าย คือ,ี่,0
รูปขั้นสูงสุดของ ง่าย คือ,ส,.
รูปขั้นสูงสุดของ ง่าย คือ,ุด,0
รูปขั้นสูงสุดของ เร็ว คือ, เร, 
รูปขั้นสูงสุดของ เร็ว คือ,็ว,1
รูปขั้นสูงสุดของ เร็ว คือ,ท,.
รูปขั้นสูงสุดของ เร็ว คือ,ี่,0
รูปขั้นสูงสุดของ เร็ว คือ,ส,","
รูปขั้นสูงสุดของ เร็ว คือ,ุด, และ
รูปขั้นสูงสุดของ ดุ คือ, ด, 
รูปขั้นสูงสุดของ ดุ คือ,ุท,1
รูปขั้นสูงสุดของ ดุ คือ,ี่,","
รูปขั้นสูงสุดของ ดุ คือ,ส,000
รูปขั้นสูงสุดของ ดุ คือ,ุด,","
รูปขั้นสูงสุดของ สด คือ, ส, 
รูปขั้นสูงสุดของ สด คือ,ด,1
รูปขั้นสูงสุดของ สด คือ,ท,.
รูปขั้นสูงสุดของ สด คือ,ี่,0
รูปขั้นสูงสุดของ สด คือ,ส,.
รูปขั้นสูงสุดของ สด คือ,ุด,0
รูปขั้นสูงสุดของ เป็นมิตร คือ, เป, 
รูปขั้นสูงสุดของ เป็นมิตร คือ,็น,1
รูปขั้นสูงสุดของ เป็นมิตร คือ,ม,.
รูปขั้นสูงสุดของ เป็นมิตร คือ,ิตร,0
รูปขั้นสูงสุดของ เป็นมิตร คือ,ท,.
รูปขั้นสูงสุดของ เป็นมิตร คือ,ี่,0
รูปขั้นสูงสุดของ เป็นมิตร คือ,ส,.
รูปขั้นสูงสุดของ เป็นมิตร คือ,ุด,0
รูปขั้นสูงสุดของ เต็ม คือ, เต, 
รูปขั้นสูงสุดของ เต็ม คือ,็ม,1
รูปขั้นสูงสุดของ เต็ม คือ,ท,.
รูปขั้นสูงสุดของ เต็ม คือ,ี่,0
รูปขั้นสูงสุดของ เต็ม คือ,ส,.
รูปขั้นสูงสุดของ เต็ม คือ,ุด,0
รูปขั้นสูงสุดของ ตลก คือ, ต, 
รูปขั้นสูงสุดของ ตลก คือ,ล,1
รูปขั้นสูงสุดของ ตลก คือ,ก,","
รูปขั้นสูงสุดของ ตลก คือ,ท,000
รูปขั้นสูงสุดของ ตลก คือ,ี่,","
รูปขั้นสูงสุดของ ตลก คือ,ส,000
รูปขั้นสูงสุดของ ตลก คือ,ุด,","
รูปขั้นสูงสุดของ อ่อนโยน คือ, อ, 
รูปขั้นสูงสุดของ อ่อนโยน คือ,่อน,1
รูปขั้นสูงสุดของ อ่อนโยน คือ,โย,.
รูปขั้นสูงสุดของ อ่อนโยน คือ,นท,0
รูปขั้นสูงสุดของ อ่อนโยน คือ,ี่,","
รูปขั้นสูงสุดของ อ่อนโยน คือ,ส, และ
รูปขั้นสูงสุดของ อ่อนโยน คือ,ุด,ม
รูปขั้นสูงสุดของ ด คือ, ด, 
รูปขั้นสูงสุดของ ด คือ,ีท,1
รูปขั้นสูงสุดของ ด คือ,ี่,","
รูปขั้นสูงสุดของ ด คือ,ส,000
รูปขั้นสูงสุดของ ด คือ,ุด,","
รูปขั้นสูงสุดของ ใหญ่ คือ, , 
รูปขั้นสูงสุดของ ใหญ่ คือ,ใหญ,1
รูปขั้นสูงสุดของ ใหญ่ คือ,่ท,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ี่,000
รูปขั้นสูงสุดของ ใหญ่ คือ,ส,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ุด,000
รูปขั้นสูงสุดของ มีความสุข คือ, ม, 
รูปขั้นสูงสุดของ มีความสุข คือ,ีความ,1
รูปขั้นสูงสุดของ มีความสุข คือ,ส,.
รูปขั้นสูงสุดของ มีความสุข คือ,ุข,0
รูปขั้นสูงสุดของ มีความสุข คือ,ท,"
"
รูปขั้นสูงสุดของ มีความสุข คือ,ี่,       
รูปขั้นสูงสุดของ มีความสุข คือ,ส, #
รูปขั้นสูงสุดของ มีความสุข คือ,ุด, print
รูปขั้นสูงสุดของ ยาก คือ, ย, 
รูปขั้นสูงสุดของ ยาก คือ,าก,1
รูปขั้นสูงสุดของ ยาก คือ,ท,","
รูปขั้นสูงสุดของ ยาก คือ,ี่,000
รูปขั้นสูงสุดของ ยาก คือ,ส,","
รูปขั้นสูงสุดของ ยาก คือ,ุด,000
รูปขั้นสูงสุดของ แข็งแรง คือ, แ, 
รูปขั้นสูงสุดของ แข็งแรง คือ,ข,1
รูปขั้นสูงสุดของ แข็งแรง คือ,็ง,.
รูปขั้นสูงสุดของ แข็งแรง คือ,แรง,0
รูปขั้นสูงสุดของ แข็งแรง คือ,ท,"
"
รูปขั้นสูงสุดของ แข็งแรง คือ,ี่,*
รูปขั้นสูงสุดของ แข็งแรง คือ,ส, 
รูปขั้นสูงสุดของ แข็งแรง คือ,ุด,1
รูปขั้นสูงสุดของ หนัก คือ, หน, 
รูปขั้นสูงสุดของ หนัก คือ,ักท,1
รูปขั้นสูงสุดของ หนัก คือ,ี่,","
รูปขั้นสูงสุดของ หนัก คือ,ส,000
รูปขั้นสูงสุดของ หนัก คือ,ุด,","
รูปขั้นสูงสุดของ สูง คือ, ส, 
รูปขั้นสูงสุดของ สูง คือ,ู,1
รูปขั้นสูงสุดของ สูง คือ,งท,.
รูปขั้นสูงสุดของ สูง คือ,ี่,5
รูปขั้นสูงสุดของ สูง คือ,ส, เมตร
รูปขั้นสูงสุดของ สูง คือ,ุด, (
รูปขั้นสูงสุดของ ร้อน คือ, ร, 
รูปขั้นสูงสุดของ ร้อน คือ,้อ,1
รูปขั้นสูงสุดของ ร้อน คือ,นท,","
รูปขั้นสูงสุดของ ร้อน คือ,ี่,000
รูปขั้นสูงสุดของ ร้อน คือ,ส, 
รูปขั้นสูงสุดของ ร้อน คือ,ุด,อง
รูปขั้นสูงสุดของ หิว คือ, ห, 
รูปขั้นสูงสุดของ หิว คือ,ิว,1
รูปขั้นสูงสุดของ หิว คือ,ท,.
รูปขั้นสูงสุดของ หิว คือ,ี่,5
รูปขั้นสูงสุดของ หิว คือ,ส, ก
รูปขั้นสูงสุดของ หิว คือ,ุด,ิโล
รูปขั้นสูงสุดของ ใจดี คือ, , ความ
รูปขั้นสูงสุดของ ใจดี คือ,ใจ,ร
รูปขั้นสูงสุดของ ใจดี คือ,ด,ู้
รูปขั้นสูงสุดของ ใจดี คือ,ีท,ส
รูปขั้นสูงสุดของ ใจดี คือ,ี่,ึก
รูปขั้นสูงสุดของ ใจดี คือ,ส,ท
รูปขั้นสูงสุดของ ใจดี คือ,ุด,ี่
รูปขั้นสูงสุดของ ใหญ่ คือ, , 
รูปขั้นสูงสุดของ ใหญ่ คือ,ใหญ,1
รูปขั้นสูงสุดของ ใหญ่ คือ,่ท,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ี่,000
รูปขั้นสูงสุดของ ใหญ่ คือ,ส,","
รูปขั้นสูงสุดของ ใหญ่ คือ,ุด,000
รูปขั้นสูงสุดของ ขี้เกียจ คือ, ข, การ
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ี้,ไม
รูปขั้นสูงสุดของ ขี้เกียจ คือ,เก,่
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ีย,ทำ
รูปขั้นสูงสุดของ ขี้เกียจ คือ,จ,อะไร
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ท,เลย
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ี่,"
"
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ส,*
รูปขั้นสูงสุดของ ขี้เกียจ คือ,ุด, ข
รูปขั้นสูงสุดของ เบา คือ, เ, 
รูปขั้นสูงสุดของ เบา คือ,บาท,1
รูปขั้นสูงสุดของ เบา คือ,ี่,.
รูปขั้นสูงสุดของ เบา คือ,ส,5
รูปขั้นสูงสุดของ เบา คือ,ุด, ก
รูปขั้นสูงสุดของ เล็ก คือ, เล, 
รูปขั้นสูงสุดของ เล็ก คือ,็ก,1
รูปขั้นสูงสุดของ เล็ก คือ,ท,","
รูปขั้นสูงสุดของ เล็ก คือ,ี่,000
รูปขั้นสูงสุดของ เล็ก คือ,ส,","
รูปขั้นสูงสุดของ เล็ก คือ,ุด,000
รูปขั้นสูงสุดของ ยาว คือ, ย, 
รูปขั้นสูงสุดของ ยาว คือ,าว,1
รูปขั้นสูงสุดของ ยาว คือ,ท,.
รูปขั้นสูงสุดของ ยาว คือ,ี่,5
รูปขั้นสูงสุดของ ยาว คือ,ส, เมตร
รูปขั้นสูงสุดของ ยาว คือ,ุด, (
รูปขั้นสูงสุดของ ดัง คือ, ด, 
รูปขั้นสูงสุดของ ดัง คือ,ัง,1
รูปขั้นสูงสุดของ ดัง คือ,ท,","
รูปขั้นสูงสุดของ ดัง คือ,ี่,000
รูปขั้นสูงสุดของ ดัง คือ,ส,","
รูปขั้นสูงสุดของ ดัง คือ,ุด,000
รูปขั้นสูงสุดของ ต่ำ คือ, ต, 
รูปขั้นสูงสุดของ ต่ำ คือ,่ำ,0
รูปขั้นสูงสุดของ ต่ำ คือ,ท,.
รูปขั้นสูงสุดของ ต่ำ คือ,ี่,5
รูปขั้นสูงสุดของ ต่ำ คือ,ส, และ
รูปขั้นสูงสุดของ ต่ำ คือ,ุด,ส
รูปขั้นสูงสุดของ บ้า คือ, บ, 
รูปขั้นสูงสุดของ บ้า คือ,้าท,1
รูปขั้นสูงสุดของ บ้า คือ,ี่,","
รูปขั้นสูงสุดของ บ้า คือ,ส,000
รูปขั้นสูงสุดของ บ้า คือ,ุด,","
รูปขั้นสูงสุดของ ใจร้าย คือ, , 
รูปขั้นสูงสุดของ ใจร้าย คือ,ใจ,1
รูปขั้นสูงสุดของ ใจร้าย คือ,ร,","
รูปขั้นสูงสุดของ ใจร้าย คือ,้าย,000
รูปขั้นสูงสุดของ ใจร้าย คือ,ท,","
รูปขั้นสูงสุดของ ใจร้าย คือ,ี่,000
รูปขั้นสูงสุดของ ใจร้าย คือ,ส,","
รูปขั้นสูงสุดของ ใจร้าย คือ,ุด,000
รูปขั้นสูงสุดของ รก คือ, ร, 
รูปขั้นสูงสุดของ รก คือ,ก,1
รูปขั้นสูงสุดของ รก คือ,ท,","
รูปขั้นสูงสุดของ รก คือ,ี่,000
รูปขั้นสูงสุดของ รก คือ,ส,","
รูปขั้นสูงสุดของ รก คือ,ุด,000
รูปขั้นสูงสุดของ แคบ คือ, แ, 
รูปขั้นสูงสุดของ แคบ คือ,ค,1
รูปขั้นสูงสุดของ แคบ คือ,บท,","
รูปขั้นสูงสุดของ แคบ คือ,ี่,000
รูปขั้นสูงสุดของ แคบ คือ,ส,","
รูปขั้นสูงสุดของ แคบ คือ,ุด,000
รูปขั้นสูงสุดของ ใกล้ คือ, , 
รูปขั้นสูงสุดของ ใกล้ คือ,ใกล,0
รูปขั้นสูงสุดของ ใกล้ คือ,้ท,.
รูปขั้นสูงสุดของ ใกล้ คือ,ี่,000
รูปขั้นสูงสุดของ ใกล้ คือ,ส,000
รูปขั้นสูงสุดของ ใกล้ คือ,ุด,000
รูปขั้นสูงสุดของ ใหม่ คือ, , 
รูปขั้นสูงสุดของ ใหม่ คือ,ใหม,1
รูปขั้นสูงสุดของ ใหม่ คือ,่ท,","
รูปขั้นสูงสุดของ ใหม่ คือ,ี่,000
รูปขั้นสูงสุดของ ใหม่ คือ,ส,","
รูปขั้นสูงสุดของ ใหม่ คือ,ุด,000
รูปขั้นสูงสุดของ เก่า คือ, เก, 
รูปขั้นสูงสุดของ เก่า คือ,่าท,1
รูปขั้นสูงสุดของ เก่า คือ,ี่,","
รูปขั้นสูงสุดของ เก่า คือ,ส,000
รูปขั้นสูงสุดของ เก่า คือ,ุด,","
รูปขั้นสูงสุดของ สุภาพ คือ, ส, 
รูปขั้นสูงสุดของ สุภาพ คือ,ุ,1
รูปขั้นสูงสุดของ สุภาพ คือ,ภาพ,","
รูปขั้นสูงสุดของ สุภาพ คือ,ท,000
รูปขั้นสูงสุดของ สุภาพ คือ,ี่,","
รูปขั้นสูงสุดของ สุภาพ คือ,ส,000
รูปขั้นสูงสุดของ สุภาพ คือ,ุด,","
รูปขั้นสูงสุดของ จน คือ, จ, 
รูปขั้นสูงสุดของ จน คือ,นท,1
รูปขั้นสูงสุดของ จน คือ,ี่,","
รูปขั้นสูงสุดของ จน คือ,ส,000
รูปขั้นสูงสุดของ จน คือ,ุด,","
รูปขั้นสูงสุดของ เร็ว คือ, เร, 
รูปขั้นสูงสุดของ เร็ว คือ,็ว,1
รูปขั้นสูงสุดของ เร็ว คือ,ท,.
