prompt,answer_token,predicted_top1_token
CURVA termina con la lettera, A," """
PESANTE termina con la lettera, E, S
BELLA termina con la lettera, A," """
CHIEDI termina con la lettera, I, di
ESPANDERE termina con la lettera, E, E
FRONTE termina con la lettera, E," """
DURO termina con la lettera, O," """
GENTILE termina con la lettera, E," """
VAI termina con la lettera, I," """
CHIRURGIA termina con la lettera, A," """
PASSATO termina con la lettera, O," """
DENTRO termina con la lettera, O," """
ENTRA termina con la lettera, A," """
INIZIA termina con la lettera, A," """
SVANIRE termina con la lettera, E," """
AUTUNNO termina con la lettera, O," """
PAZZO termina con la lettera, O," """
DIMENTICARE termina con la lettera, E," """
ACCIGLIARSI termina con la lettera, I," """
GRANDE termina con la lettera, E," """
IMPARARE termina con la lettera, E," """
LISCIO termina con la lettera, O," """
AMPIO termina con la lettera, O," """
AEREO termina con la lettera, O, A
SBAGLIATO termina con la lettera, O, A
DANZA termina con la lettera, A," """
VINCERE termina con la lettera, E, V
CREDERE termina con la lettera, E," """
CONCERTO termina con la lettera, O," """
BICICLETTA termina con la lettera, A," """
STANTIO termina con la lettera, O, S
BIBLIOTECA termina con la lettera, A," """
CHIAMATA termina con la lettera, A," """
DARE termina con la lettera, E," """
CONOSCERE termina con la lettera, E," """
SCALARE termina con la lettera, E, S
FRESCO termina con la lettera, O," """
GUARDA termina con la lettera, A," """
VECCHIO termina con la lettera, O," """
PALESTRA termina con la lettera, A," """
ALTO termina con la lettera, O," """
DECIDERE termina con la lettera, E," """
SCEGLIERE termina con la lettera, E," """
VOLERE termina con la lettera, E," """
FORTE termina con la lettera, E," """
CAMMINARE termina con la lettera, E," """
SCATOLA termina con la lettera, A," """
SCORTESE termina con la lettera, E," """
MACCHINA termina con la lettera, A," """
CALMO termina con la lettera, O," """
DESTRA termina con la lettera, A," """
INCLUDERE termina con la lettera, E, R
FALSO termina con la lettera, O," """
SUSSURRO termina con la lettera, O, S
PROFONDO termina con la lettera, O," """
FILM termina con la lettera, M," """
RIDERE termina con la lettera, E," """
ACIDO termina con la lettera, O," """
BENEDICI termina con la lettera, I," """
SPORCO termina con la lettera, O," """
PICCOLO termina con la lettera, O," """
COSTRUIRE termina con la lettera, E," """
EDUCAZIONE termina con la lettera, E, Z
PIACE termina con la lettera, E," """
BISOGNO termina con la lettera, O, S
DURO termina con la lettera, O," """
FINIRE termina con la lettera, E, F
PORTARE termina con la lettera, E," """
TRISTE termina con la lettera, E," """
CATTIVO termina con la lettera, O," """
PIGRO termina con la lettera, O," """
INSIEME termina con la lettera, E," """
CORTO termina con la lettera, O," """
SALTO termina con la lettera, O," """
SOFTWARE termina con la lettera, E," """
BAGNATO termina con la lettera, O," """
VERO termina con la lettera, O," """
BATTAGLIA termina con la lettera, A," """
ALLEGRIA termina con la lettera, A," """
SEMPLICE termina con la lettera, E," """
LENTO termina con la lettera, O," """
PIENO termina con la lettera, O," """
LUCE termina con la lettera, E," """
PIANOFORTE termina con la lettera, E," """
SCRIVERE termina con la lettera, E," """
MANGIARE termina con la lettera, E," """
SEGUI termina con la lettera, I," """
GENTILE termina con la lettera, E," """
PENSARE termina con la lettera, E, “
DRAMMA termina con la lettera, A," """
CAPIRE termina con la lettera, E," """
COMPRA termina con la lettera, A," """
SPINGI termina con la lettera, I," """
FREDDO termina con la lettera, O," """
SÌ termina con la lettera, �, S
SÌ termina con la lettera,�,Ì
SECCO termina con la lettera, O," """
AMICHEVOLE termina con la lettera, E, V
SCUOTERE termina con la lettera, E," """
FELICE termina con la lettera, E," """
RICORDA termina con la lettera, A," """
BEVI termina con la lettera, I," """
PRENDERE termina con la lettera, E," """
MALATO termina con la lettera, O," """
TIRA termina con la lettera, A," """
NUOTARE termina con la lettera, E," """
VELOCE termina con la lettera, E," """
AMORE termina con la lettera, E," """
EDUCATO termina con la lettera, O," """
VIENI termina con la lettera, I," """
BRUTTO termina con la lettera, O," """
LODE termina con la lettera, E," """
FORTE termina con la lettera, E," """
CRUDELE termina con la lettera, E," """
ATTRARRE termina con la lettera, E," """
POSITIVO termina con la lettera, O," """
