prompt,answer_token,predicted_top1_token
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Superman est", Clark, Kal
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Superman est", Kent,-
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Batman est", Bruce, Bruce
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Batman est", Wayne, Wayne
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Wonder Woman est", Diana, Diana
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Wonder Woman est", Prince, Prince
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Spider-Man est", Peter, Peter
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Spider-Man est", Parker, Parker
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Iron Man est", Tony, Tony
"Le vrai nom de Moon Knight est Marc Spector.
Le vrai nom de Doctor Fate est Kent Nelson.
Le vrai nom de Nova est Richard Rider.
Le vrai nom de Captain Atom est Nathaniel Adam.
Le vrai nom de Plastic Man est Patrick O’Brian.
Le vrai nom de Iron Man est", Stark, Stark
