prompt,answer_token,predicted_top1_token
"VOYAGE commence par la lettre V.
PLIER commence par la lettre", P, P
"VOYAGE commence par la lettre V.
LOURD commence par la lettre", L, L
"VOYAGE commence par la lettre V.
BELLE commence par la lettre", B, B
"VOYAGE commence par la lettre V.
DEMANDER commence par la lettre", D, D
"VOYAGE commence par la lettre V.
ÉTENDRE commence par la lettre", É, E
"VOYAGE commence par la lettre V.
DEVANT commence par la lettre", D, D
"VOYAGE commence par la lettre V.
DIFFICILE commence par la lettre", D, D
"VOYAGE commence par la lettre V.
GENTIL commence par la lettre", G, G
"VOYAGE commence par la lettre V.
ALLER commence par la lettre", A, A
"VOYAGE commence par la lettre V.
CHIRURGIE commence par la lettre", C, C
"VOYAGE commence par la lettre V.
PASSÉ commence par la lettre", P, P
"VOYAGE commence par la lettre V.
DEDANS commence par la lettre", D, D
"VOYAGE commence par la lettre V.
ENTRER commence par la lettre", E, E
"VOYAGE commence par la lettre V.
COMMENCER commence par la lettre", C, C
"VOYAGE commence par la lettre V.
DISPARAÎTRE commence par la lettre", D, D
"VOYAGE commence par la lettre V.
AUTOMNE commence par la lettre", A, A
"VOYAGE commence par la lettre V.
FOU commence par la lettre", F, F
"VOYAGE commence par la lettre V.
OUBLIER commence par la lettre", O, O
"VOYAGE commence par la lettre V.
FRONCER commence par la lettre", F, F
"VOYAGE commence par la lettre V.
GÉNIAL commence par la lettre", G, G
"VOYAGE commence par la lettre V.
APPRENDRE commence par la lettre", A, A
"VOYAGE commence par la lettre V.
LISSE commence par la lettre", L, S
"VOYAGE commence par la lettre V.
LARGE commence par la lettre", L, L
"VOYAGE commence par la lettre V.
AVION commence par la lettre", A, A
"VOYAGE commence par la lettre V.
FAUX commence par la lettre", F, F
"VOYAGE commence par la lettre V.
DANSE commence par la lettre", D, D
"VOYAGE commence par la lettre V.
GAGNER commence par la lettre", G, G
"VOYAGE commence par la lettre V.
CROIRE commence par la lettre", C, C
"VOYAGE commence par la lettre V.
CONCERT commence par la lettre", C, C
"VOYAGE commence par la lettre V.
VÉLO commence par la lettre", V, V
"VOYAGE commence par la lettre V.
RASSIS commence par la lettre", R, R
"VOYAGE commence par la lettre V.
BIBLIOTHÈQUE commence par la lettre", B, B
"VOYAGE commence par la lettre V.
APPEL commence par la lettre", A, A
"VOYAGE commence par la lettre V.
DONNER commence par la lettre", D, D
"VOYAGE commence par la lettre V.
SAVOIR commence par la lettre", S, S
"VOYAGE commence par la lettre V.
GRIMPER commence par la lettre", G, G
"VOYAGE commence par la lettre V.
FRAIS commence par la lettre", F, F
"VOYAGE commence par la lettre V.
REGARDER commence par la lettre", R, R
"VOYAGE commence par la lettre V.
VIEUX commence par la lettre", V, V
"VOYAGE commence par la lettre V.
SALLE commence par la lettre", S, S
"VOYAGE commence par la lettre V.
HAUT commence par la lettre", H, H
"VOYAGE commence par la lettre V.
DÉCIDER commence par la lettre", D, D
"VOYAGE commence par la lettre V.
CHOISIR commence par la lettre", C, C
"VOYAGE commence par la lettre V.
VOULOIR commence par la lettre", V, V
"VOYAGE commence par la lettre V.
FORT commence par la lettre", F, F
"VOYAGE commence par la lettre V.
MARCHER commence par la lettre", M, M
"VOYAGE commence par la lettre V.
BOÎTE commence par la lettre", B, B
"VOYAGE commence par la lettre V.
GROSSIER commence par la lettre", G, G
"VOYAGE commence par la lettre V.
MACHINE commence par la lettre", M, M
"VOYAGE commence par la lettre V.
CALME commence par la lettre", C, C
"VOYAGE commence par la lettre V.
DROIT commence par la lettre", D, D
"VOYAGE commence par la lettre V.
INCLURE commence par la lettre", I, I
"VOYAGE commence par la lettre V.
FAUX commence par la lettre", F, F
"VOYAGE commence par la lettre V.
CHUCHOTER commence par la lettre", C, C
"VOYAGE commence par la lettre V.
PROFOND commence par la lettre", P, P
"VOYAGE commence par la lettre V.
FILM commence par la lettre", F, F
"VOYAGE commence par la lettre V.
RIRE commence par la lettre", R, R
"VOYAGE commence par la lettre V.
AIGRE commence par la lettre", A, A
"VOYAGE commence par la lettre V.
BÉNIR commence par la lettre", B, B
"VOYAGE commence par la lettre V.
SALE commence par la lettre", S, S
"VOYAGE commence par la lettre V.
PETIT commence par la lettre", P, P
"VOYAGE commence par la lettre V.
CONSTRUIRE commence par la lettre", C, C
"VOYAGE commence par la lettre V.
ÉDUCATION commence par la lettre", É, E
"VOYAGE commence par la lettre V.
AIMER commence par la lettre", A, A
"VOYAGE commence par la lettre V.
BESOIN commence par la lettre", B, B
"VOYAGE commence par la lettre V.
DUR commence par la lettre", D, D
"VOYAGE commence par la lettre V.
FINIR commence par la lettre", F, F
"VOYAGE commence par la lettre V.
APPORTER commence par la lettre", A, A
"VOYAGE commence par la lettre V.
TRISTE commence par la lettre", T, T
"VOYAGE commence par la lettre V.
MAUVAIS commence par la lettre", M, M
"VOYAGE commence par la lettre V.
PARESSEUX commence par la lettre", P, P
"VOYAGE commence par la lettre V.
ENSEMBLE commence par la lettre", E, E
"VOYAGE commence par la lettre V.
COURT commence par la lettre", C, C
"VOYAGE commence par la lettre V.
SAUTER commence par la lettre", S, S
"VOYAGE commence par la lettre V.
LOGICIEL commence par la lettre", L, L
"VOYAGE commence par la lettre V.
MOUILLÉ commence par la lettre", M, M
"VOYAGE commence par la lettre V.
VRAI commence par la lettre", V, V
"VOYAGE commence par la lettre V.
BATAILLE commence par la lettre", B, B
"VOYAGE commence par la lettre V.
ACCLAMATION commence par la lettre", A, A
"VOYAGE commence par la lettre V.
SIMPLE commence par la lettre", S, S
"VOYAGE commence par la lettre V.
LENT commence par la lettre", L, L
"VOYAGE commence par la lettre V.
PLEIN commence par la lettre", P, P
"VOYAGE commence par la lettre V.
LUMIÈRE commence par la lettre", L, L
"VOYAGE commence par la lettre V.
PIANO commence par la lettre", P, P
"VOYAGE commence par la lettre V.
ÉCRIRE commence par la lettre", É, E
"VOYAGE commence par la lettre V.
MANGER commence par la lettre", M, M
"VOYAGE commence par la lettre V.
SUIVRE commence par la lettre", S, S
"VOYAGE commence par la lettre V.
DOUX commence par la lettre", D, D
"VOYAGE commence par la lettre V.
PENSER commence par la lettre", P, P
"VOYAGE commence par la lettre V.
DRAME commence par la lettre", D, D
"VOYAGE commence par la lettre V.
COMPRENDRE commence par la lettre", C, C
"VOYAGE commence par la lettre V.
ACHETER commence par la lettre", A, A
"VOYAGE commence par la lettre V.
POUSSER commence par la lettre", P, P
"VOYAGE commence par la lettre V.
FROID commence par la lettre", F, F
"VOYAGE commence par la lettre V.
OUI commence par la lettre", O, O
"VOYAGE commence par la lettre V.
SEC commence par la lettre", S, S
"VOYAGE commence par la lettre V.
AMICAL commence par la lettre", A, A
"VOYAGE commence par la lettre V.
SECOUER commence par la lettre", S, S
"VOYAGE commence par la lettre V.
HEUREUX commence par la lettre", H, H
"VOYAGE commence par la lettre V.
SE commence par la lettre", S, S
"VOYAGE commence par la lettre V.
BOIRE commence par la lettre", B, B
"VOYAGE commence par la lettre V.
PRENDRE commence par la lettre", P, P
"VOYAGE commence par la lettre V.
MALADE commence par la lettre", M, M
"VOYAGE commence par la lettre V.
TIRER commence par la lettre", T, T
"VOYAGE commence par la lettre V.
NAGER commence par la lettre", N, N
"VOYAGE commence par la lettre V.
RAPIDE commence par la lettre", R, R
"VOYAGE commence par la lettre V.
AMOUR commence par la lettre", A, A
"VOYAGE commence par la lettre V.
POLI commence par la lettre", P, P
"VOYAGE commence par la lettre V.
VIENS commence par la lettre", V, V
"VOYAGE commence par la lettre V.
LAID commence par la lettre", L, L
"VOYAGE commence par la lettre V.
LOUANGE commence par la lettre", L, L
"VOYAGE commence par la lettre V.
FORT commence par la lettre", F, F
"VOYAGE commence par la lettre V.
CRUEL commence par la lettre", C, C
"VOYAGE commence par la lettre V.
ATTIRER commence par la lettre", A, A
"VOYAGE commence par la lettre V.
POSITIF commence par la lettre", P, P
"VOYAGE commence par la lettre V.
LONG commence par la lettre", L, L
"VOYAGE commence par la lettre V.
EMPRUNTER commence par la lettre", E, E
"VOYAGE commence par la lettre V.
SAUVEGARDER commence par la lettre", S, S
"VOYAGE commence par la lettre V.
FOU commence par la lettre", F, F
"VOYAGE commence par la lettre V.
MÉDECINE commence par la lettre", M, M
