prompt,answer_token,predicted_top1_token
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Bulbasaur entwickelt sich zu einem/einer", Iv, Iv
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Bulbasaur entwickelt sich zu einem/einer",ys,ys
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Bulbasaur entwickelt sich zu einem/einer",aur,aur
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Charmander entwickelt sich zu einem/einer", Charm, Charm
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Charmander entwickelt sich zu einem/einer",ele,ele
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Charmander entwickelt sich zu einem/einer",on,on
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Squirtle entwickelt sich zu einem/einer", W, W
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Squirtle entwickelt sich zu einem/einer",art,art
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Squirtle entwickelt sich zu einem/einer",ort,ort
"Evoli entwickelt sich zu einem/einer Aquana.
Evoli entwickelt sich zu einem/einer Blitza.
Evoli entwickelt sich zu einem/einer Flamara.
Rabauz entwickelt sich zu einem/einer Kicklee.
Rabauz entwickelt sich zu einem/einer Nockchan.
Rabauz entwickelt sich zu einem/einer Kapoera.
Pichu entwickelt sich zu einem/einer Pikachu.
Karpador entwickelt sich zu einem/einer Garados.
Remoraid entwickelt sich zu einem/einer Octillery.
Togepi entwickelt sich zu einem/einer Togetic.
Squirtle entwickelt sich zu einem/einer",le,le
