prompt,answer_token,predicted_top1_token
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DOBLAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PESADO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
HERMOSA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PREGUNTAR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
EXPANDIR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
FRENTE termina con la letra", E, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DIFÍCIL termina con la letra", L, L
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
AMABLE termina con la letra", E, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
IR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CIRUGÍA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PASADO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DENTRO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
ENTRAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
COMENZAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DESAPARECER termina con la letra", R, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
OTOÑO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
LOCO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
OLVIDAR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CEÑO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
GENIAL termina con la letra", L, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
APRENDER termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
SUAVE termina con la letra", E, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
ANCHO termina con la letra", O, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
AVIÓN termina con la letra", N, N
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
INCORRECTO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
BAILE termina con la letra", E, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
GANAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CREER termina con la letra", R, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CONCIERTO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
BICICLETA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
RANCIO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
BIBLIOTECA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
LLAMADA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
SABER termina con la letra", R, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
SUBIR termina con la letra", R, I
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
FRESCO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
MIRAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
VIEJO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
GIMNASIO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
ALTO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DECIDIR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
ELEGIR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
QUERER termina con la letra", R, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
RUIDOSO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CAMINAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CAJA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
GROSERO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
MÁQUINA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CALMA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
DERECHA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
INCLUIR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
FALSO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
SUSURRO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PROFUNDO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PELÍCULA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
RISA termina con la letra", A, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
AGRIO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
BENDICE termina con la letra", E, E
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
SUCIO termina con la letra", O, I
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
PEQUEÑO termina con la letra", O, O
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
CONSTRUIR termina con la letra", R, R
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
EDUCACIÓN termina con la letra", N, N
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
GUSTAR termina con la letra", R, A
"FUEGO termina con la letra O.
COLINA termina con la letra A.
GELATINA termina con la letra A.
NECESIDAD termina con la letra", D, D
