prompt,answer_token,predicted_top1_token
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Estados Unidos é", ingl, ingl
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Estados Unidos é",ês,ês
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Canadá é", ingl, ingl
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Canadá é",ês,ês
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em México é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em México é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Brasil é", port, port
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Brasil é",ugu,ugu
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Brasil é",ês,ês
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Argentina é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Argentina é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Chile é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Chile é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Peru é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Peru é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Colômbia é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Colômbia é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Venezuela é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Venezuela é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Espanha é", espan, espan
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Espanha é",hol,hol
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em França é", franc, franc
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em França é",ês,ês
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Alemanha é", a, a
"O idioma oficial em Suécia é língua sueca.
O idioma oficial em Noruega é língua norueguesa.
O idioma oficial em Finlândia é finlandês.
O idioma oficial em Países Baixos é neerlandês.
O idioma oficial em Alemanha é",lem,lem
