prompt,answer_token,predicted_top1_token
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
पिज्जा उस देश से है", इ, इ
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
पिज्जा उस देश से है",ट,ट
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
पिज्जा उस देश से है",ल,ल
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
पिज्जा उस देश से है",ी,ी
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
सूशी उस देश से है", ज, च
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
सूशी उस देश से है",ाप,ीन
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
सूशी उस देश से है",ान,".
"
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
ताको उस देश से है", म, च
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
ताको उस देश से है",ेक,िल
"सुव्लाकी उस देश से है यूनान.
रैटाटुई उस देश से है फ्रांस.
कबाब उस देश से है तुर्की.
खाचापुरी उस देश से है जॉर्जिया.
ब्रिगाडेरो उस देश से है ब्राज़ील.
गज़्पाचो उस देश से है स्पेन.
मोल-फ्रीट उस देश से है बेल्जियम.
पोफ़रचेस उस देश से है नीदरलैंड.
ताजीन उस देश से है मोरक्को.
पिकारोनेस उस देश से है पेरू.
ताको उस देश से है",्स,ी
