prompt,answer_token,predicted_top1_token
"Évoli évolue en un/une Aquali.
Bulbasaur évolue en un/une", Iv, Iv
"Évoli évolue en un/une Aquali.
Bulbasaur évolue en un/une",ys,ys
"Évoli évolue en un/une Aquali.
Bulbasaur évolue en un/une",aur,aur
"Évoli évolue en un/une Aquali.
Charmander évolue en un/une", Charm, Charm
"Évoli évolue en un/une Aquali.
Charmander évolue en un/une",ele,ele
"Évoli évolue en un/une Aquali.
Charmander évolue en un/une",on,on
"Évoli évolue en un/une Aquali.
Squirtle évolue en un/une", W, W
"Évoli évolue en un/une Aquali.
Squirtle évolue en un/une",art,art
"Évoli évolue en un/une Aquali.
Squirtle évolue en un/une",ort,ort
"Évoli évolue en un/une Aquali.
Squirtle évolue en un/une",le,le
"Évoli évolue en un/une Aquali.
Pikachu évolue en un/une", Ra, Ra
"Évoli évolue en un/une Aquali.
Pikachu évolue en un/une",ich,ich
"Évoli évolue en un/une Aquali.
Pikachu évolue en un/une",u,u
"Évoli évolue en un/une Aquali.
Oddish évolue en un/une", G, G
"Évoli évolue en un/une Aquali.
Oddish évolue en un/une",loom,loom
"Évoli évolue en un/une Aquali.
Venonat évolue en un/une", Venom, Al
"Évoli évolue en un/une Aquali.
Venonat évolue en un/une",oth,ak
"Évoli évolue en un/une Aquali.
Diglett évolue en un/une", D, Dig
"Évoli évolue en un/une Aquali.
Diglett évolue en un/une",ug,lett
"Évoli évolue en un/une Aquali.
Diglett évolue en un/une",tr,".
"
"Évoli évolue en un/une Aquali.
Diglett évolue en un/une",io,Dig
"Évoli évolue en un/une Aquali.
Meowth évolue en un/une", Persian, Persian
"Évoli évolue en un/une Aquali.
Psyduck évolue en un/une", Gold, Gold
"Évoli évolue en un/une Aquali.
Psyduck évolue en un/une",uck,uck
"Évoli évolue en un/une Aquali.
Mankey évolue en un/une", Prime, Prime
"Évoli évolue en un/une Aquali.
Mankey évolue en un/une",ape,ape
"Évoli évolue en un/une Aquali.
Growlithe évolue en un/une", Arc, Arc
"Évoli évolue en un/une Aquali.
Growlithe évolue en un/une",anine,anine
"Évoli évolue en un/une Aquali.
Poliwag évolue en un/une", Pol, Pol
"Évoli évolue en un/une Aquali.
Poliwag évolue en un/une",i,i
"Évoli évolue en un/une Aquali.
Poliwag évolue en un/une",wh,wh
"Évoli évolue en un/une Aquali.
Poliwag évolue en un/une",irl,irl
"Évoli évolue en un/une Aquali.
Abra évolue en un/une", Kad, A
"Évoli évolue en un/une Aquali.
Abra évolue en un/une",abra,qual
"Évoli évolue en un/une Aquali.
Machop évolue en un/une", Mach, Mach
"Évoli évolue en un/une Aquali.
Machop évolue en un/une",oke,oke
"Évoli évolue en un/une Aquali.
Caterpie évolue en un/une", Met, Met
"Évoli évolue en un/une Aquali.
Caterpie évolue en un/une",ap,ap
"Évoli évolue en un/une Aquali.
Caterpie évolue en un/une",od,od
"Évoli évolue en un/une Aquali.
Weedle évolue en un/une", Kak, Kak
"Évoli évolue en un/une Aquali.
Weedle évolue en un/une",una,una
"Évoli évolue en un/une Aquali.
Pidgey évolue en un/une", P, P
"Évoli évolue en un/une Aquali.
Pidgey évolue en un/une",idge,idge
"Évoli évolue en un/une Aquali.
Pidgey évolue en un/une",otto,otto
"Évoli évolue en un/une Aquali.
Rattata évolue en un/une", R, R
"Évoli évolue en un/une Aquali.
Rattata évolue en un/une",atic,att
"Évoli évolue en un/une Aquali.
Rattata évolue en un/une",ate,ata
"Évoli évolue en un/une Aquali.
Spearow évolue en un/une", Fear, F
"Évoli évolue en un/une Aquali.
Spearow évolue en un/une",ow,let
"Évoli évolue en un/une Aquali.
Ekans évolue en un/une", Arb, Arb
"Évoli évolue en un/une Aquali.
Ekans évolue en un/une",ok,ok
"Évoli évolue en un/une Aquali.
Sandshrew évolue en un/une", Sands, Rock
"Évoli évolue en un/une Aquali.
Sandshrew évolue en un/une",lash,r
"Évoli évolue en un/une Aquali.
Nidoran♀ évolue en un/une", N, N
"Évoli évolue en un/une Aquali.
Nidoran♀ évolue en un/une",idor,idor
"Évoli évolue en un/une Aquali.
Nidoran♀ évolue en un/une",ina,ina
"Évoli évolue en un/une Aquali.
Nidoran♂ évolue en un/une", N, N
"Évoli évolue en un/une Aquali.
Nidoran♂ évolue en un/une",idor,idor
"Évoli évolue en un/une Aquali.
Nidoran♂ évolue en un/une",ino,ino
"Évoli évolue en un/une Aquali.
Zubat évolue en un/une", Gol, Gol
"Évoli évolue en un/une Aquali.
Zubat évolue en un/une",bat,bat
"Évoli évolue en un/une Aquali.
Bellsprout évolue en un/une", We, We
"Évoli évolue en un/une Aquali.
Bellsprout évolue en un/une",ep,ep
"Évoli évolue en un/une Aquali.
Bellsprout évolue en un/une",in,in
"Évoli évolue en un/une Aquali.
Bellsprout évolue en un/une",bell,bell
"Évoli évolue en un/une Aquali.
Tentacool évolue en un/une", Tent, Tent
"Évoli évolue en un/une Aquali.
Tentacool évolue en un/une",ac,ac
"Évoli évolue en un/une Aquali.
Tentacool évolue en un/une",ru,ru
"Évoli évolue en un/une Aquali.
Tentacool évolue en un/une",el,el
"Évoli évolue en un/une Aquali.
Geodude évolue en un/une", Gr, Gr
"Évoli évolue en un/une Aquali.
Geodude évolue en un/une",avel,avel
"Évoli évolue en un/une Aquali.
Geodude évolue en un/une",er,er
"Évoli évolue en un/une Aquali.
Ponyta évolue en un/une", Rapid, Rapid
"Évoli évolue en un/une Aquali.
Ponyta évolue en un/une",ash,ash
"Évoli évolue en un/une Aquali.
Slowpoke évolue en un/une", Slow, Slow
"Évoli évolue en un/une Aquali.
Slowpoke évolue en un/une",bro,bro
"Évoli évolue en un/une Aquali.
Magnemite évolue en un/une", Magn, Magn
"Évoli évolue en un/une Aquali.
Magnemite évolue en un/une",eton,eton
"Évoli évolue en un/une Aquali.
Doduo évolue en un/une", Dod, Dod
"Évoli évolue en un/une Aquali.
Doduo évolue en un/une",rio,rio
"Évoli évolue en un/une Aquali.
Seel évolue en un/une", Dew, A
"Évoli évolue en un/une Aquali.
Seel évolue en un/une",g,qual
"Évoli évolue en un/une Aquali.
Seel évolue en un/une",ong,i
"Évoli évolue en un/une Aquali.
Grimer évolue en un/une", Muk, Sim
"Évoli évolue en un/une Aquali.
Shellder évolue en un/une", Clo, Cl
"Évoli évolue en un/une Aquali.
Shellder évolue en un/une",yster,am
"Évoli évolue en un/une Aquali.
Gastly évolue en un/une", Ha, Ha
"Évoli évolue en un/une Aquali.
Gastly évolue en un/une",unter,unter
"Évoli évolue en un/une Aquali.
Drowzee évolue en un/une", Hyp, Hyp
"Évoli évolue en un/une Aquali.
Drowzee évolue en un/une",no,no
"Évoli évolue en un/une Aquali.
Krabby évolue en un/une", King, King
"Évoli évolue en un/une Aquali.
Krabby évolue en un/une",ler,ler
"Évoli évolue en un/une Aquali.
Voltorb évolue en un/une", Electro, Ex
"Évoli évolue en un/une Aquali.
Voltorb évolue en un/une",de,eg
"Évoli évolue en un/une Aquali.
Exeggcute évolue en un/une", Ex, Ex
"Évoli évolue en un/une Aquali.
Exeggcute évolue en un/une",egg,egg
"Évoli évolue en un/une Aquali.
Exeggcute évolue en un/une",utor,utor
"Évoli évolue en un/une Aquali.
Cubone évolue en un/une", Mar, Mar
"Évoli évolue en un/une Aquali.
Cubone évolue en un/une",ow,ow
"Évoli évolue en un/une Aquali.
Cubone évolue en un/une",ak,ak
"Évoli évolue en un/une Aquali.
Koffing évolue en un/une", We, We
"Évoli évolue en un/une Aquali.
Koffing évolue en un/une",ez,ez
"Évoli évolue en un/une Aquali.
Koffing évolue en un/une",ing,ing
"Évoli évolue en un/une Aquali.
Rhyhorn évolue en un/une", R, R
"Évoli évolue en un/une Aquali.
Rhyhorn évolue en un/une",hy,hy
"Évoli évolue en un/une Aquali.
Rhyhorn évolue en un/une",don,don
"Évoli évolue en un/une Aquali.
Horsea évolue en un/une", Se, Se
"Évoli évolue en un/une Aquali.
Horsea évolue en un/une",ad,ad
"Évoli évolue en un/une Aquali.
Horsea évolue en un/une",ra,ra
"Évoli évolue en un/une Aquali.
Goldeen évolue en un/une", Se, Se
"Évoli évolue en un/une Aquali.
Goldeen évolue en un/une",aking,aking
