prompt,answer_token,predicted_top1_token
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
DOBLAR empieza con la letra", D, D
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
PESADO empieza con la letra", P, P
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
HERMOSA empieza con la letra", H, H
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
PREGUNTAR empieza con la letra", P, P
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
EXPANDIR empieza con la letra", E, E
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
FRENTE empieza con la letra", F, F
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
DIFÍCIL empieza con la letra", D, D
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
AMABLE empieza con la letra", A, A
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
IR empieza con la letra", I, I
"VIAJE empieza con la letra V.
CEBRA empieza con la letra C.
NUNCA empieza con la letra N.
ECO empieza con la letra E.
EQUILIBRIO empieza con la letra E.
NUBE empieza con la letra N.
OCÉANO empieza con la letra O.
CIRUGÍA empieza con la letra", C, C
