prompt,answer_token,predicted_top1_token
Die Superlativform von wütend ist, am, w
Die Superlativform von wütend ist, w,üt
Die Superlativform von wütend ist,üt,end
Die Superlativform von wütend ist,end,ster
Die Superlativform von wütend ist,sten,.
Die Superlativform von schlecht ist, am, schle
Die Superlativform von schlecht ist, schle,chter
Die Superlativform von schlecht ist,ch,","
Die Superlativform von schlecht ist,test, schle
Die Superlativform von schlecht ist,en,ch
Die Superlativform von groß ist, am, groß
Die Superlativform von groß ist, größ,art
Die Superlativform von groß ist,ten,ig
Die Superlativform von tapfer ist, am, tap
Die Superlativform von tapfer ist, tap,fer
Die Superlativform von tapfer ist,fer,ster
Die Superlativform von tapfer ist,sten,","
Die Superlativform von hell ist, am, hell
Die Superlativform von hell ist, hell,ster
Die Superlativform von hell ist,sten,","
Die Superlativform von ruhig ist, am, ruh
Die Superlativform von ruhig ist, ruh,iger
Die Superlativform von ruhig ist,ig,","
Die Superlativform von ruhig ist,sten, und
Die Superlativform von billig ist, am, bill
Die Superlativform von billig ist, billig,iger
Die Superlativform von billig ist,sten,","
Die Superlativform von sauber ist, am, rein
Die Superlativform von sauber ist, sa,","
Die Superlativform von sauber ist,uber, die
Die Superlativform von sauber ist,sten, Super
Die Superlativform von kalt ist, am, k
Die Superlativform von kalt ist, k,äl
Die Superlativform von kalt ist,äl,ter
Die Superlativform von kalt ist,test,","
Die Superlativform von kalt ist,en, die
Die Superlativform von verrückt ist, am, verr
Die Superlativform von verrückt ist, verr,ück
Die Superlativform von verrückt ist,ück,ter
Die Superlativform von verrückt ist,test,.
Die Superlativform von verrückt ist,en, Die
Die Superlativform von grausam ist, am, gra
Die Superlativform von grausam ist, gra,us
Die Superlativform von grausam ist,us,amer
Die Superlativform von grausam ist,am,.
Die Superlativform von grausam ist,sten, Die
Die Superlativform von dunkel ist, am, dunk
Die Superlativform von dunkel ist, dunk,el
Die Superlativform von dunkel ist,el,sten
Die Superlativform von dunkel ist,sten,","
Die Superlativform von tief ist, am, t
Die Superlativform von tief ist, t,ief
Die Superlativform von tief ist,ief,st
Die Superlativform von tief ist,sten,.
Die Superlativform von schmutzig ist, am, sch
Die Superlativform von schmutzig ist, sch,mut
Die Superlativform von schmutzig ist,mut,zig
Die Superlativform von schmutzig ist,zig,ster
Die Superlativform von schmutzig ist,sten,.
Die Superlativform von trocken ist, am, tro
Die Superlativform von trocken ist, tro,cken
Die Superlativform von trocken ist,cken,ster
Die Superlativform von trocken ist,sten,.
Die Superlativform von langweilig ist, am, lang
Die Superlativform von langweilig ist, lang,we
Die Superlativform von langweilig ist,we,ilig
Die Superlativform von langweilig ist,ilig,ster
Die Superlativform von langweilig ist,sten,.
Die Superlativform von einfach ist, am, die
Die Superlativform von einfach ist, einfach, Super
Die Superlativform von einfach ist,sten,lat
Die Superlativform von schnell ist, am, schnell
Die Superlativform von schnell ist, schnell,st
Die Superlativform von schnell ist,sten,","
Die Superlativform von heftig ist, am, he
Die Superlativform von heftig ist, he,ft
Die Superlativform von heftig ist,ft,iger
Die Superlativform von heftig ist,ig,.
Die Superlativform von heftig ist,sten, Die
Die Superlativform von frisch ist, am, fr
Die Superlativform von frisch ist, fr,isch
Die Superlativform von frisch ist,isch,fr
Die Superlativform von frisch ist,est,isch
Die Superlativform von frisch ist,en,.
Die Superlativform von freundlich ist, am, freund
Die Superlativform von freundlich ist, freund,lich
Die Superlativform von freundlich ist,lich,ster
Die Superlativform von freundlich ist,sten,.
Die Superlativform von voll ist, am, voll
Die Superlativform von voll ist, voll,kommen
Die Superlativform von voll ist,sten,.
Die Superlativform von lustig ist, am, lust
Die Superlativform von lustig ist, lust,iger
Die Superlativform von lustig ist,ig,","
Die Superlativform von lustig ist,sten, die
Die Superlativform von sanft ist, am, san
Die Superlativform von sanft ist, san,ft
Die Superlativform von sanft ist,ft,m
Die Superlativform von sanft ist,est,üt
Die Superlativform von sanft ist,en,ig
Die Superlativform von gut ist, am, gut
Die Superlativform von gut ist, besten,er
Die Superlativform von groß ist, am, groß
Die Superlativform von groß ist, größ,art
Die Superlativform von groß ist,ten,ig
Die Superlativform von glücklich ist, am, gl
Die Superlativform von glücklich ist, gl,ück
Die Superlativform von glücklich ist,ück,licher
Die Superlativform von glücklich ist,lich,.
Die Superlativform von glücklich ist,sten, Die
Die Superlativform von hart ist, am, hart
Die Superlativform von hart ist, här,est
Die Superlativform von hart ist,test,","
Die Superlativform von hart ist,en, die
Die Superlativform von gesund ist, am, ges
Die Superlativform von gesund ist, ges,und
Die Superlativform von gesund ist,ünd,heit
Die Superlativform von gesund ist,est,lich
Die Superlativform von gesund ist,en,.
Die Superlativform von schwer ist, am, schwer
Die Superlativform von schwer ist, schwer,er
Die Superlativform von schwer ist,sten, als
Die Superlativform von hoch ist, am, hoch
Die Superlativform von hoch ist, hö,st
Die Superlativform von hoch ist,ch,","
Die Superlativform von hoch ist,sten, die
Die Superlativform von heiß ist, am, heiß
Die Superlativform von heiß ist, heiß,er
Die Superlativform von heiß ist,est,","
Die Superlativform von heiß ist,en, heiß
Die Superlativform von hungrig ist, am, hung
Die Superlativform von hungrig ist, hun,ri
Die Superlativform von hungrig ist,gr,eger
Die Superlativform von hungrig ist,ig,","
Die Superlativform von hungrig ist,sten, hung
Die Superlativform von freundlich ist, am, freund
Die Superlativform von freundlich ist, freund,lich
Die Superlativform von freundlich ist,lich,ster
Die Superlativform von freundlich ist,sten,.
Die Superlativform von groß ist, am, groß
Die Superlativform von groß ist, größ,art
Die Superlativform von groß ist,ten,ig
Die Superlativform von faul ist, am, fa
Die Superlativform von faul ist, fa,ul
Die Superlativform von faul ist,ul,st
Die Superlativform von faul ist,sten,","
Die Superlativform von leicht ist, am, leicht
Die Superlativform von leicht ist, leicht,er
Die Superlativform von leicht ist,est,","
Die Superlativform von leicht ist,en, leicht
Die Superlativform von klein ist, am, klein
Die Superlativform von klein ist, kle,ster
Die Superlativform von klein ist,inst,.
Die Superlativform von klein ist,en, Die
Die Superlativform von lang ist, am, lang
Die Superlativform von lang ist, läng,st
Die Superlativform von lang ist,sten,","
Die Superlativform von laut ist, am, laut
Die Superlativform von laut ist, laut,est
Die Superlativform von laut ist,est,","
Die Superlativform von laut ist,en, laut
Die Superlativform von niedrig ist, am, nied
Die Superlativform von niedrig ist, nied,rig
Die Superlativform von niedrig ist,rig,ster
Die Superlativform von niedrig ist,sten,","
Die Superlativform von verrückt ist, am, verr
Die Superlativform von verrückt ist, verr,ück
Die Superlativform von verrückt ist,ück,ter
Die Superlativform von verrückt ist,test,.
Die Superlativform von verrückt ist,en, Die
Die Superlativform von gemein ist, am, geme
Die Superlativform von gemein ist, geme,in
Die Superlativform von gemein ist,inst,heit
Die Superlativform von gemein ist,en,ig
Die Superlativform von unordentlich ist, am, un
Die Superlativform von unordentlich ist, un,ord
Die Superlativform von unordentlich ist,ord,n
Die Superlativform von unordentlich ist,entlich,ender
Die Superlativform von unordentlich ist,sten,.
Die Superlativform von eng ist, am, super
Die Superlativform von eng ist, eng,l
Die Superlativform von eng ist,sten,ative
Die Superlativform von nah ist, am, nah
Die Superlativform von nah ist, nächsten,er
Die Superlativform von neu ist, am, neu
Die Superlativform von neu ist, ne,","
Die Superlativform von neu ist,uest, die
Die Superlativform von neu ist,en, Super
Die Superlativform von alt ist, am, alt
Die Superlativform von alt ist, äl,zeit
Die Superlativform von alt ist,test,lich
Die Superlativform von alt ist,en,","
Die Superlativform von höflich ist, am, hö
Die Superlativform von höflich ist, hö,f
Die Superlativform von höflich ist,f,lich
Die Superlativform von höflich ist,lich,st
Die Superlativform von höflich ist,sten,.
Die Superlativform von arm ist, am, arm
Die Superlativform von arm ist, ä,ster
Die Superlativform von arm ist,rm,","
Die Superlativform von arm ist,sten, die
Die Superlativform von schnell ist, am, schnell
Die Superlativform von schnell ist, schnell,st
Die Superlativform von schnell ist,sten,","
Die Superlativform von leise ist, am, le
Die Superlativform von leise ist, le,iser
Die Superlativform von leise ist,is,","
Die Superlativform von leise ist,est, die
Die Superlativform von leise ist,en, Super
Die Superlativform von reich ist, am, Reich
Die Superlativform von reich ist, re,","
Die Superlativform von reich ist,ich, die
Die Superlativform von reich ist,sten, Super
Die Superlativform von traurig ist, am, tr
Die Superlativform von traurig ist, tr,aur
Die Superlativform von traurig ist,aur,ig
Die Superlativform von traurig ist,ig,ster
Die Superlativform von traurig ist,sten,.
Die Superlativform von sicher ist, am, sicher
Die Superlativform von sicher ist, sicher,er
Die Superlativform von sicher ist,sten,.
Die Superlativform von kurz ist, am, kurz
Die Superlativform von kurz ist, kür,","
Die Superlativform von kurz ist,z, kurz
Die Superlativform von kurz ist,est,","
Die Superlativform von kurz ist,en, kurz
Die Superlativform von schüchtern ist, am, sch
Die Superlativform von schüchtern ist, sch,ü
Die Superlativform von schüchtern ist,ü,chter
Die Superlativform von schüchtern ist,ch,ner
Die Superlativform von schüchtern ist,tern,","
Die Superlativform von schüchtern ist,sten, die
Die Superlativform von einfach ist, am, die
Die Superlativform von einfach ist, einfach, Super
Die Superlativform von einfach ist,sten,lat
Die Superlativform von langsam ist, am, lang
Die Superlativform von langsam ist, lang,sam
Die Superlativform von langsam ist,sam,ster
Die Superlativform von langsam ist,sten,.
Die Superlativform von klein ist, am, klein
Die Superlativform von klein ist, kle,ster
Die Superlativform von klein ist,inst,.
Die Superlativform von klein ist,en, Die
Die Superlativform von klug ist, am, kl
Die Superlativform von klug ist, kl,ü
Die Superlativform von klug ist,ü,ger
Die Superlativform von klug ist,g,","
Die Superlativform von klug ist,sten, von
Die Superlativform von glatt ist, am, gl
Die Superlativform von glatt ist, gl,att
Die Superlativform von glatt ist,att,est
Die Superlativform von glatt ist,est,","
Die Superlativform von glatt ist,en, die
Die Superlativform von stark ist, am, stark
Die Superlativform von stark ist, st,ster
Die Superlativform von stark ist,är,.
Die Superlativform von stark ist,k, Die
Die Superlativform von stark ist,sten, Adj
Die Superlativform von süß ist, am, sü
Die Superlativform von süß ist, sü,ß
Die Superlativform von süß ist,ß,est
Die Superlativform von süß ist,est,","
Die Superlativform von süß ist,en, die
Die Superlativform von groß ist, am, groß
Die Superlativform von groß ist, größ,art
Die Superlativform von groß ist,ten,ig
Die Superlativform von dick ist, am, dick
Die Superlativform von dick ist, dick,ster
Die Superlativform von dick ist,sten,.
Die Superlativform von dünn ist, am, d
Die Superlativform von dünn ist, dü,unn
Die Superlativform von dünn ist,nn,.
Die Superlativform von dünn ist,sten, Die
Die Superlativform von winzig ist, am, win
Die Superlativform von winzig ist, win,zig
Die Superlativform von winzig ist,zig,st
Die Superlativform von winzig ist,sten,.
Die Superlativform von hart ist, am, hart
Die Superlativform von hart ist, här,est
Die Superlativform von hart ist,test,","
Die Superlativform von hart ist,en, die
Die Superlativform von wahr ist, am, w
Die Superlativform von wahr ist, w,ahr
Die Superlativform von wahr ist,ahr,haft
Die Superlativform von wahr ist,sten,ig
Die Superlativform von hässlich ist, am, hä
Die Superlativform von hässlich ist, hä,ss
Die Superlativform von hässlich ist,ss,licher
Die Superlativform von hässlich ist,lich,","
Die Superlativform von hässlich ist,sten, die
