prompt,answer_token,predicted_top1_token
A mãe de Drake se chama, Sand, Sand
A mãe de Drake se chama,i,i
A mãe de Drake se chama, Graham,","
A mãe de Ariana Grande se chama, Joan, Joan
A mãe de Ariana Grande se chama, Grande, Grande
A mãe de Rihanna se chama, Monica, Monica
A mãe de Rihanna se chama, Bra, Bra
A mãe de Rihanna se chama,ith,ith
A mãe de Rihanna se chama,wa,wa
A mãe de Rihanna se chama,ite,ite
A mãe de Will Smith se chama, Caroline, Caroline
A mãe de Will Smith se chama, Bright,.
A mãe de Prince William se chama, Princess, Car
A mãe de Prince William se chama, Diana,ole
A mãe de Prince Harry se chama, Princess, D
A mãe de Prince Harry se chama, Diana,oria
A mãe de Franklin D. Roosevelt se chama, Sara, Sara
A mãe de Franklin D. Roosevelt se chama, Ann, Del
A mãe de Franklin D. Roosevelt se chama, Del,ano
A mãe de Franklin D. Roosevelt se chama,ano, Roosevelt
A mãe de Queen Elizabeth II se chama, Queen, Elizabeth
A mãe de Queen Elizabeth II se chama, Elizabeth, Bow
A mãe de Queen Elizabeth II se chama, The,es
A mãe de Queen Elizabeth II se chama, Queen,-L
A mãe de Queen Elizabeth II se chama, Mother,yon
"A mãe de Charles, Prince of Wales se chama", Queen, Cam
"A mãe de Charles, Prince of Wales se chama", Elizabeth,illa
"A mãe de Charles, Prince of Wales se chama", II, Parker
A mãe de Princess Margaret se chama, Queen, Queen
A mãe de Princess Margaret se chama, Elizabeth, Elizabeth
A mãe de Princess Margaret se chama, The,","
A mãe de Princess Margaret se chama, Queen, a
A mãe de Princess Margaret se chama, Mother, Rain
A mãe de Prince Philip se chama, Princess, Princess
A mãe de Prince Philip se chama, Alice, Alice
A mãe de Prince Philip se chama, of,","
A mãe de Prince Philip se chama, B, e
A mãe de Prince Philip se chama,atten, ela
A mãe de Prince Philip se chama,berg, é
"A mãe de Prince Edward, Earl of Wessex se chama", Queen, Sophie
"A mãe de Prince Edward, Earl of Wessex se chama", Elizabeth,","
"A mãe de Prince Edward, Earl of Wessex se chama", II, Cond
A mãe de King George VI se chama, Queen, Elizabeth
A mãe de King George VI se chama, Mary, Bow
A mãe de Prince George of Cambridge se chama, Kate, Cam
