prompt,answer_token,predicted_top1_token
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย", บร, บร
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",ิษ,ิษ
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",ัท,ัท
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",แ,แ
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",อป,อป
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",เป,เป
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
ไอโฟน 5 ถูกสร้างโดย",ิล,ิล
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
วินโดวส์เซิร์ฟเวอร์ 2003 ถูกสร้างโดย", ไม, ไม
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
วินโดวส์เซิร์ฟเวอร์ 2003 ถูกสร้างโดย",โ,โ
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
วินโดวส์เซิร์ฟเวอร์ 2003 ถูกสร้างโดย",คร,คร
"คินเดิล ถูกสร้างโดย แอมะซอน.
อีโค ดอต ถูกสร้างโดย แอมะซอน.
กาแล็กซี่ เอส๒๒ ถูกสร้างโดย ซัมซุง.
เพลย์สเตชัน ๕ ถูกสร้างโดย โซนี่.
แชทจีพีที ถูกสร้างโดย โอเพนเอไอ.
ไอโฟน ๑๕ ถูกสร้างโดย บริษัทแอปเปิล.
มี แบนด์ ๖ ถูกสร้างโดย เสียวหมี่.
ธิงค์แพด เอ็กซ์๑ คาร์บอน ถูกสร้างโดย เลอโนโว.
เซอร์เฟซ โปร ๙ ถูกสร้างโดย ไมโครซอฟท์.
เนสต์ เทอร์โมสแตต ถูกสร้างโดย กูเกิล.
วินโดวส์เซิร์ฟเวอร์ 2003 ถูกสร้างโดย",ซ,ซ
