prompt,answer_token,predicted_top1_token
Der Hauptsitz von Monell Chemical Senses Center befindet sich in der Stadt, Philadelphia, Baltimore
Der Hauptsitz von Majorette befindet sich in der Stadt, Lyon, K
Der Hauptsitz von Ipsos MORI befindet sich in der Stadt, London, Ips
Der Hauptsitz von Newcomen Society befindet sich in der Stadt, London, London
Der Hauptsitz von Northeastern University befindet sich in der Stadt, Boston, Boston
Der Hauptsitz von Pappas Restaurants befindet sich in der Stadt, Houston, New
Der Hauptsitz von Veracode befindet sich in der Stadt, Burlington, Boston
Der Hauptsitz von British Tanker Company befindet sich in der Stadt, London, Dubai
Der Hauptsitz von Heart Attack Grill befindet sich in der Stadt, Chandler, Las
Der Hauptsitz von BSC Young Boys befindet sich in der Stadt, Bern, Bern
Der Hauptsitz von Caribbean Community Secretariat befindet sich in der Stadt, Georgetown, Georgetown
Der Hauptsitz von Irish Ferries befindet sich in der Stadt, Dublin, Dublin
Der Hauptsitz von Crown Airways befindet sich in der Stadt, Philadelphia, New
Der Hauptsitz von Tata Steel Europe befindet sich in der Stadt, London, Port
Der Hauptsitz von Sporveien befindet sich in der Stadt, Oslo, Oslo
Der Hauptsitz von Amirkabir University of Technology befindet sich in der Stadt, Te, Te
Der Hauptsitz von Amirkabir University of Technology befindet sich in der Stadt,her,her
Der Hauptsitz von Amirkabir University of Technology befindet sich in der Stadt,an,an
Der Hauptsitz von Bajaj Electricals befindet sich in der Stadt, Mumbai, Pune
Der Hauptsitz von Chinese Skating Association befindet sich in der Stadt, P, Shanghai
Der Hauptsitz von Chinese Skating Association befindet sich in der Stadt,eking,".

"
Der Hauptsitz von Elsevier befindet sich in der Stadt, Philadelphia, Amsterdam
Der Hauptsitz von Microland befindet sich in der Stadt, Bengal, K
Der Hauptsitz von Microland befindet sich in der Stadt,uru,ott
Der Hauptsitz von Kemira befindet sich in der Stadt, Helsinki, Esp
Der Hauptsitz von British Railways Board befindet sich in der Stadt, London, Birmingham
Der Hauptsitz von Ministry of Foreign Affairs (Russian Empire) befindet sich in der Stadt, Mos, S
Der Hauptsitz von Ministry of Foreign Affairs (Russian Empire) befindet sich in der Stadt,k,ank
Der Hauptsitz von Ministry of Foreign Affairs (Russian Empire) befindet sich in der Stadt,au,t
Der Hauptsitz von LG Chem befindet sich in der Stadt, Seoul, U
Der Hauptsitz von Redpath Sugar befindet sich in der Stadt, Montreal, Toronto
Der Hauptsitz von Pagan Federation befindet sich in der Stadt, London, London
Der Hauptsitz von Artnet befindet sich in der Stadt, Berlin, New
Der Hauptsitz von Cinven befindet sich in der Stadt, London, London
Der Hauptsitz von Strait Shipping befindet sich in der Stadt, Wellington, London
Der Hauptsitz von Amalgamated Wireless befindet sich in der Stadt, Sydney, Toronto
Der Hauptsitz von Brown University befindet sich in der Stadt, Providence, Providence
Der Hauptsitz von Physikalisch-Technische Bundesanstalt befindet sich in der Stadt, Bra, Bra
Der Hauptsitz von Physikalisch-Technische Bundesanstalt befindet sich in der Stadt,unsch,unsch
Der Hauptsitz von Physikalisch-Technische Bundesanstalt befindet sich in der Stadt,we,we
Der Hauptsitz von Physikalisch-Technische Bundesanstalt befindet sich in der Stadt,ig,ig
Der Hauptsitz von Beetham Organization befindet sich in der Stadt, Liverpool, New
Der Hauptsitz von Hellenic Army befindet sich in der Stadt, Athen, Athen
Der Hauptsitz von Co-operative Commonwealth Federation (Ontario Section) befindet sich in der Stadt, Toronto, Toronto
Der Hauptsitz von Digital Eel befindet sich in der Stadt, Seattle, San
Der Hauptsitz von Gazi University befindet sich in der Stadt, Ankara, Ankara
Der Hauptsitz von Bank Mellat befindet sich in der Stadt, Te, Te
Der Hauptsitz von Bank Mellat befindet sich in der Stadt,her,her
Der Hauptsitz von Bank Mellat befindet sich in der Stadt,an,an
Der Hauptsitz von Sciences Po befindet sich in der Stadt, Paris, Paris
Der Hauptsitz von RotorWay International befindet sich in der Stadt, Chandler, O
Der Hauptsitz von University of Oklahoma befindet sich in der Stadt, Norman, Norman
Der Hauptsitz von Nordic Institute for Theoretical Physics befindet sich in der Stadt, Stockholm, K
