prompt,answer_token,predicted_top1_token
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่", พ, 
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่",.ศ,๑
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่",.,�
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่", ,�
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่",227,�
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
จอห์น แอดัมส์ เกิดที่",8,�
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
ทอมัส เจฟเฟอร์สัน เกิดที่", พ, 
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
ทอมัส เจฟเฟอร์สัน เกิดที่",.ศ,๑
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
ทอมัส เจฟเฟอร์สัน เกิดที่",.,�
"ดไวต์ ดี. ไอเซนฮาวร์ เกิดที่ ๑๘๙๐.
ทีโอดอร์ โรเซอเวลต์ เกิดที่ ๑๘๕๘.
วูดโรว์ วิลสัน เกิดที่ ๑๘๕๖.
วิลเลียม แมกคินลีย์ เกิดที่ ๑๘๔๓.
เฮอร์เบิร์ต ฮูเวอร์ เกิดที่ ๑๘๗๔.
ทอมัส เจฟเฟอร์สัน เกิดที่", ,�
