prompt,answer_token,predicted_top1_token
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New York se trouve dans le pays", É, Et
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New York se trouve dans le pays",t,ats
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New York se trouve dans le pays",ats,-Un
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New York se trouve dans le pays",-Un,is
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New York se trouve dans le pays",is,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Etat de Rio de Janeiro se trouve dans le pays", Br, Br
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Etat de Rio de Janeiro se trouve dans le pays",és,és
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Etat de Rio de Janeiro se trouve dans le pays",il,il
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Buenos Aires se trouve dans le pays", Argentine, Argentine
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Mexico se trouve dans le pays", Mex, Mex
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Mexico se trouve dans le pays",ique,ique
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
São Paulo se trouve dans le pays", Br, Br
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
São Paulo se trouve dans le pays",és,és
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
São Paulo se trouve dans le pays",il,il
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Los Angeles se trouve dans le pays", É, Et
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Los Angeles se trouve dans le pays",t,ats
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Los Angeles se trouve dans le pays",ats,-Un
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Los Angeles se trouve dans le pays",-Un,is
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Los Angeles se trouve dans le pays",is,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Pétersbourg se trouve dans le pays", Russ, Russ
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Pétersbourg se trouve dans le pays",ie,ie
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Francisco se trouve dans le pays", É, Et
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Francisco se trouve dans le pays",t,ats
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Francisco se trouve dans le pays",ats,-Un
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Francisco se trouve dans le pays",-Un,is
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Francisco se trouve dans le pays",is,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Hô Chi Minh-Ville se trouve dans le pays", Vi, Vietnam
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Hô Chi Minh-Ville se trouve dans le pays",êt,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Hô Chi Minh-Ville se trouve dans le pays", Nam,Paris
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Kuala Lumpur se trouve dans le pays", Mal, Mal
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Kuala Lumpur se trouve dans le pays",ais,ais
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Kuala Lumpur se trouve dans le pays",ie,ie
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays", É, Arab
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays",mir,ie
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays",ats, Sa
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays", arab,oud
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays",es,ite
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays", un,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Abou Dabi se trouve dans le pays",is,L
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Le Cap se trouve dans le pays", Af, Af
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Le Cap se trouve dans le pays",rique,rique
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Le Cap se trouve dans le pays", du, du
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Le Cap se trouve dans le pays", Sud, Sud
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New Delhi se trouve dans le pays", Ind, Ind
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
New Delhi se trouve dans le pays",e,e
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Las Vegas se trouve dans le pays", É, Et
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Las Vegas se trouve dans le pays",t,ats
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Las Vegas se trouve dans le pays",ats,-Un
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Las Vegas se trouve dans le pays",-Un,is
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Las Vegas se trouve dans le pays",is,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Hong Kong se trouve dans le pays", Ch, Ch
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Hong Kong se trouve dans le pays",ine,ine
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Tel Aviv se trouve dans le pays", Is, Is
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Tel Aviv se trouve dans le pays",ra,ra
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Tel Aviv se trouve dans le pays",ël,ël
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Johannesbourg se trouve dans le pays", Af, Af
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Johannesbourg se trouve dans le pays",rique,rique
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Johannesbourg se trouve dans le pays", du, du
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Johannesbourg se trouve dans le pays", Sud, Sud
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays", Ré, Ha
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays",pub,ï
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays",lique,ti
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays", domin,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays",ic,Paris
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Saint-Domingue se trouve dans le pays",aine, se
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Port-au-Prince se trouve dans le pays", Ha, Ha
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Port-au-Prince se trouve dans le pays",ï,ï
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Port-au-Prince se trouve dans le pays",ti,ti
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Santiago de Chile se trouve dans le pays", Chili, Chili
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Panama se trouve dans le pays", Panama, Panama
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Siem Reap se trouve dans le pays", Camb, Camb
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Siem Reap se trouve dans le pays",odge,odge
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Casablanca se trouve dans le pays", Mar, Mar
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Casablanca se trouve dans le pays",oc,oc
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Juan se trouve dans le pays", Porto, Puerto
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
San Juan se trouve dans le pays", Rico, Rico
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Costa Rica se trouve dans le pays", San, Costa
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Costa Rica se trouve dans le pays", José, Rica
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Addis-Abeba se trouve dans le pays", É, Ethi
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Addis-Abeba se trouve dans le pays",th,op
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Addis-Abeba se trouve dans le pays",i,ie
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Addis-Abeba se trouve dans le pays",op,".
"
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Addis-Abeba se trouve dans le pays",ie,L
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays", Ré, Ré
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays",pub,pub
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays",lique,lique
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays", domin, domin
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays",ic,ic
"Paris se trouve dans le pays France.
Tokyo se trouve dans le pays Japon.
Punta Cana se trouve dans le pays",aine,aine
