prompt,answer_token,predicted_top1_token
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Superman ist", Lex, General
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Superman ist", L, Z
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Superman ist",uthor,od
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Batman ist", The, Mr
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Batman ist", Joker,.
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Wonder Woman ist", C, A
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Wonder Woman ist",heet,res
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Wonder Woman ist",ah,".
"
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Spider-Man ist", Green, Norman
"Der Erzfeind des Superhelden Nova ist Annihilus.
Der Erzfeind des Superhelden Sentry ist The Void.
Der Erzfeind des Superhelden Batwoman ist Alice.
Der Erzfeind des Superhelden Shang-Chi ist Wenwu.
Der Erzfeind des Superhelden Spider-Man ist", Goblin, Os
