prompt,answer_token,predicted_top1_token
A moeda oficial de Estados Unidos é o/a, dó, dó
A moeda oficial de Estados Unidos é o/a,lar,lar
A moeda oficial de Estados Unidos é o/a, americ, americ
A moeda oficial de Estados Unidos é o/a,ano,ano
A moeda oficial de Reino Unido é o/a, lib, pound
A moeda oficial de Reino Unido é o/a,ra, sterling
A moeda oficial de Reino Unido é o/a, est, (
A moeda oficial de Reino Unido é o/a,er,GBP
A moeda oficial de Reino Unido é o/a,l,).
A moeda oficial de Reino Unido é o/a,ina, A
A moeda oficial de Japão é o/a, Yen, yen
A moeda oficial de Canadá é o/a, dó, dó
A moeda oficial de Canadá é o/a,lar,lar
A moeda oficial de Austrália é o/a, dó, dó
A moeda oficial de Austrália é o/a,lar,lar
A moeda oficial de Índia é o/a, r, ru
A moeda oficial de Índia é o/a,up,pee
A moeda oficial de Índia é o/a,ia, ind
A moeda oficial de Índia é o/a, ind,iano
A moeda oficial de Índia é o/a,iana, (
A moeda oficial de Rússia é o/a, rub, rub
A moeda oficial de Rússia é o/a,lo,lo
A moeda oficial de Rússia é o/a, rus, rus
A moeda oficial de Rússia é o/a,so,so
A moeda oficial de México é o/a, peso, peso
A moeda oficial de México é o/a, mex, mex
A moeda oficial de México é o/a,ic,ic
A moeda oficial de México é o/a,ano,ano
A moeda oficial de Nova Zelândia é o/a, dó, dó
A moeda oficial de Nova Zelândia é o/a,lar,lar
A moeda oficial de Coreia do Sul é o/a, Won, Won
A moeda oficial de Coreia do Sul é o/a, sul, (
A moeda oficial de Coreia do Sul é o/a,-core,K
A moeda oficial de Coreia do Sul é o/a,ano,RW
A moeda oficial de Turquia é o/a, L, l
A moeda oficial de Turquia é o/a,ira,ira
A moeda oficial de Argentina é o/a, peso, peso
A moeda oficial de Noruega é o/a, cor, kr
A moeda oficial de Noruega é o/a,oa,one
A moeda oficial de Noruega é o/a, nor, nor
A moeda oficial de Noruega é o/a,ue,ue
A moeda oficial de Noruega é o/a,g,gu
A moeda oficial de Noruega é o/a,ues,ês
A moeda oficial de Noruega é o/a,a, (
A moeda oficial de Suécia é o/a, cor, cor
A moeda oficial de Suécia é o/a,oa,oa
A moeda oficial de Suécia é o/a, sue, sue
A moeda oficial de Suécia é o/a,ca,ca
A moeda oficial de Dinamarca é o/a, cor, cor
A moeda oficial de Dinamarca é o/a,oa,oa
A moeda oficial de Dinamarca é o/a, din, din
A moeda oficial de Dinamarca é o/a,amar,amar
A moeda oficial de Dinamarca é o/a,ques,ques
A moeda oficial de Dinamarca é o/a,a,a
A moeda oficial de Polónia é o/a, zł, zł
A moeda oficial de Polónia é o/a,oty,oty
A moeda oficial de Hungria é o/a, flor, for
A moeda oficial de Hungria é o/a,im,int
A moeda oficial de Hungria é o/a, h, (
A moeda oficial de Hungria é o/a,úng,H
A moeda oficial de Hungria é o/a,aro,UF
A moeda oficial de Israel é o/a, she, she
A moeda oficial de Israel é o/a,kel,kel
A moeda oficial de Emirados Árabes Unidos é o/a, Dir, Dir
A moeda oficial de Emirados Árabes Unidos é o/a,r,ham
A moeda oficial de Emirados Árabes Unidos é o/a,ã, (
A moeda oficial de Singapura é o/a, dó, dó
A moeda oficial de Singapura é o/a,lar,lar
A moeda oficial de Singapura é o/a, de, de
A moeda oficial de Singapura é o/a, Singap, Singap
A moeda oficial de Singapura é o/a,ura,ura
A moeda oficial de Malásia é o/a, ring, ring
A moeda oficial de Malásia é o/a,git,git
A moeda oficial de Malásia é o/a, m, (
A moeda oficial de Malásia é o/a,ala,RM
A moeda oficial de Malásia é o/a,io,).
A moeda oficial de Indonésia é o/a, r, r
A moeda oficial de Indonésia é o/a,up,up
A moeda oficial de Indonésia é o/a,ia,ia
A moeda oficial de Indonésia é o/a, ind, ind
A moeda oficial de Indonésia é o/a,on,on
A moeda oficial de Indonésia é o/a,és,és
A moeda oficial de Indonésia é o/a,ia,ia
A moeda oficial de Tailândia é o/a, ba, ba
A moeda oficial de Tailândia é o/a,ht,ht
A moeda oficial de Filipinas é o/a, peso, peso
