prompt,answer_token,predicted_top1_token
जॉन ऐडम्स का जन्म में हुआ था, , और
जॉन ऐडम्स का जन्म में हुआ था,१�, वह
जॉन ऐडम्स का जन्म में हुआ था,�, 
जॉन ऐडम्स का जन्म में हुआ था,३,201
जॉन ऐडम्स का जन्म में हुआ था,५,0
थामस जेफरसन का जन्म में हुआ था, , और
थामस जेफरसन का जन्म में हुआ था,१�, वह
थामस जेफरसन का जन्म में हुआ था,�, एक
थामस जेफरसन का जन्म में हुआ था,४, प
थामस जेफरसन का जन्म में हुआ था,३,्र
जेम्ज़ मैडिसन का जन्म में हुआ था, , और
जेम्ज़ मैडिसन का जन्म में हुआ था,१�, वह
जेम्ज़ मैडिसन का जन्म में हुआ था,�, एक
जेम्ज़ मैडिसन का जन्म में हुआ था,५, प
जेम्ज़ मैडिसन का जन्म में हुआ था,१,्रस
जेम्स मुनरो का जन्म में हुआ था, , और
जेम्स मुनरो का जन्म में हुआ था,१�, वह
जेम्स मुनरो का जन्म में हुआ था,�, 
जेम्स मुनरो का जन्म में हुआ था,५,201
जेम्स मुनरो का जन्म में हुआ था,८,0
जॉन क्विन्सी एडम्स का जन्म में हुआ था, , और
जॉन क्विन्सी एडम्स का जन्म में हुआ था,१�, उनक
जॉन क्विन्सी एडम्स का जन्म में हुआ था,�,े
जॉन क्विन्सी एडम्स का जन्म में हुआ था,६, प
जॉन क्विन्सी एडम्स का जन्म में हुआ था,७,ित
ऐन्ड्रयू जैकसन का जन्म में हुआ था, , और
ऐन्ड्रयू जैकसन का जन्म में हुआ था,१�, वह
ऐन्ड्रयू जैकसन का जन्म में हुआ था,�, एक
ऐन्ड्रयू जैकसन का जन्म में हुआ था,६, प
ऐन्ड्रयू जैकसन का जन्म में हुआ था,७,्रस
मार्टिन वान ब्यूरेन का जन्म में हुआ था, , और
मार्टिन वान ब्यूरेन का जन्म में हुआ था,१�, वह
मार्टिन वान ब्यूरेन का जन्म में हुआ था,�, एक
मार्टिन वान ब्यूरेन का जन्म में हुआ था,८, न
मार्टिन वान ब्यूरेन का जन्म में हुआ था,२,ीद
विलियम हेनरी हैरीसन का जन्म में हुआ था, , और
विलियम हेनरी हैरीसन का जन्म में हुआ था,१�, वह
विलियम हेनरी हैरीसन का जन्म में हुआ था,�, 
विलियम हेनरी हैरीसन का जन्म में हुआ था,७,191
विलियम हेनरी हैरीसन का जन्म में हुआ था,३,4
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था, , और
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,१९, उनक
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,१,े
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,३, प
जॉन एफ़. केनेडी का जन्म में हुआ था, , और
जॉन एफ़. केनेडी का जन्म में हुआ था,१९, वह
जॉन एफ़. केनेडी का जन्म में हुआ था,१, क
जॉन एफ़. केनेडी का जन्म में हुआ था,७,ेन
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था, , और
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,१९, उनक
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,१,े
रिचर्ड मिल्हौस निक्सन का जन्म में हुआ था,३, प
विलियम क्लिंटन का जन्म में हुआ था, , और
विलियम क्लिंटन का जन्म में हुआ था,१९, वह
विलियम क्लिंटन का जन्म में हुआ था,४, क
विलियम क्लिंटन का जन्म में हुआ था,६,्ल
जॉर्ज वॉकर बुश का जन्म में हुआ था, , और
जॉर्ज वॉकर बुश का जन्म में हुआ था,१९, उनक
जॉर्ज वॉकर बुश का जन्म में हुआ था,४,े
जॉर्ज वॉकर बुश का जन्म में हुआ था,६, प
बराक ओबामा का जन्म में हुआ था, , ज
बराक ओबामा का जन्म में हुआ था,१९,ो
बराक ओबामा का जन्म में हुआ था,६, क
बराक ओबामा का जन्म में हुआ था,१,ि
जिमी कार्टर का जन्म में हुआ था, , और
जिमी कार्टर का जन्म में हुआ था,१९, वह
जिमी कार्टर का जन्म में हुआ था,२, 
जिमी कार्टर का जन्म में हुआ था,४,194
रोनाल्ड विलसन रीगन का जन्म में हुआ था, , और
रोनाल्ड विलसन रीगन का जन्म में हुआ था,१९, उनक
रोनाल्ड विलसन रीगन का जन्म में हुआ था,१,े
रोनाल्ड विलसन रीगन का जन्म में हुआ था,१, प
जॉर्ज हर्बर्ट वॉकर बुश का जन्म में हुआ था, , और
जॉर्ज हर्बर्ट वॉकर बुश का जन्म में हुआ था,१९, उनक
जॉर्ज हर्बर्ट वॉकर बुश का जन्म में हुआ था,२,े
जॉर्ज हर्बर्ट वॉकर बुश का जन्म में हुआ था,४, प
जो बाइडेन का जन्म में हुआ था, , और
जो बाइडेन का जन्म में हुआ था,१९, ज
जो बाइडेन का जन्म में हुआ था,४,ो
जो बाइडेन का जन्म में हुआ था,२, क
फ्रैंकलिन डेलानो रूज़वेल्ट का जन्म में हुआ था, , और
फ्रैंकलिन डेलानो रूज़वेल्ट का जन्म में हुआ था,१�, उनक
फ्रैंकलिन डेलानो रूज़वेल्ट का जन्म में हुआ था,�,े
फ्रैंकलिन डेलानो रूज़वेल्ट का जन्म में हुआ था,८, प
फ्रैंकलिन डेलानो रूज़वेल्ट का जन्म में हुआ था,२,ित
