prompt,answer_token,predicted_top1_token
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है", न, न
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है",्य,्य
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है",ू,ू
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है",य,य
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है",ॉर,ॉर
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है",्क,्क
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
संयुक्त राज्य अमेरिका का सर्वाधिक जनसंख्या वाला शहर है", नगर,".
"
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
चीनी जनवादी गणराज्य का सर्वाधिक जनसंख्या वाला शहर है", श, श
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
चीनी जनवादी गणराज्य का सर्वाधिक जनसंख्या वाला शहर है",ंघ,ंघ
"नॉर्वे का सर्वाधिक जनसंख्या वाला शहर है ओस्लो.
फ़िनलैण्ड का सर्वाधिक जनसंख्या वाला शहर है हेलसिंकी.
मिस्र का सर्वाधिक जनसंख्या वाला शहर है काहिरा.
थाईलैंड का सर्वाधिक जनसंख्या वाला शहर है बैंकॉक.
वियतनाम का सर्वाधिक जनसंख्या वाला शहर है हो ची मिन्ह शहर.
चीनी जनवादी गणराज्य का सर्वाधिक जनसंख्या वाला शहर है",ाई,ाई
