prompt,answer_token,predicted_top1_token
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de fâché est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de fâché est", plus, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de fâché est", f, f
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de fâché est",â,â
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de fâché est",ché,ché
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de mauvais est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de mauvais est", p, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de mauvais est",ire, mau
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de grand est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de grand est", plus, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de grand est", grand, grand
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de courageux est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de courageux est", plus, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de courageux est", courage, courage
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de courageux est",ux,ux
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de brillant est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de brillant est", plus, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de brillant est", brill, brill
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de brillant est",ant,ant
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de calme est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de calme est", plus, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de calme est", cal, cal
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de calme est",me,me
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de bon marché est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de bon marché est", moins, plus
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de bon marché est", cher, bon
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de propre est", le, le
"La forme superlative de ancien est le plus ancien.
La forme superlative de efficace est le plus efficace.
La forme superlative de bizarre est le plus bizarre.
La forme superlative de populaire est le plus populaire.
La forme superlative de malin est le plus malin.
La forme superlative de cher est le plus cher.
La forme superlative de étrange est le plus étrange.
La forme superlative de propre est", plus, plus
