prompt,answer_token,predicted_top1_token
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
pizza es del país", Italia, Italia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
sushi es del país", Jap, Jap
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
sushi es del país",ón,ón
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
taco es del país", México, México
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
baguette es del país", Franc, Franc
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
baguette es del país",ia,ia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Poutine es del país", Can, Rus
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Poutine es del país",ad,ia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Poutine es del país",á,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
paella es del país", España, España
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
chimichurri es del país", Argentina, Argentina
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
baklava es del país", Tur, Tur
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
baklava es del país",qu,quia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
baklava es del país",ía,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
feijoada es del país", Brasil, Brasil
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
borsch es del país", U, Rus
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
borsch es del país",cr,ia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
borsch es del país",ania,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
pescado con papas fritas es del país", Re, España
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
pescado con papas fritas es del país",ino,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
pescado con papas fritas es del país", Un,s
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
pescado con papas fritas es del país",ido,opa
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Dim sum es del país", Rep, China
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Dim sum es del país",ública,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Dim sum es del país", Popular,S
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Dim sum es del país", China,ushi
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
kimchi es del país", Core, Core
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
kimchi es del país",a,a
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
kimchi es del país", del, del
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
kimchi es del país", Sur, Sur
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
gulash es del país", Hun, Es
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
gulash es del país",gr,lo
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
gulash es del país",ía,va
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pierogi es del país", Pol, Pol
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pierogi es del país",onia,onia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
hummus es del país", L, Israel
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
hummus es del país",í,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
hummus es del país",b,s
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
hummus es del país",ano,opa
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Gyro es del país", G, G
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Gyro es del país",rec,rec
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Gyro es del país",ia,ia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Rendang es del país", Indonesia, Indonesia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Musaca es del país", G, España
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Musaca es del país",rec,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Musaca es del país",ia,T
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pavlova es del país", N, N
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pavlova es del país",ueva,ueva
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pavlova es del país", Z, Z
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pavlova es del país",el,el
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Pavlova es del país",anda,anda
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
shawarma es del país", Med, Tur
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
shawarma es del país",io,quia
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
shawarma es del país", Ori,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
shawarma es del país",ente,t
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
faláfel es del país", Med, Israel
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
faláfel es del país",io,".
"
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
faláfel es del país", Ori,s
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
faláfel es del país",ente,opa
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
ceviche es del país", Per, Per
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
ceviche es del país",ú,ú
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Biryani es del país", India, India
"Souvlaki es del país Grecia.
Ratatouille es del país Francia.
Wiener Schnitzel es del país", Austria, Austria
