prompt,answer_token,predicted_top1_token
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Billy Roche", Sch, Sch
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Billy Roche",aus,aus
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Billy Roche",pi,pi
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Billy Roche",eler,eler
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Arun Nehru", Polit, Polit
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Arun Nehru",iker,iker
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Gregg Edelman", Sch, Sch
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Gregg Edelman",aus,aus
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Gregg Edelman",pi,pi
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Gregg Edelman",eler,eler
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Pat Crowley", Sch, Sch
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Pat Crowley",aus,aus
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Pat Crowley",pi,pi
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Pat Crowley",eler,eler
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Luana Walters", Sch, Sch
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Luana Walters",aus,aus
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Luana Walters",pi,pi
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Luana Walters",eler,eler
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Mary Collinson", Sch, Lehr
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Mary Collinson",aus,erin
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Mary Collinson",pi,".
"
"Von Beruf ist Albert Einstein Physiker.
Von Beruf ist Leonardo DiCaprio Schauspieler.
Von Beruf ist Mary Collinson",eler,V
