prompt,answer_token,predicted_top1_token
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CURVA começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
PESADO começa com a letra", P, P
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
BONITO começa com a letra", B, B
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
PERGUNTAR começa com a letra", P, P
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
EXPANDIR começa com a letra", E, E
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
FRENTE começa com a letra", F, F
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DIFÍCIL começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
AMÁVEL começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
VÁ começa com a letra", V, V
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CIRURGIA começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
PASSADO começa com a letra", P, P
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DENTRO começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ENTRAR começa com a letra", E, E
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
COMEÇAR começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DESAPARECER começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
OUTONO começa com a letra", O, O
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
LOUCO começa com a letra", L, L
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ESQUECER começa com a letra", E, E
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
FRANZIR começa com a letra", F, F
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ÓTIMO começa com a letra", �, O
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ÓTIMO começa com a letra",�,".
"
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
APRENDER começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
SUAVE começa com a letra", S, S
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
LARGO começa com a letra", L, L
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
AVIÃO começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ERRADO começa com a letra", E, E
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DANÇA começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
VENCER começa com a letra", V, V
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ACREDITAR começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CONCERTO começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
BICICLETA começa com a letra", B, B
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
OBSOLETO começa com a letra", O, O
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
BIBLIOTECA começa com a letra", B, B
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CHAMADA começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DAR começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
SABER começa com a letra", S, S
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
SUBIR começa com a letra", S, S
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
FRESCO começa com a letra", F, F
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
OLHAR começa com a letra", O, O
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
VELHO começa com a letra", V, V
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ACADEMIA começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ALTO começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DECIDIR começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ESCOLHER começa com a letra", E, E
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
QUERER começa com a letra", Q, Q
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ALTO começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CAMINHAR começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CAIXA começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
GROSSEIRO começa com a letra", G, G
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
MÁQUINA começa com a letra", M, M
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CALMA começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
DIREITA começa com a letra", D, D
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
INCLUIR começa com a letra", I, I
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
FALSO começa com a letra", F, F
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
SUSSURRAR começa com a letra", S, S
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
PROFUNDO começa com a letra", P, P
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
FILME começa com a letra", F, F
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
RIR começa com a letra", R, R
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
AZEDO começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
ABENÇOAR começa com a letra", A, A
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
SUJO começa com a letra", S, S
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
PEQUENO começa com a letra", P, P
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
CONSTRUIR começa com a letra", C, C
"VIAGEM começa com a letra V.
ZEBRA começa com a letra Z.
NUNCA começa com a letra N.
ECO começa com a letra E.
EQUILÍBRIO começa com a letra E.
NUVEM começa com a letra N.
OCEANO começa com a letra O.
EDUCAÇÃO começa com a letra", E, E
