prompt,answer_token,predicted_top1_token
"Por profissão, Albert Einstein é físico.
Por profissão, Billy Roche é", at, at
"Por profissão, Albert Einstein é físico.
Por profissão, Billy Roche é",or,or
"Por profissão, Albert Einstein é físico.
Por profissão, Arun Nehru é", polít, polít
"Por profissão, Albert Einstein é físico.
Por profissão, Arun Nehru é",ico,ico
"Por profissão, Albert Einstein é físico.
Por profissão, Gregg Edelman é", at, at
"Por profissão, Albert Einstein é físico.
Por profissão, Gregg Edelman é",or,or
"Por profissão, Albert Einstein é físico.
Por profissão, Pat Crowley é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Pat Crowley é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, Luana Walters é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Luana Walters é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, Mary Collinson é", at, méd
"Por profissão, Albert Einstein é físico.
Por profissão, Mary Collinson é",or,ica
"Por profissão, Albert Einstein é físico.
Por profissão, Patrick Manson é", méd, méd
"Por profissão, Albert Einstein é físico.
Por profissão, Patrick Manson é",ico,ico
"Por profissão, Albert Einstein é físico.
Por profissão, Shreela Ghosh é", at, profess
"Por profissão, Albert Einstein é físico.
Por profissão, Shreela Ghosh é",or,ora
"Por profissão, Albert Einstein é físico.
Por profissão, M. S. Viswanathan é", compos, adv
"Por profissão, Albert Einstein é físico.
Por profissão, M. S. Viswanathan é",itor,og
"Por profissão, Albert Einstein é físico.
Por profissão, Noon Meem Rashid é", po, escrit
"Por profissão, Albert Einstein é físico.
Por profissão, Noon Meem Rashid é",eta,ora
"Por profissão, Albert Einstein é físico.
Por profissão, Sepala Attygalle é", diplom, eng
"Por profissão, Albert Einstein é físico.
Por profissão, Sepala Attygalle é",ata,en
"Por profissão, Albert Einstein é físico.
Por profissão, John Cygan é", at, eng
"Por profissão, Albert Einstein é físico.
Por profissão, John Cygan é",or,en
"Por profissão, Albert Einstein é físico.
Por profissão, Donald McCaig é", po, méd
"Por profissão, Albert Einstein é físico.
Por profissão, Donald McCaig é",eta,ico
"Por profissão, Albert Einstein é físico.
Por profissão, David Yost é", at, at
"Por profissão, Albert Einstein é físico.
Por profissão, David Yost é",or,or
"Por profissão, Albert Einstein é físico.
Por profissão, Ethyl Eichelberger é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Ethyl Eichelberger é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, Jane Leeves é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Jane Leeves é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, Raoul Trujillo é", at, at
"Por profissão, Albert Einstein é físico.
Por profissão, Raoul Trujillo é",or,or
"Por profissão, Albert Einstein é físico.
Por profissão, Dolly Wells é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Dolly Wells é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, Georges Altman é", jorn, soci
"Por profissão, Albert Einstein é físico.
Por profissão, Georges Altman é",al,ó
"Por profissão, Albert Einstein é físico.
Por profissão, Georges Altman é",ista,logo
"Por profissão, Albert Einstein é físico.
Por profissão, Eduardo De Filippo é", po, at
"Por profissão, Albert Einstein é físico.
Por profissão, Eduardo De Filippo é",eta,or
"Por profissão, Albert Einstein é físico.
Por profissão, Emmanuelle Devos é", at, atr
"Por profissão, Albert Einstein é físico.
Por profissão, Emmanuelle Devos é",or,iz
"Por profissão, Albert Einstein é físico.
Por profissão, John Ashburnham, 1st Baron Ashburnham é", polít, polít
"Por profissão, Albert Einstein é físico.
Por profissão, John Ashburnham, 1st Baron Ashburnham é",ico,ico
"Por profissão, Albert Einstein é físico.
Por profissão, Johann von Rist é", po, po
"Por profissão, Albert Einstein é físico.
Por profissão, Johann von Rist é",eta,eta
"Por profissão, Albert Einstein é físico.
Por profissão, Li Yining é", econom, méd
"Por profissão, Albert Einstein é físico.
Por profissão, Li Yining é",ista,ico
"Por profissão, Albert Einstein é físico.
Por profissão, Pierre Paradis é", polít, professor
"Por profissão, Albert Einstein é físico.
Por profissão, Pierre Paradis é",ico,".
"
"Por profissão, Albert Einstein é físico.
Por profissão, Kurt Furgler é", polít, econom
"Por profissão, Albert Einstein é físico.
Por profissão, Kurt Furgler é",ico,ista
