prompt,answer_token,predicted_top1_token
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Percy Snow gioca come", linebacker, linebacker
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Pantelis Kafes gioca come", centro, gioc
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Pantelis Kafes gioca come",camp,atore
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Pantelis Kafes gioca come",ista, di
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Ruud Gullit gioca come", centro, centro
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Ruud Gullit gioca come",camp,camp
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Ruud Gullit gioca come",ista,ista
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Elrio van Heerden gioca come", centro, quarterback
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Elrio van Heerden gioca come",camp,".
"
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Elrio van Heerden gioca come",ista,N
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Lars Ricken gioca come", centro, att
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Lars Ricken gioca come",camp,acc
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Lars Ricken gioca come",ista,ante
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Tuukka Rask gioca come", port, port
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Tuukka Rask gioca come",iere,iere
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Karl Mecklenburg gioca come", linebacker, linebacker
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Iosif Rotariu gioca come", centro, quarterback
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Iosif Rotariu gioca come",camp,".
"
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Iosif Rotariu gioca come",ista,N
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, John Navarre gioca come", quarterback, quarterback
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Thurman Munson gioca come", rice, gioc
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Thurman Munson gioca come",vit,atore
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Thurman Munson gioca come",ore, di
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Evan Dimas Darmono gioca come", centro, quarterback
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Evan Dimas Darmono gioca come",camp,".
"
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Evan Dimas Darmono gioca come",ista,N
"Nel suo sport, Patrick Mahomes gioca come quarterback.
Nel suo sport, Jonathan Osorio gioca come", centro, centro
