prompt,answer_token,predicted_top1_token
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de zangado é", o, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de zangado é", mais,igo
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de zangado é", z,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de zangado é",ang,A
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de zangado é",ado, forma
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de mau é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de mau é", p, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de mau é",ior,iga
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de grande é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de grande é", maior, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de corajoso é", o, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de corajoso é", mais,igo
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de corajoso é", cor,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de corajoso é",aj,A
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de corajoso é",oso, forma
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é", mais, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é", br,iga
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é",il,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é",h,A
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de brilhante é",ante, forma
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de calmo é", o, cal
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de calmo é", mais,mo
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de calmo é", cal,í
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de calmo é",mo,ss
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de barato é", o, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de barato é", mais,igo
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de barato é", bar,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de barato é",ato,A
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de limpo é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de limpo é", mais, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de limpo é", lim,iga
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de limpo é",po,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de frio é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de frio é", mais, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de frio é", fri,iga
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de frio é",o,".
"
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de louco é", o, muito
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de louco é", mais, ant
"A forma superlativa de antigo é antiquíssimo.
A forma superlativa de louco é", lou,iga
