prompt,answer_token,predicted_top1_token
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี, พ, 
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี,.ศ,200
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี,.,0
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี, , และ
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี,233,ได
จอห์น แอดัมส์ ได้รับการเลือกตั้งในปี,9,้ร
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี, พ, 
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี,.ศ,200
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี,.,0
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี, , และ
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี,234,ได
ทอมัส เจฟเฟอร์สัน ได้รับการเลือกตั้งในปี,3,้ร
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี, พ, 
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี,.ศ,200
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี,.,8
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี, , และ
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี,235,ได
เจมส์ แมดิสัน ได้รับการเลือกตั้งในปี,1,้ร
เจมส์ มอนโร ได้รับการเลือกตั้งในปี, พ, 
เจมส์ มอนโร ได้รับการเลือกตั้งในปี,.ศ,254
เจมส์ มอนโร ได้รับการเลือกตั้งในปี,.,0
เจมส์ มอนโร ได้รับการเลือกตั้งในปี, , และ
เจมส์ มอนโร ได้รับการเลือกตั้งในปี,235,ได
เจมส์ มอนโร ได้รับการเลือกตั้งในปี,9,้ร
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี, พ, 
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี,.ศ,200
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี,.,8
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี, , และ
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี,236,ได
จอห์น ควินซี แอดัมส์ ได้รับการเลือกตั้งในปี,7,้ร
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี, พ, 
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี,.ศ,200
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี,.,8
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี, , และ
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี,237,ได
แอนดรูว์ แจ็กสัน ได้รับการเลือกตั้งในปี,1,้ร
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี, พ, 
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี,.ศ,201
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี,.,0
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี, , และ
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี,237,ได
มาร์ติน แวน บิวเรน ได้รับการเลือกตั้งในปี,9,้ร
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี, พ, 
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี,.ศ,201
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี,.,2
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี, , และ
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี,238,ได
วิลเลียม เฮนรี แฮร์ริสัน ได้รับการเลือกตั้งในปี,3,้ร
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี, พ, 
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,.ศ,200
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,.,0
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี, , และ
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,251,ได
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,1,้ร
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี, พ, ค
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี,.ศ,.ศ
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี,.,.
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี, , 
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี,250,196
จอห์น เอฟ. เคนเนดี ได้รับการเลือกตั้งในปี,3,0
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี, พ, 
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,.ศ,200
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,.,0
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี, , และ
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,251,ได
ริชาร์ด นิกสัน ได้รับการเลือกตั้งในปี,1,้ร
บิล คลินตัน ได้รับการเลือกตั้งในปี, พ, 
บิล คลินตัน ได้รับการเลือกตั้งในปี,.ศ,200
บิล คลินตัน ได้รับการเลือกตั้งในปี,.,8
บิล คลินตัน ได้รับการเลือกตั้งในปี, , และ
บิล คลินตัน ได้รับการเลือกตั้งในปี,253,ได
บิล คลินตัน ได้รับการเลือกตั้งในปี,5,้ร
