prompt,answer_token,predicted_top1_token
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
โค้ง เริ่มต้นด้วยตัวอักษร", โ, ค
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
หนัก เริ่มต้นด้วยตัวอักษร", ห, น
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
สวยงาม เริ่มต้นด้วยตัวอักษร", ส, ส
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ถาม เริ่มต้นด้วยตัวอักษร", ถ, ท
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ขยาย เริ่มต้นด้วยตัวอักษร", ข, ข
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
หน้า เริ่มต้นด้วยตัวอักษร", ห, น
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ยาก เริ่มต้นด้วยตัวอักษร", ย, ย
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
กรุณา เริ่มต้นด้วยตัวอักษร", ก, ก
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ไป เริ่มต้นด้วยตัวอักษร", ไ, ก
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ศัลยกรรม เริ่มต้นด้วยตัวอักษร", ศ, ศ
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
อดีต เริ่มต้นด้วยตัวอักษร", อ, อ
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
ข้างใน เริ่มต้นด้วยตัวอักษร", ข, ข
"การเดินทาง เริ่มต้นด้วยตัวอักษร ก.
ม้าลาย เริ่มต้นด้วยตัวอักษร ม.
ไม่เคย เริ่มต้นด้วยตัวอักษร ไ.
เข้าส เริ่มต้นด้วยตัวอักษร", เ, ค
