prompt,answer_token,predicted_top1_token
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Università Autonoma di Madrid si trova nel paese", Sp, Sp
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Università Autonoma di Madrid si trova nel paese",agna,agna
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Počepskij rajon si trova nel paese", Russia, Russia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
stazione di Wanne-Eickel Centrale si trova nel paese", German, German
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
stazione di Wanne-Eickel Centrale si trova nel paese",ia,ia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Hohenlohe-Langenburg si trova nel paese", German, German
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Hohenlohe-Langenburg si trova nel paese",ia,ia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Bastille si trova nel paese", Franc, Franc
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Bastille si trova nel paese",ia,ia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Šablykinskij rajon si trova nel paese", Russia, Russia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Metropolitana di Manila si trova nel paese", Fil, Fil
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Metropolitana di Manila si trova nel paese",ipp,ipp
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Metropolitana di Manila si trova nel paese",ine,ine
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Valdemarsvik si trova nel paese", S, S
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Valdemarsvik si trova nel paese",vez,vez
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Valdemarsvik si trova nel paese",ia,ia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Ozumba si trova nel paese", Mess, Bras
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Ozumba si trova nel paese",ico,ile
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Piper Verlag si trova nel paese", German, German
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Piper Verlag si trova nel paese",ia,ia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
Attingal si trova nel paese", India, India
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
georgiani si trova nel paese", A, Georgia
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
georgiani si trova nel paese",zer,".
"
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
georgiani si trova nel paese",ba,C
"torre Eiffel si trova nel paese Francia.
Statua della Libertà si trova nel paese Stati Uniti d'America.
Cristo Redentore si trova nel paese Brasile.
georgiani si trova nel paese",ig,rist
