prompt,answer_token,predicted_top1_token
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di amoroso è", od, sess
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di amoroso è",ioso,uale
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di creativo è", distr, rip
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di creativo è",utt,et
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di creativo è",ivo,it
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di felice è", tr, inf
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di felice è",iste,el
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di pieno è", vu, vu
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di pieno è",oto,oto
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di coraggioso è", cod, de
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di coraggioso è",ardo,bole
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di aperto è", ch, ch
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di aperto è",ius,ius
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di aperto è",o,o
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di sicuro è", per, inc
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di sicuro è",icol,erto
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di sicuro è",oso,".
"
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di bello è", brut, brut
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di bello è",to,to
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di amico è", nem, nem
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di amico è",ico,ico
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di diurno è", not, not
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di diurno è",turn,turn
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di diurno è",o,o
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di acquirente è", vend, vend
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di acquirente è",itore,itore
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di grande è", pic, pic
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di grande è",colo,colo
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vecchio è", giov, nuovo
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vecchio è",ane,".
"
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di silenzioso è", rumor, rumor
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di silenzioso è",oso,oso
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vero è", f, f
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vero è",also,also
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di veloce è", l, l
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di veloce è",ento,ento
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di caldo è", fre, fre
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di caldo è",dd,dd
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di caldo è",o,o
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di buono è", c, c
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di buono è",att,att
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di buono è",ivo,ivo
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di iniziale è", finale, finale
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di interno è", est, est
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di interno è",erno,erno
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vincente è", perd, s
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di vincente è",ente,conf
"L'opposto di ordinato è trascurato.
L'opposto di pacifico è rumoroso.
L'opposto di visibile è ambiguo.
L'opposto di dolce è amaro.
L'opposto di luminoso è scuro.
L'opposto di forte è fragile.
L'opposto di moderno è antico.
L'opposto di altruista è egocentrico.
L'opposto di presto è tardi.
L'opposto di affilato è smussato.
L'opposto di generoso è", ego, ego
