prompt,answer_token,predicted_top1_token
John Adams est né(e) à, , Bra
John Adams est né(e) à,173,intree
John Adams est né(e) à,5,","
Thomas Jefferson est né(e) à, , Sh
Thomas Jefferson est né(e) à,174,ad
Thomas Jefferson est né(e) à,3,well
James Madison est né(e) à, , Port
James Madison est né(e) à,175, Conway
James Madison est né(e) à,1,","
James Monroe est né(e) à, , Washington
James Monroe est né(e) à,175,","
James Monroe est né(e) à,8, D
John Quincy Adams est né(e) à, , Bra
John Quincy Adams est né(e) à,176,intree
John Quincy Adams est né(e) à,7, (
Andrew Jackson est né(e) à, , la
Andrew Jackson est né(e) à,176, fin
Andrew Jackson est né(e) à,7, du
Martin Van Buren est né(e) à, , New
Martin Van Buren est né(e) à,178, York
Martin Van Buren est né(e) à,2,","
William Henry Harrison est né(e) à, , la
William Henry Harrison est né(e) à,177, maison
William Henry Harrison est né(e) à,3, de
Richard Nixon est né(e) à, , Y
Richard Nixon est né(e) à,191,or
Richard Nixon est né(e) à,3,ba
John F. Kennedy est né(e) à, , 
John F. Kennedy est né(e) à,191,192
John F. Kennedy est né(e) à,7,7
Richard Nixon est né(e) à, , Y
Richard Nixon est né(e) à,191,or
Richard Nixon est né(e) à,3,ba
Bill Clinton est né(e) à, , Hope
Bill Clinton est né(e) à,194,","
Bill Clinton est né(e) à,6, Arkansas
George W. Bush est né(e) à, , New
George W. Bush est né(e) à,194, Haven
George W. Bush est né(e) à,6, dans
Barack Obama est né(e) à, , Honolulu
Barack Obama est né(e) à,196,","
Barack Obama est né(e) à,1, Haw
Jimmy Carter est né(e) à, , Plains
Jimmy Carter est né(e) à,192,","
Jimmy Carter est né(e) à,4, dans
Ronald Reagan est né(e) à, , T
Ronald Reagan est né(e) à,191,amp
Ronald Reagan est né(e) à,1,ico
George H. W. Bush est né(e) à, , Milton
George H. W. Bush est né(e) à,192,","
George H. W. Bush est né(e) à,4, dans
Joe Biden est né(e) à, , Scr
Joe Biden est né(e) à,194,anton
Joe Biden est né(e) à,2,","
Franklin D. Roosevelt est né(e) à, , Hyde
Franklin D. Roosevelt est né(e) à,188, Park
Franklin D. Roosevelt est né(e) à,2,","
