prompt,answer_token,predicted_top1_token
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Stati Uniti d'America è", , 
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Stati Uniti d'America è",ingle,ingle
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Stati Uniti d'America è",se,se
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Canada è", , franc
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Canada è",ingle,ese
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Canada è",se,".
"
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Messico è", sp, sp
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Messico è",agn,agn
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Messico è",olo,olo
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Brasile è", port, port
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Brasile è",ogh,ogh
"La lingua ufficiale in Svezia è svedese.
La lingua ufficiale in Norvegia è norvegese.
La lingua ufficiale in Finlandia è finlandese.
La lingua ufficiale in Paesi Bassi è olandese.
La lingua ufficiale in Svizzera è tedesco.
La lingua ufficiale in Belgio è olandese.
La lingua ufficiale in Austria è tedesco.
La lingua ufficiale in Brasile è",ese,ese
