prompt,answer_token,predicted_top1_token
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pizza vient du pays", It, It
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pizza vient du pays",alie,alie
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
sushi vient du pays", Japon, Japon
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
taco vient du pays", Mex, Mex
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
taco vient du pays",ique,ique
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
baguette vient du pays", France, France
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
poutine vient du pays", Canada, Canada
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
paella vient du pays", Esp, Esp
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
paella vient du pays",agne,agne
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
chimichurri vient du pays", Argentine, Argentine
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
baklava vient du pays", Tur, Tur
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
baklava vient du pays",qu,qu
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
baklava vient du pays",ie,ie
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
feijoada vient du pays", Br, Br
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
feijoada vient du pays",és,és
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
feijoada vient du pays",il,il
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
bortsch vient du pays", Ukraine, Ukraine
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Fish and chips vient du pays", Roy, Roy
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Fish and chips vient du pays",a,a
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Fish and chips vient du pays",ume,ume
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Fish and chips vient du pays",-Un,-Un
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Fish and chips vient du pays",i,i
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays", ré, Ch
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays",pub,ine
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays",lique,".
"
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays", pop,s
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays",ulaire,ushi
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays", de, vient
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays", Ch, du
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
dimsum vient du pays",ine, pays
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
kimchi vient du pays", Cor, Cor
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
kimchi vient du pays",ée,ée
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
kimchi vient du pays", du, du
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
kimchi vient du pays", Sud, Sud
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
goulasch vient du pays", Hong, Al
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
goulasch vient du pays",rie,lem
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pierogi vient du pays", P, P
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pierogi vient du pays",ologne,ologne
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
houmous vient du pays", Lib, Lib
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
houmous vient du pays",an,an
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Gyro vient du pays", Gr, Gr
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Gyro vient du pays",è,è
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Gyro vient du pays",ce,ce
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Rendang vient du pays", Ind, Ind
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Rendang vient du pays",on,on
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Rendang vient du pays",és,és
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
Rendang vient du pays",ie,ie
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
moussaka vient du pays", Gr, Gr
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
moussaka vient du pays",è,è
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
moussaka vient du pays",ce,ce
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays", Nou, Austral
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays",velle,ie
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays",-Z,".
"
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays",é,P
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays",land,av
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
pavlova vient du pays",e,lo
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
chawarma vient du pays", Moy, Tur
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
chawarma vient du pays",en,qu
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
chawarma vient du pays",-O,ie
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
chawarma vient du pays",rient,".
"
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
falafel vient du pays", Moy, Palestine
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
falafel vient du pays",en,".
"
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
falafel vient du pays",-O,S
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
falafel vient du pays",rient,ushi
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
ceviche vient du pays", Pé, Pé
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
ceviche vient du pays",rou,rou
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
biryani vient du pays", Ind, Ind
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
biryani vient du pays",e,e
"Souvlaki vient du pays Grèce.
Ratatouille vient du pays France.
escalope à la viennoise vient du pays", Aut, France
