prompt,answer_token,predicted_top1_token
Die Amtssprache in Vereinigte Staaten ist, Engl, Engl
Die Amtssprache in Vereinigte Staaten ist,isch,isch
Die Amtssprache in Kanada ist, Engl, Engl
Die Amtssprache in Kanada ist,isch,isch
Die Amtssprache in Mexiko ist, Span, Span
Die Amtssprache in Mexiko ist,isch,isch
Die Amtssprache in Brasilien ist, Portug, Portug
Die Amtssprache in Brasilien ist,ies,ies
Die Amtssprache in Brasilien ist,isch,isch
Die Amtssprache in Argentinien ist, Span, Span
Die Amtssprache in Argentinien ist,isch,isch
Die Amtssprache in Chile ist, Span, Span
Die Amtssprache in Chile ist,isch,isch
Die Amtssprache in Peru ist, Span, Span
Die Amtssprache in Peru ist,isch,isch
Die Amtssprache in Kolumbien ist, Span, Span
Die Amtssprache in Kolumbien ist,isch,isch
Die Amtssprache in Venezuela ist, Span, Span
Die Amtssprache in Venezuela ist,isch,isch
Die Amtssprache in Spanien ist, Span, Span
Die Amtssprache in Spanien ist,isch,isch
Die Amtssprache in Frankreich ist, Franz, Franz
Die Amtssprache in Frankreich ist,ö,ö
Die Amtssprache in Frankreich ist,sis,sis
Die Amtssprache in Frankreich ist,ch,ch
Die Amtssprache in Deutschland ist, Deutsch, das
Die Amtssprache in Italien ist, It, It
Die Amtssprache in Italien ist,alien,alien
Die Amtssprache in Italien ist,isch,isch
Die Amtssprache in Russland ist, Russ, Russ
Die Amtssprache in Russland ist,isch,isch
Die Amtssprache in China ist, Mandarin, das
Die Amtssprache in Japan ist, Japan, das
Die Amtssprache in Japan ist,isch, Japan
Die Amtssprache in Südkorea ist, Korean, das
Die Amtssprache in Südkorea ist,isch, Korean
Die Amtssprache in Indien ist, Hindi, Engl
Die Amtssprache in Pakistan ist, Urdu, Urdu
Die Amtssprache in nigerianisches Pidgin ist, Engl, Engl
Die Amtssprache in nigerianisches Pidgin ist,isch,isch
Die Amtssprache in Ägypten ist, Arab, Arab
Die Amtssprache in Ägypten ist,isch,isch
Die Amtssprache in Saudi-Arabien ist, Arab, das
Die Amtssprache in Saudi-Arabien ist,isch, Arab
Die Amtssprache in Türkei ist, Türk, Türk
Die Amtssprache in Türkei ist,isch,isch
Die Amtssprache in Australien ist, Engl, Engl
Die Amtssprache in Australien ist,isch,isch
