prompt,answer_token,predicted_top1_token
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Estados Unidos é", Washington, Washington
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Estados Unidos é",",",".
"
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Estados Unidos é", D,A
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Estados Unidos é",.C, capital
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Estados Unidos é",., de
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Canadá é", Ottawa, Ottawa
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de México é", C, C
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de México é",idade,idade
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de México é", do, do
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de México é", México, México
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Argentina é", Buenos, Buenos
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Argentina é", Aires, Aires
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Chile é", Santiago, Santiago
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Peru é", Lima, Lima
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Venezuela é", Car, Car
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Venezuela é",acas,acas
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Espanha é", Madrid, Madrid
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de França é", Paris, Paris
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Alemanha é", Ber, Ber
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Alemanha é",lim,lim
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Itália é", Roma, Roma
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Rússia é", Mos, Mos
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Rússia é",c,cou
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Rússia é",ovo,".
"
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de China é", Pe, Pe
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de China é",qu,qu
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de China é",im,im
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Japão é", T, T
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Japão é",ó,ó
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Japão é",qu,qu
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Japão é",io,io
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Coreia do Sul é", Se, Se
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Coreia do Sul é",ul,ul
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Índia é", Nova, Nova
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Índia é", Del, Delhi
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Índia é",i,".
"
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Paquistão é", Islamabad, Islamabad
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Nigéria é", Abu, Abu
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Nigéria é",ja,ja
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Egito é", Cairo, Cairo
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Arábia Saudita é", Ri, Ri
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Arábia Saudita é",ade,ade
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Turquia é", Anc, Ist
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Turquia é",ara,amb
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Austrália é", Camb, Canberra
"A capital de Noruega é Oslo.
A capital de Finlândia é Helsínquia.
A capital de Austrália é",erra,".
"
