prompt,answer_token,predicted_top1_token
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Sirius si trova nella costellazione di", Can, Can
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Sirius si trova nella costellazione di",is,is
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Sirius si trova nella costellazione di", Major, Major
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Vega si trova nella costellazione di", Ly, Ly
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Vega si trova nella costellazione di",ra,ra
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Arcturus si trova nella costellazione di", Bo, Bo
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Arcturus si trova nella costellazione di",ö,ote
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Arcturus si trova nella costellazione di",tes,".
"
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Capella si trova nella costellazione di", Aur, Aur
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Capella si trova nella costellazione di",iga,iga
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Procyon si trova nella costellazione di", Can, Can
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Procyon si trova nella costellazione di",is,is
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Procyon si trova nella costellazione di", Minor, Minor
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Altair si trova nella costellazione di", Aqu, Aqu
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Altair si trova nella costellazione di",ila,ila
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Aldebaran si trova nella costellazione di", T, T
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Aldebaran si trova nella costellazione di",aurus,aur
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Antares si trova nella costellazione di", Scor, Scor
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Antares si trova nella costellazione di",pi,pio
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Antares si trova nella costellazione di",us,".
"
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Fomalhaut si trova nella costellazione di", P, P
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Fomalhaut si trova nella costellazione di",isc,isc
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Fomalhaut si trova nella costellazione di",is,is
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Fomalhaut si trova nella costellazione di", Austr, Austr
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Fomalhaut si trova nella costellazione di",inus,inus
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Deneb si trova nella costellazione di", Cy, Cy
"Canopus si trova nella costellazione di Carina.
Achernar si trova nella costellazione di Eridanus.
Deneb si trova nella costellazione di",gn,gn
