prompt,answer_token,predicted_top1_token
Michelle Obama ha studiato all'università di, Univers, Harvard
Michelle Obama ha studiato all'università di,ità,","
Michelle Obama ha studiato all'università di, di, dove
Michelle Obama ha studiato all'università di, Princeton, ha
Bill Gates ha studiato all'università di, Univers, Washington
Bill Gates ha studiato all'università di,ità,","
Bill Gates ha studiato all'università di, di, dove
Bill Gates ha studiato all'università di, Harvard, ha
Mark Zuckerberg ha studiato all'università di, Univers, Harvard
Mark Zuckerberg ha studiato all'università di,ità,","
Mark Zuckerberg ha studiato all'università di, di, ma
Mark Zuckerberg ha studiato all'università di, Harvard, non
Oprah Winfrey ha studiato all'università di, Tennessee, Tennessee
Oprah Winfrey ha studiato all'università di, State,","
Oprah Winfrey ha studiato all'università di, University, dove
Emma Watson ha studiato all'università di, Univers, Oxford
Emma Watson ha studiato all'università di,ità,","
Emma Watson ha studiato all'università di, Brown, dove
Natalie Portman ha studiato all'università di, Univers, Harvard
Natalie Portman ha studiato all'università di,ità,","
Natalie Portman ha studiato all'università di, di, dove
Natalie Portman ha studiato all'università di, Harvard, ha
George W. Bush ha studiato all'università di, Univers, Yale
George W. Bush ha studiato all'università di,ità,","
George W. Bush ha studiato all'università di, di, dove
George W. Bush ha studiato all'università di, Yale, ha
Hillary Clinton ha studiato all'università di, Wel, Wel
Hillary Clinton ha studiato all'università di,les,les
Hillary Clinton ha studiato all'università di,ley,ley
Hillary Clinton ha studiato all'università di, College,","
Neil Armstrong ha studiato all'università di, Univers, West
Neil Armstrong ha studiato all'università di,ità, Virginia
Neil Armstrong ha studiato all'università di, Purdue,","
James Franco ha studiato all'università di, Univers, California
James Franco ha studiato all'università di,ità,","
James Franco ha studiato all'università di, della, Los
James Franco ha studiato all'università di, California, Angeles
Cindy Crawford ha studiato all'università di, Northwestern, Chicago
Cindy Crawford ha studiato all'università di, University,","
Matt Damon ha studiato all'università di, Univers, Harvard
Matt Damon ha studiato all'università di,ità,","
Matt Damon ha studiato all'università di, di, dove
Matt Damon ha studiato all'università di, Harvard, ha
Conan O'Brien ha studiato all'università di, Univers, Harvard
Conan O'Brien ha studiato all'università di,ità,","
Conan O'Brien ha studiato all'università di, di, dove
Conan O'Brien ha studiato all'università di, Harvard, ha
Leonardo DiCaprio ha studiato all'università di, Univers, Harvard
Leonardo DiCaprio ha studiato all'università di,ità,","
Leonardo DiCaprio ha studiato all'università di, della, dove
Leonardo DiCaprio ha studiato all'università di, California, ha
Winston Churchill ha studiato all'università di, Re, Sand
Winston Churchill ha studiato all'università di,ale,hurst
Winston Churchill ha studiato all'università di, acc,","
Winston Churchill ha studiato all'università di,ad, dove
Winston Churchill ha studiato all'università di,emia, ha
Winston Churchill ha studiato all'università di, milit, studi
Winston Churchill ha studiato all'università di,are,ato
Winston Churchill ha studiato all'università di, di, l
Winston Churchill ha studiato all'università di, Sand,'
Winston Churchill ha studiato all'università di,hurst,arte
Sandra Bullock ha studiato all'università di, East, Southern
Sandra Bullock ha studiato all'università di, Carolina, Methodist
Sandra Bullock ha studiato all'università di, University, University
Peter Paul Rubens ha studiato all'università di, Vec, Le
Peter Paul Rubens ha studiato all'università di,chia,ida
Peter Paul Rubens ha studiato all'università di, univers, e
Peter Paul Rubens ha studiato all'università di,ità, a
Peter Paul Rubens ha studiato all'università di, di, Par
Peter Paul Rubens ha studiato all'università di, Lov,igi
Peter Paul Rubens ha studiato all'università di,anio,.
Lady Gaga ha studiato all'università di, T, New
Lady Gaga ha studiato all'università di,isch, York
Lady Gaga ha studiato all'università di, School,","
Lady Gaga ha studiato all'università di, of, dove
Lady Gaga ha studiato all'università di, the, ha
Lady Gaga ha studiato all'università di, Arts, studi
Rembrandt ha studiato all'università di, Univers, Le
Rembrandt ha studiato all'università di,ità,ida
Rembrandt ha studiato all'università di, di,","
Rembrandt ha studiato all'università di, Le, dove
Rembrandt ha studiato all'università di,ida, ha
Vladimir Putin ha studiato all'università di, Fac, L
