prompt,answer_token,predicted_top1_token
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de grand est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de grand est", grand, grand
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de petit est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de petit est", petit, petit
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de grand est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de grand est", grand, grand
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de court est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de court est", court, court
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de long est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de long est", long, long
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de rapide est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de rapide est", rapide, rapide
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de lent est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de lent est", lent, lent
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de fort est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de fort est", fort, fort
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de faible est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de faible est", fa, fa
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de faible est",ible,ible
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de lourd est", plus, plus
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de lourd est", l, l
"La forme comparative de amusant est plus amusant.
La forme comparative de efficace est plus efficace.
La forme comparative de amical est plus amical.
La forme comparative de populaire est plus populaire.
La forme comparative de paresseux est plus paresseux.
La forme comparative de lourd est",ourd,ourd
