prompt,answer_token,predicted_top1_token
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Stati Uniti d'America è il/la", doll, Doll
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Stati Uniti d'America è il/la",aro,aro
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Stati Uniti d'America è il/la", stat,".
"
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Stati Uniti d'America è il/la",unit,La
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Stati Uniti d'America è il/la",ense, val
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la", ster, ster
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la",l,l
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la",ina,ina
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la", brit,".
"
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la",ann,La
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Regno Unito è il/la",ica, val
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Giappone è il/la", Yen, Yen
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Canada è il/la", doll, Doll
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Canada è il/la",aro,aro
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Australia è il/la", doll, Doll
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Australia è il/la",aro,aro
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di India è il/la", r, R
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di India è il/la",up,up
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di India è il/la",ia,ia
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di India è il/la", ind,".
"
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di India è il/la",iana,La
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Russia è il/la", rub, Rub
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Russia è il/la",lo,lo
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Russia è il/la", rus,".
"
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Russia è il/la",so,La
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Messico è il/la", peso, P
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Messico è il/la", mess,eso
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Messico è il/la",ic,".
"
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Messico è il/la",ano,La
"La valuta ufficiale di Egitto è il/la libbra.
La valuta ufficiale di Vietnam è il/la Dong.
La valuta ufficiale di Nigeria è il/la Naira nigeriana.
La valuta ufficiale di Nuova Zelanda è il/la", doll, Doll
