prompt,answer_token,predicted_top1_token
La capitale di Stati Uniti d'America è, Washington, Washington
La capitale di Canada è, Ottawa, Ottawa
La capitale di Messico è, C, un
La capitale di Messico è,itt,’
La capitale di Messico è,à,ant
La capitale di Messico è, del,ica
La capitale di Messico è, Mess, città
La capitale di Messico è,ico, che
La capitale di Argentina è, Buenos, Buenos
La capitale di Argentina è, Aires, Aires
La capitale di Cile è, Santiago, Santiago
La capitale di Cile è, del, de
La capitale di Cile è, C, Chile
La capitale di Cile è,ile,","
La capitale di Perù è, Lima, Lima
La capitale di Venezuela è, Car, Car
La capitale di Venezuela è,acas,acas
La capitale di Spagna è, Madrid, Madrid
La capitale di Francia è, Par, Par
La capitale di Francia è,igi,igi
La capitale di Germania è, Ber, Ber
La capitale di Germania è,l,l
La capitale di Germania è,ino,ino
La capitale di Italia è, Roma, Roma
La capitale di Russia è, Mos, Mos
La capitale di Russia è,ca,ca
La capitale di Cina è, P, P
La capitale di Cina è,ech,ech
La capitale di Cina è,ino,ino
La capitale di Giappone è, Tokyo, Tokyo
La capitale di Corea del Sud è, Se, Seoul
La capitale di Corea del Sud è,ul,","
La capitale di India è, Nu, Delhi
La capitale di India è,ova,","
La capitale di India è, Delhi, che
La capitale di Pakistan è, Islamabad, Islamabad
La capitale di Nigeria è, Abu, il
La capitale di Nigeria è,ja, Lagos
La capitale di Egitto è, Il, Cairo
La capitale di Egitto è, Cairo,","
La capitale di Arabia Saudita è, Ri, la
La capitale di Arabia Saudita è,ad, città
La capitale di Turchia è, Ankara, Istanbul
La capitale di Australia è, Canberra, Sydney
