prompt,answer_token,predicted_top1_token
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
John Adams nasceu em", , 
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
John Adams nasceu em",173,173
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
John Adams nasceu em",5,5
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
Thomas Jefferson nasceu em", , 
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
Thomas Jefferson nasceu em",174,174
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
Thomas Jefferson nasceu em",3,3
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
James Madison nasceu em", , 
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
James Madison nasceu em",175,175
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
James Madison nasceu em",1,1
"Dwight D. Eisenhower nasceu em 1890.
Theodore Roosevelt nasceu em 1858.
Woodrow Wilson nasceu em 1856.
William McKinley nasceu em 1843.
Herbert Hoover nasceu em 1874.
Grover Cleveland nasceu em 1837.
Ulysses S. Grant nasceu em 1822.
Abraham Lincoln nasceu em 1809.
Chester Arthur nasceu em 1829.
Benjamin Harrison nasceu em 1833.
James Monroe nasceu em", , 
