prompt,answer_token,predicted_top1_token
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Drake se llama", Sand, Sand
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Drake se llama",i,i
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Drake se llama", Graham, Graham
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Ariana Grande se llama", Joan, Joan
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Ariana Grande se llama", Grande, Grande
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Rihanna se llama", Monica, Monica
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Rihanna se llama", Bra, Bra
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Rihanna se llama",ith,ith
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Rihanna se llama",wa,wa
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Rihanna se llama",ite,ite
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Will Smith se llama", Caroline, Sh
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Will Smith se llama", Bright,eree
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Prince William se llama", Princess, Diana
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Prince William se llama", Diana, Spencer
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Prince Harry se llama", Princess, Diana
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Prince Harry se llama", Diana, Spencer
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Franklin D. Roosevelt se llama", Sara, Sara
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Franklin D. Roosevelt se llama", Ann, Del
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Franklin D. Roosevelt se llama", Del,ano
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Franklin D. Roosevelt se llama",ano, Roosevelt
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Queen Elizabeth II se llama", Queen, Elizabeth
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Queen Elizabeth II se llama", Elizabeth, Bow
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Queen Elizabeth II se llama", The,es
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Queen Elizabeth II se llama", Queen,-L
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Queen Elizabeth II se llama", Mother,yon
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Charles, Prince of Wales se llama", Queen, Cam
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Charles, Prince of Wales se llama", Elizabeth,illa
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Charles, Prince of Wales se llama", II, Parker
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Princess Margaret se llama", Queen, The
"La madre de Suri Cruise se llama Katie Holmes.
La madre de Michelle Obama se llama Marian Robinson.
La madre de Willow Smith se llama Jada Pinkett Smith.
La madre de Ava Phillippe se llama Reese Witherspoon.
La madre de Kaia Gerber se llama Cindy Crawford.
La madre de Princess Margaret se llama", Elizabeth,od
