prompt,answer_token,predicted_top1_token
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Michelle Obama est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Michelle Obama est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Michelle Obama est allé(e) à l'université de", de, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Michelle Obama est allé(e) à l'université de", Princeton, Princeton
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Bill Gates est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Bill Gates est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Bill Gates est allé(e) à l'université de", Harvard, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Mark Zuckerberg est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Mark Zuckerberg est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Mark Zuckerberg est allé(e) à l'université de", Harvard, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de", d, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de",', Tennessee
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de",É,".
"
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de",tat,Bill
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de", du, Gates
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Oprah Winfrey est allé(e) à l'université de", Tennessee, est
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Emma Watson est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Emma Watson est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Emma Watson est allé(e) à l'université de", Brown, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Natalie Portman est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Natalie Portman est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Natalie Portman est allé(e) à l'université de", Harvard, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
George W. Bush est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
George W. Bush est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
George W. Bush est allé(e) à l'université de", Yale, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Hillary Clinton est allé(e) à l'université de", Wel, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Hillary Clinton est allé(e) à l'université de",les,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Hillary Clinton est allé(e) à l'université de",ley, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Hillary Clinton est allé(e) à l'université de", College, Wel
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Neil Armstrong est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Neil Armstrong est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Neil Armstrong est allé(e) à l'université de", Purdue, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", de, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", Californ, Yale
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de",ie,".
"
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", à,Bill
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", Los, Gates
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
James Franco est allé(e) à l'université de", Angeles, est
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Cindy Crawford est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Cindy Crawford est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Cindy Crawford est allé(e) à l'université de", Northwestern, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Matt Damon est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Matt Damon est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Matt Damon est allé(e) à l'université de", Harvard, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Conan O'Brien est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Conan O'Brien est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Conan O'Brien est allé(e) à l'université de", Harvard, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", univers, univers
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de",ité,ité
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", de, de
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", Californ, Harvard
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de",ie,".
"
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", à,Bill
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", Los, Gates
"Elon Musk est allé(e) à l'université de université de Pennsylvanie.
Angela Davis est allé(e) à l'université de université de Californie à San Diego.
Tim Cook est allé(e) à l'université de université de Duke.
Leonardo DiCaprio est allé(e) à l'université de", Angeles, est
