prompt,answer_token,predicted_top1_token
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Toko Yasuda ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Toko Yasuda ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Toko Yasuda ist Instrumentalist/in an der/am",re,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Tom Fletcher ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Tom Fletcher ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Tom Fletcher ist Instrumentalist/in an der/am",re,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mark Isham ist Instrumentalist/in an der/am", Trom, Sax
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mark Isham ist Instrumentalist/in an der/am",pet,ophon
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mark Isham ist Instrumentalist/in an der/am",e,".
"
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Alain Lanty ist Instrumentalist/in an der/am", Kl, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Alain Lanty ist Instrumentalist/in an der/am",avier,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Victor Merzhanov ist Instrumentalist/in an der/am", Kl, Vi
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Victor Merzhanov ist Instrumentalist/in an der/am",avier,oline
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Tom Waits ist Instrumentalist/in an der/am", Kl, Kl
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Tom Waits ist Instrumentalist/in an der/am",avier,avier
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Micko Larkin ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Micko Larkin ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Micko Larkin ist Instrumentalist/in an der/am",re,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Keith Emerson ist Instrumentalist/in an der/am", Kl, Kl
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Keith Emerson ist Instrumentalist/in an der/am",avier,avier
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Glen Ballard ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Glen Ballard ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Glen Ballard ist Instrumentalist/in an der/am",re,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Terry Trotter ist Instrumentalist/in an der/am", Kl, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Terry Trotter ist Instrumentalist/in an der/am",avier,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Roy Paci ist Instrumentalist/in an der/am", Trom, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Roy Paci ist Instrumentalist/in an der/am",pet,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Roy Paci ist Instrumentalist/in an der/am",e,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Vitaly Margulis ist Instrumentalist/in an der/am", Kl, Vi
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Vitaly Margulis ist Instrumentalist/in an der/am",avier,oline
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Josephine Wiggs ist Instrumentalist/in an der/am", G, Bass
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Josephine Wiggs ist Instrumentalist/in an der/am",itar,".
"
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Josephine Wiggs ist Instrumentalist/in an der/am",re,The
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Johan De Farfalla ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Johan De Farfalla ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Johan De Farfalla ist Instrumentalist/in an der/am",re,re
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mike Scaccia ist Instrumentalist/in an der/am", G, G
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mike Scaccia ist Instrumentalist/in an der/am",itar,itar
"B.B. King ist Instrumentalist/in an der/am Gitarre.
John Coltrane ist Instrumentalist/in an der/am Saxophon.
Elton John ist Instrumentalist/in an der/am Klavier.
David Garrett ist Instrumentalist/in an der/am Violine.
Mike Scaccia ist Instrumentalist/in an der/am",re,re
