prompt,answer_token,predicted_top1_token
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ", ว, ว
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",อ,อ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ช,ช
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ิง,ิง
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ต,ต
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ัน,ัน
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ", ด, ด
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ี.,ี.
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ซ,ซ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ สหรัฐอเมริกา คือ",ี.,ี.
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศแคนาดา คือ", อ, อ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศแคนาดา คือ",อต,อต
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศแคนาดา คือ",ต,ต
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศแคนาดา คือ",าว,าว
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศแคนาดา คือ",า,า
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ", เม, เม
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",็กซ,็กซ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",ิโ,ิโ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",ก,ก
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",ซ,ซ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",ิต,ิต
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศเม็กซิโก คือ",ี,ี
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ", บ, บ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",ัว,ัว
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",โ,โ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",นส,นส
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",ไ,ไ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",อเร,อเร
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศอาร์เจนตินา คือ",ส,ส
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ", ซ, ซ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ",ันต,าน
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ",ิ,ต
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ",อ,ิ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ",า,อ
"เมืองหลวงของ ประเทศนอร์เวย์ คือ ออสโล.
เมืองหลวงของ ประเทศชิลี คือ",โก,าก
