prompt,answer_token,predicted_top1_token
La forma comparativa de grande es, más,qu
La forma comparativa de grande es, grande,ema
La forma comparativa de pequeño es, más,qu
La forma comparativa de pequeño es, peque,ema
La forma comparativa de pequeño es,ño, de
La forma comparativa de alto es, más,qu
La forma comparativa de alto es, alto,ema
La forma comparativa de corto es, más,qu
La forma comparativa de corto es, cort,ema
La forma comparativa de corto es,o,","
La forma comparativa de largo es, más,qu
La forma comparativa de largo es, largo,ema
La forma comparativa de rápido es, más,qu
La forma comparativa de rápido es, rápido,ema
La forma comparativa de lento es, más, la
La forma comparativa de lento es, l, que
La forma comparativa de lento es,ento, se
La forma comparativa de fuerte es, más, la
La forma comparativa de fuerte es, fu, que
La forma comparativa de fuerte es,erte, se
La forma comparativa de débil es, más, la
La forma comparativa de débil es, dé, que
La forma comparativa de débil es,bil, se
La forma comparativa de pesado es, más, la
La forma comparativa de pesado es, pes, que
La forma comparativa de pesado es,ado, se
La forma comparativa de ligero es, más,qu
La forma comparativa de ligero es, lig,ema
La forma comparativa de ligero es,ero, de
La forma comparativa de viejo es, más,qu
La forma comparativa de viejo es, vie,ema
La forma comparativa de viejo es,jo, de
La forma comparativa de joven es, más, la
La forma comparativa de joven es, joven, que
La forma comparativa de alto es, más,qu
La forma comparativa de alto es, alto,ema
La forma comparativa de bajo es, más,qu
La forma comparativa de bajo es, bajo,ema
La forma comparativa de profundo es, más,qu
La forma comparativa de profundo es, prof,ema
La forma comparativa de profundo es,undo, de
La forma comparativa de superficial es, más, la
La forma comparativa de superficial es, superficial, que
La forma comparativa de ancho es, más, la
La forma comparativa de ancho es, an, que
La forma comparativa de ancho es,cho, se
La forma comparativa de estrecho es, más,qu
La forma comparativa de estrecho es, est,ema
La forma comparativa de estrecho es,re, de
La forma comparativa de estrecho es,cho, la
La forma comparativa de grueso es, más, la
La forma comparativa de grueso es, grues, que
La forma comparativa de grueso es,o, se
La forma comparativa de delgado es, más, la
La forma comparativa de delgado es, del, que
La forma comparativa de delgado es,gado, se
La forma comparativa de caliente es, más, la
La forma comparativa de caliente es, caliente, forma
La forma comparativa de frío es, más, la
La forma comparativa de frío es, fr, que
La forma comparativa de frío es,ío, se
La forma comparativa de brillante es, más, la
La forma comparativa de brillante es, brill, que
La forma comparativa de brillante es,ante, se
La forma comparativa de oscuro es, más, la
La forma comparativa de oscuro es, osc, forma
La forma comparativa de oscuro es,uro, de
La forma comparativa de ruidoso es, más, la
La forma comparativa de ruidoso es, r, que
La forma comparativa de ruidoso es,uid, se
La forma comparativa de ruidoso es,oso, utiliza
La forma comparativa de silencioso es, más, la
La forma comparativa de silencioso es, sil, que
La forma comparativa de silencioso es,enc, se
La forma comparativa de silencioso es,ioso, emple
La forma comparativa de feliz es, más, la
