prompt,answer_token,predicted_top1_token
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Michelle Obama asistió a la universidad de", Universidad, Princeton
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Michelle Obama asistió a la universidad de", de, University
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Michelle Obama asistió a la universidad de", Princeton,".
"
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Bill Gates asistió a la universidad de", Universidad, Universidad
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Bill Gates asistió a la universidad de", Harvard, de
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Mark Zuckerberg asistió a la universidad de", Universidad, Universidad
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Mark Zuckerberg asistió a la universidad de", Harvard, de
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Emma Watson asistió a la universidad de", Universidad, Universidad
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Emma Watson asistió a la universidad de", Brown, de
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Natalie Portman asistió a la universidad de", Universidad, Universidad
"Elon Musk asistió a la universidad de Universidad de Pensilvania.
Angela  Davis asistió a la universidad de Universidad de California en San Diego.
Tim Cook asistió a la universidad de Universidad de Duke.
Jacinda Ardern asistió a la universidad de Universidad de Waikato.
Natalie Portman asistió a la universidad de", Harvard, de
