prompt,answer_token,predicted_top1_token
"FEU se termine par la lettre U.
PLIER se termine par la lettre", R, U
"FEU se termine par la lettre U.
LOURD se termine par la lettre", D, D
"FEU se termine par la lettre U.
BELLE se termine par la lettre", E, E
"FEU se termine par la lettre U.
DEMANDER se termine par la lettre", R, D
"FEU se termine par la lettre U.
ÉTENDRE se termine par la lettre", E, E
"FEU se termine par la lettre U.
DEVANT se termine par la lettre", T, V
"FEU se termine par la lettre U.
DIFFICILE se termine par la lettre", E, L
"FEU se termine par la lettre U.
GENTIL se termine par la lettre", L, I
"FEU se termine par la lettre U.
ALLER se termine par la lettre", R, L
"FEU se termine par la lettre U.
CHIRURGIE se termine par la lettre", E, U
"FEU se termine par la lettre U.
PASSÉ se termine par la lettre", É, V
"FEU se termine par la lettre U.
INTÉRIEUR se termine par la lettre", R, I
"FEU se termine par la lettre U.
ENTRER se termine par la lettre", R, R
"FEU se termine par la lettre U.
COMMENCER se termine par la lettre", R, C
"FEU se termine par la lettre U.
DISPARAÎTRE se termine par la lettre", E, T
"FEU se termine par la lettre U.
AUTOMNE se termine par la lettre", E, N
"FEU se termine par la lettre U.
FOU se termine par la lettre", U, U
"FEU se termine par la lettre U.
OUBLIER se termine par la lettre", R, I
"FEU se termine par la lettre U.
FRONCER se termine par la lettre", R, C
"FEU se termine par la lettre U.
GÉNIAL se termine par la lettre", L, L
"FEU se termine par la lettre U.
APPRENDRE se termine par la lettre", E, A
"FEU se termine par la lettre U.
LISSE se termine par la lettre", E, S
"FEU se termine par la lettre U.
LARGE se termine par la lettre", E, R
"FEU se termine par la lettre U.
AVION se termine par la lettre", N, N
"FEU se termine par la lettre U.
FAUX se termine par la lettre", X, F
"FEU se termine par la lettre U.
DANSE se termine par la lettre", E, S
"FEU se termine par la lettre U.
GAGNER se termine par la lettre", R, N
"FEU se termine par la lettre U.
CROIRE se termine par la lettre", E, R
"FEU se termine par la lettre U.
CONCERT se termine par la lettre", T, C
"FEU se termine par la lettre U.
VÉLO se termine par la lettre", O, V
"FEU se termine par la lettre U.
RASSIS se termine par la lettre", S, S
"FEU se termine par la lettre U.
BIBLIOTHÈQUE se termine par la lettre", E, B
"FEU se termine par la lettre U.
APPEL se termine par la lettre", L, P
"FEU se termine par la lettre U.
DONNER se termine par la lettre", R, N
"FEU se termine par la lettre U.
SAVOIR se termine par la lettre", R, V
"FEU se termine par la lettre U.
GRIMPER se termine par la lettre", R, M
"FEU se termine par la lettre U.
FRAIS se termine par la lettre", S, F
"FEU se termine par la lettre U.
REGARDER se termine par la lettre", R, D
"FEU se termine par la lettre U.
VIEUX se termine par la lettre", X, V
"FEU se termine par la lettre U.
SALLE se termine par la lettre", E, L
"FEU se termine par la lettre U.
HAUT se termine par la lettre", T, A
"FEU se termine par la lettre U.
DÉCIDER se termine par la lettre", R, D
"FEU se termine par la lettre U.
CHOISIR se termine par la lettre", R, O
"FEU se termine par la lettre U.
VOULOIR se termine par la lettre", R, V
"FEU se termine par la lettre U.
FORT se termine par la lettre", T, U
"FEU se termine par la lettre U.
MARCHER se termine par la lettre", R, R
"FEU se termine par la lettre U.
BOÎTE se termine par la lettre", E, O
"FEU se termine par la lettre U.
IMPOLIE se termine par la lettre", E, O
"FEU se termine par la lettre U.
MACHINE se termine par la lettre", E, M
"FEU se termine par la lettre U.
CALME se termine par la lettre", E, M
"FEU se termine par la lettre U.
DROIT se termine par la lettre", T, R
"FEU se termine par la lettre U.
INCLURE se termine par la lettre", E, U
"FEU se termine par la lettre U.
FAUX se termine par la lettre", X, F
"FEU se termine par la lettre U.
CHUCHOTER se termine par la lettre", R, R
"FEU se termine par la lettre U.
PROFOND se termine par la lettre", D, O
"FEU se termine par la lettre U.
FILM se termine par la lettre", M, M
"FEU se termine par la lettre U.
RIRE se termine par la lettre", E, R
"FEU se termine par la lettre U.
AIGRE se termine par la lettre", E, E
"FEU se termine par la lettre U.
BÉNIR se termine par la lettre", R, U
"FEU se termine par la lettre U.
SALE se termine par la lettre", E, A
