prompt,answer_token,predicted_top1_token
Il passato di chiedere è, ch, stato
Il passato di chiedere è,iese, sost
Il passato di credere è, ha, un
Il passato di credere è, cred, pass
Il passato di credere è,uto,ato
Il passato di rompere è, ha, stato
Il passato di rompere è, rot, un
Il passato di rompere è,to, pass
Il passato di portare è, ha, stato
Il passato di portare è, port, sost
Il passato di portare è,ato,it
Il passato di costruire è, co, il
Il passato di costruire è,stru, pass
Il passato di costruire è,ì,ato
Il passato di chiamare è, ch, stato
Il passato di chiamare è,iam, un
Il passato di chiamare è,ò, pass
Il passato di prendere è, pre, un
Il passato di prendere è,se, pass
Il passato di cambiare è, cambi, il
Il passato di cambiare è,ò, pass
Il passato di scegliere è, sc, un
Il passato di scegliere è,else, pass
Il passato di pulire è, pul, stato
Il passato di pulire è,ì, un
Il passato di arrampicare è, arr, stato
Il passato di arrampicare è,amp, sost
Il passato di arrampicare è,ic,it
Il passato di arrampicare è,ò,uito
Il passato di chiudere è, chi, il
Il passato di chiudere è,use, pass
Il passato di venire è, ven, il
Il passato di venire è,ne, pass
Il passato di piangere è, pian, stato
Il passato di piangere è,se, un
Il passato di tagliare è, tag, stato
Il passato di tagliare è,li, un
Il passato di tagliare è,ò, pass
Il passato di danzare è, dan, stato
Il passato di danzare è,z, un
Il passato di danzare è,ò, pass
Il passato di decidere è, dec, un
Il passato di decidere è,ise, pass
Il passato di fare è, fe, stato
Il passato di fare è,ce, sost
Il passato di guidare è, guid, stato
Il passato di guidare è,ò, un
Il passato di bere è, bev, stato
Il passato di bere è,vi, un
Il passato di mangiare è, mang, stato
Il passato di mangiare è,i, sost
Il passato di mangiare è,ò,it
Il passato di cadere è, cad, il
Il passato di cadere è,de, pass
Il passato di finire è, fin, un
Il passato di finire è,ì, pass
Il passato di trovare è, trov, stato
Il passato di trovare è,ò, sost
Il passato di volare è, vol, stato
Il passato di volare è,ò, un
Il passato di seguire è, segu, un
Il passato di seguire è,ì, pass
Il passato di dimenticare è, d, un
Il passato di dimenticare è,iment, pass
Il passato di dimenticare è,ic,ato
Il passato di dimenticare è,ò, di
Il passato di corrugare è, corr, stato
Il passato di corrugare è,ug, un
Il passato di corrugare è,ò, pass
Il passato di ottenere è, ot, stato
Il passato di ottenere è,ten, un
Il passato di ottenere è,ni, pass
Il passato di dare è, died, il
Il passato di dare è,i, pass
Il passato di andare è, and, stato
Il passato di andare è,ò, un
Il passato di odiare è, o, stato
Il passato di odiare è,di, il
Il passato di odiare è,ò, mio
Il passato di avere è, e, un
Il passato di avere è,bb, pass
Il passato di avere è,i,ato
Il passato di udire è, ud, un
Il passato di udire è,ì, pass
Il passato di aiutare è, ai, stato
Il passato di aiutare è,ut, un
Il passato di aiutare è,ò, pass
Il passato di colpire è, col, un
Il passato di colpire è,p, pass
Il passato di colpire è,ì,ato
Il passato di saltare è, salt, stato
Il passato di saltare è,ò, un
Il passato di sapere è, sep, un
Il passato di sapere è,pe, pass
Il passato di ridere è, rise, un
Il passato di imparare è, im, il
Il passato di imparare è,par, pass
Il passato di imparare è,ò,ato
Il passato di lasciare è, lasc, un
Il passato di lasciare è,i, pass
Il passato di lasciare è,ò,ato
Il passato di piacere è, pi, un
Il passato di piacere è,ac, pass
Il passato di piacere è,que,ato
Il passato di vivere è, vis, un
Il passato di vivere è,se, pass
Il passato di guardare è, guard, un
Il passato di guardare è,ò, pass
Il passato di perdere è, pers, il
Il passato di perdere è,i, pass
Il passato di amare è, am, un
Il passato di amare è,ò, pass
Il passato di fare è, fe, stato
Il passato di fare è,ce, sost
Il passato di incontrare è, incontr, stato
Il passato di incontrare è,ò, un
Il passato di necessitare è, necess, stato
Il passato di necessitare è,it, un
Il passato di necessitare è,ai, pass
Il passato di aprire è, apr, stato
Il passato di aprire è,ì, un
Il passato di giocare è, gioc, stato
Il passato di giocare è,ò, un
Il passato di leggere è, les, un
Il passato di leggere è,se, pass
Il passato di ricordare è, ric, un
Il passato di ricordare è,ord, pass
Il passato di ricordare è,ò,ato
Il passato di correre è, cor, stato
Il passato di correre è,se, un
Il passato di dire è, disse, stato
Il passato di vedere è, vide, un
Il passato di scuotere è, sc, il
Il passato di scuotere è,os, pass
Il passato di scuotere è,se,ato
Il passato di sedere è, sed, stato
Il passato di sedere è,ette, sost
Il passato di dormire è, dorm, stato
Il passato di dormire è,ì, un
Il passato di sorridere è, s, un
Il passato di sorridere è,orr, pass
Il passato di sorridere è,ise,ato
Il passato di parlare è, parl, stato
Il passato di parlare è,ò, sost
Il passato di iniziare è, in, il
Il passato di iniziare è,izi, pass
Il passato di iniziare è,ò,ato
Il passato di stare è, st, stato
Il passato di stare è,ette, un
Il passato di studiare è, studi, stato
Il passato di studiare è,ò, un
Il passato di nuotare è, nu, stato
Il passato di nuotare è,ot, un
Il passato di nuotare è,ò, pass
Il passato di prendere è, pre, un
Il passato di prendere è,se, pass
Il passato di parlare è, parl, stato
Il passato di parlare è,ò, sost
Il passato di pensare è, pens, un
Il passato di pensare è,ò, pass
Il passato di provare è, prov, un
Il passato di provare è,ò, pass
Il passato di capire è, cap, il
Il passato di capire è,ì, pass
Il passato di camminare è, cam, stato
Il passato di camminare è,min, sost
Il passato di camminare è,ò,it
Il passato di volere è, vol, un
Il passato di volere è,le, pass
Il passato di indossare è, ind, stato
Il passato di indossare è,oss, un
Il passato di indossare è,ò, pass
Il passato di vincere è, vin, il
Il passato di vincere è,se, pass
Il passato di lavorare è, lavor, stato
Il passato di lavorare è,ò, un
Il passato di scrivere è, scr, un
Il passato di scrivere è,iss, pass
Il passato di scrivere è,i,ato
