prompt,answer_token,predicted_top1_token
"Canopus está na constelação de Carina.
Sirius está na constelação de", Can, Can
"Canopus está na constelação de Carina.
Sirius está na constelação de",is,is
"Canopus está na constelação de Carina.
Sirius está na constelação de", Major, Major
"Canopus está na constelação de Carina.
Vega está na constelação de", Ly, Ly
"Canopus está na constelação de Carina.
Vega está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Arcturus está na constelação de", Bo, Bo
"Canopus está na constelação de Carina.
Arcturus está na constelação de",ö,ote
"Canopus está na constelação de Carina.
Arcturus está na constelação de",tes,".
"
"Canopus está na constelação de Carina.
Capella está na constelação de", Aur, Aur
"Canopus está na constelação de Carina.
Capella está na constelação de",iga,iga
"Canopus está na constelação de Carina.
Procyon está na constelação de", Can, Can
"Canopus está na constelação de Carina.
Procyon está na constelação de",is,is
"Canopus está na constelação de Carina.
Procyon está na constelação de", Minor, Minor
"Canopus está na constelação de Carina.
Altair está na constelação de", Aqu, Aqu
"Canopus está na constelação de Carina.
Altair está na constelação de",ila,ila
"Canopus está na constelação de Carina.
Aldebaran está na constelação de", T, T
"Canopus está na constelação de Carina.
Aldebaran está na constelação de",aurus,ouro
"Canopus está na constelação de Carina.
Antares está na constelação de", Scor, Scor
"Canopus está na constelação de Carina.
Antares está na constelação de",pi,pi
"Canopus está na constelação de Carina.
Antares está na constelação de",us,us
"Canopus está na constelação de Carina.
Fomalhaut está na constelação de", P, P
"Canopus está na constelação de Carina.
Fomalhaut está na constelação de",isc,isc
"Canopus está na constelação de Carina.
Fomalhaut está na constelação de",is,is
"Canopus está na constelação de Carina.
Fomalhaut está na constelação de", Austr, Austr
"Canopus está na constelação de Carina.
Fomalhaut está na constelação de",inus,inus
"Canopus está na constelação de Carina.
Deneb está na constelação de", Cy, Cy
"Canopus está na constelação de Carina.
Deneb está na constelação de",gn,gn
"Canopus está na constelação de Carina.
Deneb está na constelação de",us,us
"Canopus está na constelação de Carina.
Castor está na constelação de", Gemini, Gemini
"Canopus está na constelação de Carina.
Mizar está na constelação de", U, Big
"Canopus está na constelação de Carina.
Mizar está na constelação de",rsa,a
"Canopus está na constelação de Carina.
Mizar está na constelação de", Major,".
"
"Canopus está na constelação de Carina.
Dubhe está na constelação de", U, U
"Canopus está na constelação de Carina.
Dubhe está na constelação de",rsa,rsa
"Canopus está na constelação de Carina.
Dubhe está na constelação de", Major, Mai
"Canopus está na constelação de Carina.
Alcor está na constelação de", U, Car
"Canopus está na constelação de Carina.
Alcor está na constelação de",rsa,ina
"Canopus está na constelação de Carina.
Alcor está na constelação de", Major,".
"
"Canopus está na constelação de Carina.
Alphecca está na constelação de", Corona, P
"Canopus está na constelação de Carina.
Alphecca está na constelação de", B,ég
"Canopus está na constelação de Carina.
Alphecca está na constelação de",ore,aso
"Canopus está na constelação de Carina.
Alphecca está na constelação de",alis,".
"
"Canopus está na constelação de Carina.
Zubenelgenubi está na constelação de", Lib, Car
"Canopus está na constelação de Carina.
Zubenelgenubi está na constelação de",ra,ina
"Canopus está na constelação de Carina.
Gacrux está na constelação de", Cr, Car
"Canopus está na constelação de Carina.
Gacrux está na constelação de",ux,ina
"Canopus está na constelação de Carina.
Alnair está na constelação de", Gr, Car
"Canopus está na constelação de Carina.
Alnair está na constelação de",us,ina
"Canopus está na constelação de Carina.
Shaula está na constelação de", Scor, Car
"Canopus está na constelação de Carina.
Shaula está na constelação de",pi,ina
"Canopus está na constelação de Carina.
Shaula está na constelação de",us,".
"
"Canopus está na constelação de Carina.
Kaus Australis está na constelação de", Sag, Car
"Canopus está na constelação de Carina.
Kaus Australis está na constelação de",itt,ina
"Canopus está na constelação de Carina.
Kaus Australis está na constelação de",arius,".
"
"Canopus está na constelação de Carina.
Diphda está na constelação de", C, Car
"Canopus está na constelação de Carina.
Diphda está na constelação de",etus,ina
"Canopus está na constelação de Carina.
Schedar está na constelação de", Cass, Car
"Canopus está na constelação de Carina.
Schedar está na constelação de",io,ina
"Canopus está na constelação de Carina.
Schedar está na constelação de",pe,".
"
"Canopus está na constelação de Carina.
Schedar está na constelação de",ia,S
"Canopus está na constelação de Carina.
Mirfak está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Mirfak está na constelação de",se,se
"Canopus está na constelação de Carina.
Mirfak está na constelação de",us,u
"Canopus está na constelação de Carina.
Theta2 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Chi1 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Gliese 570A está na constelação de", Lib, Car
"Canopus está na constelação de Carina.
Gliese 570A está na constelação de",ra,ina
"Canopus está na constelação de Carina.
Iota Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Iota Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Iota Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Pi3 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
23 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
23 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Mu Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Theta Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Theta Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Theta Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Theta1 Orionis B está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Gliese 581 está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
Gliese 581 está na constelação de",ra,ra
"Canopus está na constelação de Carina.
83 Leonis A está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Phi2 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Gliese 205 está na constelação de", Orion, Car
"Canopus está na constelação de Carina.
Theta1 Orionis C está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Wolf 359 está na constelação de", Leo, Can
"Canopus está na constelação de Carina.
Rigel está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
V520 Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
V520 Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
V520 Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Betelgeuse está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Iota Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Algol está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Algol está na constelação de",se,se
"Canopus está na constelação de Carina.
Algol está na constelação de",us,u
"Canopus está na constelação de Carina.
AD Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Gamma Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
Gamma Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Denebola está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
NGC 1275 está na constelação de", Per, Per
"Canopus está na constelação de Carina.
NGC 1275 está na constelação de",se,se
"Canopus está na constelação de Carina.
NGC 1275 está na constelação de",us,us
"Canopus está na constelação de Carina.
Alpha Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Alpha Persei está na constelação de",se,seo
"Canopus está na constelação de Carina.
Alpha Persei está na constelação de",us,".
"
"Canopus está na constelação de Carina.
Epsilon Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Kappa Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Kappa Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Kappa Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Gliese 436 está na constelação de", Leo, Car
"Canopus está na constelação de Carina.
Gamma Leonis A está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
71 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
89 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Omicron Leonis está na constelação de", Leo, Le
"Canopus está na constelação de Carina.
35 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
37 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
37 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
50 Persei E está na constelação de", Per, Per
"Canopus está na constelação de Carina.
50 Persei E está na constelação de",se,se
"Canopus está na constelação de Carina.
50 Persei E está na constelação de",us,us
"Canopus está na constelação de Carina.
Theta Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Gliese 436 b está na constelação de", Leo, Car
"Canopus está na constelação de Carina.
Gliese 204 está na constelação de", Orion, Car
"Canopus está na constelação de Carina.
X Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
X Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
X Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
11 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
11 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Gliese 402 está na constelação de", Leo, Car
"Canopus está na constelação de Carina.
29 Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
48 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
48 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
4C 01.28 está na constelação de", Leo, Car
"Canopus está na constelação de Carina.
Alnilam está na constelação de", Orion, Car
"Canopus está na constelação de Carina.
12 Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
12 Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
12 Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
40 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Bellatrix está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
Alpha1 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
Alpha1 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Eta Leonis está na constelação de", Leo, Le
"Canopus está na constelação de Carina.
Mintaka está na constelação de", Orion, Car
"Canopus está na constelação de Carina.
Iota Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Tau Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Tau Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Tau Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
39 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Mu Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
V1386 Ori está na constelação de", Orion, Ori
"Canopus está na constelação de Carina.
49 Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
49 Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Xi Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Xi Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Xi Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Phi Persei está na constelação de", Per, Per
"Canopus está na constelação de Carina.
Phi Persei está na constelação de",se,se
"Canopus está na constelação de Carina.
Phi Persei está na constelação de",us,us
"Canopus está na constelação de Carina.
Delta Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
88 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
QSO B1514-24 está na constelação de", Lib, Car
"Canopus está na constelação de Carina.
QSO B1514-24 está na constelação de",ra,ina
"Canopus está na constelação de Carina.
Regulus está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Zeta Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Gliese 555 está na constelação de", Lib, Car
"Canopus está na constelação de Carina.
Gliese 555 está na constelação de",ra,ina
"Canopus está na constelação de Carina.
16 Orionis está na constelação de", Orion, Car
"Canopus está na constelação de Carina.
Delta Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
Delta Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Sigma Orionis está na constelação de", Orion, Orion
"Canopus está na constelação de Carina.
93 Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
Theta Librae está na constelação de", Lib, Lib
"Canopus está na constelação de Carina.
Theta Librae está na constelação de",ra,ra
"Canopus está na constelação de Carina.
Rho Leonis está na constelação de", Leo, Leo
"Canopus está na constelação de Carina.
74 Orionis está na constelação de", Orion, Orion
