prompt,answer_token,predicted_top1_token
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Platform Controller Hub a été créé(e) par", Intel, Microsoft
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Shahab-2 a été créé(e) par", Iran, Shah
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Infiniti QX a été créé(e) par", Nissan, Inf
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
iPhone 5 a été créé(e) par", Apple, Apple
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Wii Balance Board a été créé(e) par", Nintendo, Nintendo
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Acura TL a été créé(e) par", Honda, A
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Lancia 037 a été créé(e) par", Fiat, L
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Windows Server 2003 a été créé(e) par", Microsoft, Microsoft
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
DualShock a été créé(e) par", Sony, Sony
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Mac Pro a été créé(e) par", Apple, Apple
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Game Boy Advance SP a été créé(e) par", Nintendo, Nintendo
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Squad 51 a été créé(e) par", Dodge, Amazon
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
PGM-19 Jupiter a été créé(e) par", Chrysler, General
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Prince R380 a été créé(e) par", Nissan, Prince
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Monomail a été créé(e) par", Boeing, Mon
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Geo Metro a été créé(e) par", Suzuki, Mitsubishi
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Shahab-1 a été créé(e) par", Iran, Iran
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
PowerFlite a été créé(e) par", Chrysler, Power
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
DC-3 a été créé(e) par", Douglas, Douglas
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Kindle Fire a été créé(e) par", Amazon, Amazon
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
AGM-86 ALCM a été créé(e) par", Boeing, Ray
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Autobianchi Y10 a été créé(e) par", Fiat, Aut
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Mini E a été créé(e) par", BMW, Tesla
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Isetta a été créé(e) par", BMW, L
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Datsun Sports a été créé(e) par", Nissan, Nissan
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Acura ILX a été créé(e) par", Honda, A
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
SteadyShot a été créé(e) par", Sony, Sony
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
SNES-CD a été créé(e) par", Nintendo, Nintendo
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Ferrari 250 GTO a été créé(e) par", Fiat, Ferrari
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Lancia Aprilia a été créé(e) par", Fiat, L
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Windows Live Mail a été créé(e) par", Microsoft, Microsoft
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Bluesmobile a été créé(e) par", Dodge, John
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Bionz a été créé(e) par", Sony, Sony
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
AMC 35 a été créé(e) par", Renault, AMC
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Acura ZDX a été créé(e) par", Honda, A
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Lancia Thema a été créé(e) par", Fiat, L
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Acura EL a été créé(e) par", Honda, A
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Alfa Romeo Montreal a été créé(e) par", Fiat, Al
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Acura MDX a été créé(e) par", Honda, A
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Toyopet Master a été créé(e) par", Toyota, Toyota
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Xbox a été créé(e) par", Microsoft, Microsoft
"Kindle a été créé(e) par Amazon.
Echo Dot a été créé(e) par Amazon.
Galaxy S22 a été créé(e) par Samsung.
PlayStation 5 a été créé(e) par Sony.
Auto Avio Costruzioni 815 a été créé(e) par", Ferrari, Auto
