prompt,answer_token,predicted_top1_token
La sede de Monell Chemical Senses Center está en la ciudad de, Fil, Baltimore
La sede de Monell Chemical Senses Center está en la ciudad de,ad,","
La sede de Monell Chemical Senses Center está en la ciudad de,elf, Maryland
La sede de Monell Chemical Senses Center está en la ciudad de,ia,","
La sede de Majorette está en la ciudad de, Lyon, Saint
La sede de Ipsos MORI está en la ciudad de, Lond, Lond
La sede de Ipsos MORI está en la ciudad de,res,res
La sede de Newcomen Society está en la ciudad de, Lond, Lond
La sede de Newcomen Society está en la ciudad de,res,res
La sede de Northeastern University está en la ciudad de, Boston, Boston
La sede de Pappas Restaurants está en la ciudad de, Houston, Atlanta
La sede de Veracode está en la ciudad de, Burlington, San
La sede de British Tanker Company está en la ciudad de, Lond, Lond
La sede de British Tanker Company está en la ciudad de,res,res
La sede de Heart Attack Grill está en la ciudad de, Chandler, San
La sede de BSC Young Boys está en la ciudad de, Bern, Bern
La sede de BSC Young Boys está en la ciudad de,a,a
La sede de Caribbean Community Secretariat está en la ciudad de, Georgetown, Georgetown
La sede de Irish Ferries está en la ciudad de, Dub, Dublin
La sede de Irish Ferries está en la ciudad de,lín,","
La sede de Crown Airways está en la ciudad de, Fil, Los
La sede de Crown Airways está en la ciudad de,ad, Á
La sede de Crown Airways está en la ciudad de,elf,nge
La sede de Crown Airways está en la ciudad de,ia,les
La sede de Tata Steel Europe está en la ciudad de, Lond, Port
La sede de Tata Steel Europe está en la ciudad de,res, Tal
La sede de Sporveien está en la ciudad de, Oslo, Oslo
La sede de Amirkabir University of Technology está en la ciudad de, Te, Te
La sede de Amirkabir University of Technology está en la ciudad de,her,her
La sede de Amirkabir University of Technology está en la ciudad de,án,án
La sede de Bajaj Electricals está en la ciudad de, Bombay, Pune
La sede de Chinese Skating Association está en la ciudad de, Pek, Pek
La sede de Chinese Skating Association está en la ciudad de,ín,ín
La sede de Elsevier está en la ciudad de, Fil, Amsterdam
La sede de Elsevier está en la ciudad de,ad,","
La sede de Elsevier está en la ciudad de,elf, Pa
La sede de Elsevier está en la ciudad de,ia,íses
La sede de Microland está en la ciudad de, Bengal, Bangalore
La sede de Microland está en la ciudad de,uru,","
La sede de Kemira está en la ciudad de, Helsinki, Esp
La sede de British Railways Board está en la ciudad de, Lond, Lond
La sede de British Railways Board está en la ciudad de,res,res
La sede de Ministry of Foreign Affairs (Russian Empire) está en la ciudad de, Mos, San
