prompt,answer_token,predicted_top1_token
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है, अम, और
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है,ेर, इसक
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है,िक,ा
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है,ी, प
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है, ड,्रय
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है,ॉल,ोग
संयुक्त राज्य अमेरिका की आधिकारिक मुद्रा है,र, 
यूनाइटेड किंगडम की आधिकारिक मुद्रा है, प, और
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,ाउ, इसक
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,ण,ा
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,्ड, प
यूनाइटेड किंगडम की आधिकारिक मुद्रा है, स,्रय
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,्टर,ोग
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,्ल, 
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,िं,१९
यूनाइटेड किंगडम की आधिकारिक मुद्रा है,ग,४
कनाडा की आधिकारिक मुद्रा है, ड, ज
कनाडा की आधिकारिक मुद्रा है,ा,ो
कनाडा की आधिकारिक मुद्रा है,�, 
कनाडा की आधिकारिक मुद्रा है,�,1
कनाडा की आधिकारिक मुद्रा है,ल, र
कनाडा की आधिकारिक मुद्रा है,र,ुपय
ऑस्ट्रेलिया की आधिकारिक मुद्रा है, ड, और
ऑस्ट्रेलिया की आधिकारिक मुद्रा है,ा, इसक
ऑस्ट्रेलिया की आधिकारिक मुद्रा है,�,ा
ऑस्ट्रेलिया की आधिकारिक मुद्रा है,�, प
ऑस्ट्रेलिया की आधिकारिक मुद्रा है,ल,्रय
ऑस्ट्रेलिया की आधिकारिक मुद्रा है,र,ोग
भारत की आधिकारिक मुद्रा है, भ, और
भारत की आधिकारिक मुद्रा है,ारत, भ
भारत की आधिकारिक मुद्रा है,ीय,ारत
भारत की आधिकारिक मुद्रा है, र,ीय
भारत की आधिकारिक मुद्रा है,ुपय, र
भारत की आधिकारिक मुद्रा है,ा,ुपय
रूस की आधिकारिक मुद्रा है, र, और
रूस की आधिकारिक मुद्रा है,ूस, र
रूस की आधिकारिक मुद्रा है,ी,ूस
रूस की आधिकारिक मुद्रा है, र,ी
रूस की आधिकारिक मुद्रा है,ूब, र
रूस की आधिकारिक मुद्रा है,ल,ूब
मेक्सिको की आधिकारिक मुद्रा है, म, और
मेक्सिको की आधिकारिक मुद्रा है,ेक, इसक
मेक्सिको की आधिकारिक मुद्रा है,्स,ा
मेक्सिको की आधिकारिक मुद्रा है,िक, प
मेक्सिको की आधिकारिक मुद्रा है,न,्रय
मेक्सिको की आधिकारिक मुद्रा है, प,ोग
मेक्सिको की आधिकारिक मुद्रा है,ेस, 
मेक्सिको की आधिकारिक मुद्रा है,ो,१९
न्यूज़ीलैंड की आधिकारिक मुद्रा है, ड, ज
न्यूज़ीलैंड की आधिकारिक मुद्रा है,ा,ो
न्यूज़ीलैंड की आधिकारिक मुद्रा है,�, 
न्यूज़ीलैंड की आधिकारिक मुद्रा है,�,1
न्यूज़ीलैंड की आधिकारिक मुद्रा है,ल,.
न्यूज़ीलैंड की आधिकारिक मुद्रा है,र,5
दक्षिण कोरिया की आधिकारिक मुद्रा है, दक, और
दक्षिण कोरिया की आधिकारिक मुद्रा है,्ष, इसक
दक्षिण कोरिया की आधिकारिक मुद्रा है,िण,ा
दक्षिण कोरिया की आधिकारिक मुद्रा है, क, प
दक्षिण कोरिया की आधिकारिक मुद्रा है,ोर,्रय
दक्षिण कोरिया की आधिकारिक मुद्रा है,िय,ोग
दक्षिण कोरिया की आधिकारिक मुद्रा है,ाई, 
दक्षिण कोरिया की आधिकारिक मुद्रा है, व,194
दक्षिण कोरिया की आधिकारिक मुद्रा है,ॉन,5
स्वीडन की आधिकारिक मुद्रा है, स, ज
स्वीडन की आधिकारिक मुद्रा है,्व,ो
स्वीडन की आधिकारिक मुद्रा है,ीड, 
स्वीडन की आधिकारिक मुद्रा है,िश,1
स्वीडन की आधिकारिक मुद्रा है, क, स
स्वीडन की आधिकारिक मुद्रा है,्र,े
स्वीडन की आधिकारिक मुद्रा है,ोन, 
स्वीडन की आधिकारिक मुद्रा है,ा,100
डेनमार्क की आधिकारिक मुद्रा है, ड, ज
डेनमार्क की आधिकारिक मुद्रा है,ेन,ो
डेनमार्क की आधिकारिक मुद्रा है,िश, 
डेनमार्क की आधिकारिक मुद्रा है, क,1
डेनमार्क की आधिकारिक मुद्रा है,्र,.
डेनमार्क की आधिकारिक मुद्रा है,ोन,000
पोलैंड की आधिकारिक मुद्रा है, ज, और
पोलैंड की आधिकारिक मुद्रा है,़्, इसक
पोलैंड की आधिकारिक मुद्रा है,ल,ा
पोलैंड की आधिकारिक मुद्रा है,ॉट, प
पोलैंड की आधिकारिक मुद्रा है,ी,्रय
हंगरी की आधिकारिक मुद्रा है, फ, ज
हंगरी की आधिकारिक मुद्रा है,़ो,ो
हंगरी की आधिकारिक मुद्रा है,र, 
हंगरी की आधिकारिक मुद्रा है,िं,1
हंगरी की आधिकारिक मुद्रा है,ट, र
संयुक्त अरब अमीरात की आधिकारिक मुद्रा है, द, और
संयुक्त अरब अमीरात की आधिकारिक मुद्रा है,िर, इसक
संयुक्त अरब अमीरात की आधिकारिक मुद्रा है,हम,ा
सिंगापुर की आधिकारिक मुद्रा है, स, ज
सिंगापुर की आधिकारिक मुद्रा है,िं,ो
सिंगापुर की आधिकारिक मुद्रा है,ग, 
सिंगापुर की आधिकारिक मुद्रा है,ाप,1
सिंगापुर की आधिकारिक मुद्रा है,ुर, स
सिंगापुर की आधिकारिक मुद्रा है, ड,िं
सिंगापुर की आधिकारिक मुद्रा है,ॉल,ग
सिंगापुर की आधिकारिक मुद्रा है,र,ाप
मलेशिया की आधिकारिक मुद्रा है, मल, और
मलेशिया की आधिकारिक मुद्रा है,ेश, इसक
मलेशिया की आधिकारिक मुद्रा है,िय,ा
मलेशिया की आधिकारिक मुद्रा है,ाई, प
मलेशिया की आधिकारिक मुद्रा है, र,्रय
