prompt,answer_token,predicted_top1_token
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Billy Roche est", act, act
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Billy Roche est",eur,eur
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Billy Roche est", ou,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Billy Roche est", act,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Billy Roche est",rice, profession
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Arun Nehru est", person, homme
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Arun Nehru est",nal, politique
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Arun Nehru est",ité,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Arun Nehru est", politique,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Gregg Edelman est", act, act
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Gregg Edelman est",eur,eur
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Gregg Edelman est", ou,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Gregg Edelman est", act,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Gregg Edelman est",rice, profession
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Pat Crowley est", act, act
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Pat Crowley est",eur,rice
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Pat Crowley est", ou,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Pat Crowley est", act,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Pat Crowley est",rice, profession
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Luana Walters est", act, act
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Luana Walters est",eur,rice
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Luana Walters est", ou,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Luana Walters est", act,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Luana Walters est",rice, profession
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Mary Collinson est", act, jou
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Mary Collinson est",eur,e
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Mary Collinson est", ou,use
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Mary Collinson est", act, de
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Mary Collinson est",rice, tennis
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Patrick Manson est", mé, mé
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Patrick Manson est",dec,dec
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Patrick Manson est",in,in
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Shreela Ghosh est", act, act
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Shreela Ghosh est",eur,rice
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Shreela Ghosh est", ou,".
"
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Shreela Ghosh est", act,De
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, Shreela Ghosh est",rice, profession
"De profession, Albert Einstein est physicien.
De profession, Leonardo DiCaprio est acteur.
De profession, Serena Williams est joueuse de tennis.
De profession, Taylor Swift est chanteuse.
De profession, M. S. Viswanathan est", composite, composite
